DrugID,DrugName,ConnectivitySMILES
154,Alendronic acid,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN
155,Alexitol sodium,C(C(C(C(C(CO)O)O)O)O)O.C(=O)([O-])[O-].[OH-].[Na+].[Al+3]
156,Alfacalcidol,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
157,Alfaxalone,CC(=O)C1CCC2C1(CC(=O)C3C2CCC4C3(CCC(C4)O)C)C
158,Alfentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC
159,Alfuzosin,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
160,Algestone,CC(=O)C1(C(CC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O)O
161,Algestone acetophenide,CC(=O)C12C(CC3C1(CCC4C3CCC5=CC(=O)CCC45C)C)OC(O2)(C)C6=CC=CC=C6
162,Alimemazine,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)CN(C)C
163,Aliskiren,CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N
164,Alitretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
165,Allicin,C=CCSS(=O)CC=C
166,Allobarbital,C=CCC1(C(=O)NC(=O)NC1=O)CC=C
167,Alloin,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C(C(C(C(O4)CO)O)O)O)C=C(C=C3O)CO
168,Allopurinol,C1=NNC2=C1C(=O)NC=N2
169,Allylestrenol,CC12CCC3C(C1CCC2(CC=C)O)CCC4=CCCCC34
170,Almasilate,O.[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-].[Mg+2].[Al+3].[Al+3]
171,Alminoprofen,CC(C1=CC=C(C=C1)NCC(=C)C)C(=O)O
172,Almotriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3
173,Alogliptin,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N
174,Aloglutamol,C(C(C(C(C(C(=O)[O-])O)O)O)O)O.C(C(CO)(CO)N)O.[OH-].[OH-].[Al+3]
175,Alosetron,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C
176,Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
177,Alphacetylmethadol,CCC(C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2)OC(=O)C
178,Alphaprodine,CCC(=O)OC1(CCN(CC1C)C)C2=CC=CC=C2
179,Alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
180,Alprenolol,CC(C)NCC(COC1=CC=CC=C1CC=C)O
181,Alprostadil,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
182,Altrenogest,CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(CC=C)O
183,Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C
184,Aluminium,[Al]
185,Aluminium acetotartrate,CC(=O)[O-].C(C(C(=O)[O-])O)(C(=O)[O-])O.[Al+3]
186,Aluminium clofibrate,CC(C)(C(=O)[O-])OC1=CC=C(C=C1)Cl.CC(C)(C(=O)[O-])OC1=CC=C(C=C1)Cl.[OH-].[Al+3]
187,Aluminium glycinate,C(C(=O)[O-])N.O.[OH-].[OH-].[Al+3]
188,Aluminium nicotinate,C1=CC(=CN=C1)C(=O)[O-].C1=CC(=CN=C1)C(=O)[O-].C1=CC(=CN=C1)C(=O)[O-].[Al+3]
189,Aluminium phosphate,[O-]P(=O)([O-])[O-].[Al+3]
190,Aluminium tristearate,CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].CCCCCCCCCCCCCCCCCC(=O)[O-].[Al+3]
191,Aluminum chloride,[Al](Cl)(Cl)Cl
192,Aluminum chlorohydrate,O.[OH-].[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-]
193,Aluminum sulfate,[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[Al+3]
194,Alverine,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2
195,Alvimopan,CC1CN(CCC1(C)C2=CC(=CC=C2)O)CC(CC3=CC=CC=C3)C(=O)NCC(=O)O
196,Alvocidib,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O
197,Amantadine,C1C2CC3CC1CC(C2)(C3)N
198,Ambenonium,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=CC=CC=C1Cl)CC2=CC=CC=C2Cl
199,Ambrisentan,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C
200,Ambroxol,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O
201,Amcinonide,CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6
202,Amdinocillin,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)O)C
203,Amibegron,CCOC(=O)COC1=CC2=C(CCC(C2)NCC(C3=CC(=CC=C3)Cl)O)C=C1
204,Amidephrine,CNCC(C1=CC(=CC=C1)NS(=O)(=O)C)O
205,Amifampridine,C1=CN=CC(=C1N)N
206,Amifostine,C(CN)CNCCSP(=O)(O)O
207,Amikacin,C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N
208,Amiloride,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N
209,Amineptine,C1CC2=CC=CC=C2C(C3=CC=CC=C31)NCCCCCCC(=O)O
210,Aminoglutethimide,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
211,Aminohippuric acid,C1=CC(=CC=C1C(=O)NCC(=O)O)N
212,Aminolevulinic acid,C(CC(=O)O)C(=O)CN
213,Aminomethylbenzoic acid,C1=CC(=CC=C1CN)C(=O)O
214,Aminophenazone,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C
215,Aminophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
216,Aminopterin,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=NC(=N3)N)N
