DrugID,DrugName,CID,ChEBI_ID
338,Azidocillin,15574941,CHEBI:51758
339,Azilsartan medoxomil,135409642,CHEBI:68845
340,Azimilide,9571004,CHEBI:34545
341,Azithromycin,447043,CHEBI:2955
342,Azlocillin,6479523,CHEBI:2956
343,Azosemide,2273,CHEBI:31248
344,Aztreonam,5742832,
345,BQ-123,443289,CHEBI:2965
346,Bacampicillin,441397,CHEBI:2968
347,Bacitracin,10909430,CHEBI:35862
348,Bafilomycin A1,6436223,CHEBI:22689
349,Balaglitazone,9889200,
350,Balsalazide,54585,CHEBI:267413
351,Bambermycins,6433554,
352,Bambuterol,54766,CHEBI:553827
353,Bamifylline,16229,CHEBI:135605
354,Banoxantrone,9955116,
355,Barbexaclone,71196,
356,Barbital,2294,CHEBI:31252
357,Baricitinib,44205240,CHEBI:95341
358,Barnidipine,443869,CHEBI:135793
359,Batefenterol,10372836,
360,Batimastat,5362422,CHEBI:195398
361,Bazedoxifene,154257,CHEBI:135947
362,Beclamide,10391,CHEBI:134859
363,Beclomethasone dipropionate,21700,CHEBI:3002
364,Becocalcidiol,5289547,CHEBI:231099
365,Bedaquiline,5388906,CHEBI:72292
366,Befunolol,2309,CHEBI:135212
367,Belinostat,6918638,CHEBI:61076
368,Belotecan,6456014,CHEBI:135702
369,Belumosudil,11950170,
370,Belzutifan,117947097,
371,Bempedoic acid,10472693,CHEBI:149601
372,Benactyzine,9330,CHEBI:94775
373,Benazepril,5362124,CHEBI:3011
374,Benazeprilat,5463984,CHEBI:88200
375,Bencyclane,2312,CHEBI:135205
376,Bendamustine,65628,CHEBI:135515
377,Bendazac,2313,
378,Bendroflumethiazide,2315,CHEBI:3013
379,Benfluorex,2318,CHEBI:93826
380,Benidipine,656668,
381,Benmoxin,71671,CHEBI:134978
382,Benorilate,21102,CHEBI:135340
383,Benoxaprofen,39941,CHEBI:76114
384,Benperidol,16363,CHEBI:93403
385,Benserazide,2327,CHEBI:64187
386,Bentazepam,135412795,CHEBI:135252
387,Benzatropine,1201549,CHEBI:3048
388,Benzbromarone,2333,CHEBI:3023
389,Benzgalantamine,44240142,
390,Benzhydrocodone,49836084,
391,Benzilone,66248,CHEBI:135496
392,Benziodarone,6237,CHEBI:135814
393,Benznidazole,31593,CHEBI:133833
394,Benzocaine,2337,CHEBI:116735
395,Benzoctamine,28425,CHEBI:135017
396,Benzoic acid,243,CHEBI:30746
397,Benzonatate,7699,CHEBI:3032
398,Benzphetamine,5311017,CHEBI:3044
