DrugID,DrugName,SideEffect
897.0,Desflurane,C1384353
897.0,Desflurane,C0919620
897.0,Desflurane,C0919702
897.0,Desflurane,C0919823
897.0,Desflurane,C1141938
897.0,Desflurane,C1145670
897.0,Desflurane,C1504379
897.0,Desflurane,C1536055
897.0,Desflurane,C1761613
314.0,Atracurium besylate,C0002994
314.0,Atracurium besylate,C0006266
314.0,Atracurium besylate,C0007222
314.0,Atracurium besylate,C0013404
314.0,Atracurium besylate,C0015230
314.0,Atracurium besylate,C0011603
314.0,Atracurium besylate,C0016382
314.0,Atracurium besylate,C0018790
314.0,Atracurium besylate,C0020517
314.0,Atracurium besylate,C0020538
314.0,Atracurium besylate,C0020649
314.0,Atracurium besylate,C0023066
314.0,Atracurium besylate,C0026848
314.0,Atracurium besylate,C0033774
314.0,Atracurium besylate,C0036572
314.0,Atracurium besylate,C0039231
314.0,Atracurium besylate,C0041834
314.0,Atracurium besylate,C0042109
314.0,Atracurium besylate,C0043144
314.0,Atracurium besylate,C0151786
314.0,Atracurium besylate,C0340865
314.0,Atracurium besylate,C0002792
314.0,Atracurium besylate,C0428886
314.0,Atracurium besylate,C0428977
314.0,Atracurium besylate,C0700292
314.0,Atracurium besylate,C0242184
314.0,Atracurium besylate,C0849916
314.0,Atracurium besylate,C0857370
314.0,Atracurium besylate,C0520758
2072.0,Nicorandil,C0000737
2072.0,Nicorandil,C0687713
2072.0,Nicorandil,C0000833
2072.0,Nicorandil,C0002962
2072.0,Nicorandil,C0002994
2072.0,Nicorandil,C0003123
2072.0,Nicorandil,C0232462
2072.0,Nicorandil,C0003811
2072.0,Nicorandil,C0004093
2072.0,Nicorandil,C0004604
2072.0,Nicorandil,C0006277
2072.0,Nicorandil,C0007859
2072.0,Nicorandil,C0008031
2072.0,Nicorandil,C0008370
2072.0,Nicorandil,C0009450
2072.0,Nicorandil,C0009763
2072.0,Nicorandil,C0009782
2072.0,Nicorandil,C0009806
2072.0,Nicorandil,C0010043
2072.0,Nicorandil,C0011991
2072.0,Nicorandil,C0012569
2072.0,Nicorandil,C0012833
2072.0,Nicorandil,C0013395
2072.0,Nicorandil,C0013404
2072.0,Nicorandil,C0013604
2072.0,Nicorandil,C0014591
2072.0,Nicorandil,C0015230
2072.0,Nicorandil,C0011603
2072.0,Nicorandil,C0015397
2072.0,Nicorandil,C0015967
2072.0,Nicorandil,C0016167
2072.0,Nicorandil,C0016382
2072.0,Nicorandil,C0016514
2072.0,Nicorandil,C0017178
2072.0,Nicorandil,C0018681
2072.0,Nicorandil,C0019158
2072.0,Nicorandil,C0020538
2072.0,Nicorandil,C0020649
2072.0,Nicorandil,C0020651
2072.0,Nicorandil,C0022346
2072.0,Nicorandil,C0023222
2072.0,Nicorandil,C0030196
2072.0,Nicorandil,C0023380
2072.0,Nicorandil,C0023895
2072.0,Nicorandil,C0151763
2072.0,Nicorandil,C0239571
2072.0,Nicorandil,C0025517
2072.0,Nicorandil,C0027051
2072.0,Nicorandil,C0948089
2072.0,Nicorandil,C0027497
2072.0,Nicorandil,C0027769
2072.0,Nicorandil,C0233494
2072.0,Nicorandil,C0030193
2072.0,Nicorandil,C0030252
2072.0,Nicorandil,C0030554
2072.0,Nicorandil,C0033774
2072.0,Nicorandil,C0038362
2072.0,Nicorandil,C0038990
2072.0,Nicorandil,C0020458
2072.0,Nicorandil,C0039070
2072.0,Nicorandil,C0041657
2072.0,Nicorandil,C0036974
2072.0,Nicorandil,C0039231
2072.0,Nicorandil,C0040034
2072.0,Nicorandil,C0040264
2072.0,Nicorandil,C0041582
2072.0,Nicorandil,C0042401
2072.0,Nicorandil,C1142412
2072.0,Nicorandil,C0042571
2072.0,Nicorandil,C0042594
2072.0,Nicorandil,C0042963
2072.0,Nicorandil,C0085096
2072.0,Nicorandil,C0085649
2072.0,Nicorandil,C0149745
2072.0,Nicorandil,C0151281
2072.0,Nicorandil,C0151964
2072.0,Nicorandil,C0151977
2072.0,Nicorandil,C0178298
2072.0,Nicorandil,C0037274
2072.0,Nicorandil,C0231218
2072.0,Nicorandil,C0234215
2072.0,Nicorandil,C1443060
2072.0,Nicorandil,C2047937
2072.0,Nicorandil,C0231528
2072.0,Nicorandil,C0948594
2072.0,Nicorandil,C0235351
2072.0,Nicorandil,C0267491
2072.0,Nicorandil,C0542571
2072.0,Nicorandil,C0574067
2072.0,Nicorandil,C0010200
2072.0,Nicorandil,C0851578
2072.0,Nicorandil,C0917801
2072.0,Nicorandil,C2830004
2051.0,Nedocromil,C0000737
2051.0,Nedocromil,C0687713
2051.0,Nedocromil,C0002792
2051.0,Nedocromil,C0003864
2051.0,Nedocromil,C0006277
2051.0,Nedocromil,C0008031
2051.0,Nedocromil,C0009763
2051.0,Nedocromil,C0010200
2051.0,Nedocromil,C0011991
2051.0,Nedocromil,C0012833
2051.0,Nedocromil,C0013395
2051.0,Nedocromil,C0013404
2051.0,Nedocromil,C0013456
2051.0,Nedocromil,C0013595
2051.0,Nedocromil,C0014457
2051.0,Nedocromil,C0015230
2051.0,Nedocromil,C0011603
2051.0,Nedocromil,C0015672
2051.0,Nedocromil,C0004093
2051.0,Nedocromil,C0015967
2051.0,Nedocromil,C0017160
2051.0,Nedocromil,C0018681
2051.0,Nedocromil,C0020517
2051.0,Nedocromil,C0021400
2051.0,Nedocromil,C0023530
2051.0,Nedocromil,C0027424
2051.0,Nedocromil,C0027497
2051.0,Nedocromil,C0029882
2051.0,Nedocromil,C0031350
2051.0,Nedocromil,C0032285
2051.0,Nedocromil,C0035455
2051.0,Nedocromil,C0037199
2051.0,Nedocromil,C0040822
2051.0,Nedocromil,C0041912
2051.0,Nedocromil,C0042109
2051.0,Nedocromil,C0042769
2051.0,Nedocromil,C0042790
