SIDER_CID,SIDER_DrugName
CID100004891,praziquantel
CID100004894,prednisolone
CID100004895,prednisolone
CID100004896,prednisolone
CID100004900,prednisone
CID100004920,progesterone
CID100004923,proguanil
CID100004932,propafenone
CID100004946,propranolol
CID100004989,pyrantel
CID100005005,quinapril
CID100005029,rabeprazole
CID100005032,ephedrine
CID100005038,ramipril
CID100005039,ranitidine
CID100005040,rapamycin
CID100005051,rescinnamine
CID100005052,reserpine
CID100005064,ribavirin
CID100005071,rimantadine
CID100005076,ritonavir
CID100005077,rivastigmine
CID100005106,roxithromycin
CID100005155,stavudine
CID100005184,scopolamine
CID100005195,deprenyl
CID100005203,sertraline
CID100005212,sildenafil
CID100005214,silver
CID100005215,sulfadiazine
CID100005238,sodium
CID100005248,sodium
CID100005257,sparfloxacin
CID100005267,spironolactone
CID100005297,streptomycin
CID100005300,streptozotocin
CID100005352,sulindac
CID100005372,tacrolimus
CID100005376,tamoxifen
CID100005396,teniposide
CID100005402,terbinafine
CID100005404,terconazole
CID100005407,testolactone
CID100005408,testosterone
CID100005409,testosterone
CID100005410,testosterone
CID100005454,thiothixene
CID100005466,tiagabine
CID100005470,tibolone
CID100005478,timolol
CID100005486,tirofiban
CID100005496,tobramycin
CID100005508,tolmetin
CID100005512,tolterodine
CID100005514,topiramate
CID100005515,topotecan
CID100005516,toremifene
CID100005523,tramadol
CID100005525,trandolapril
CID100005530,tranylcypromine
CID100005538,retinoic
CID100005544,triamcinolone
CID100005564,triclosan
CID100005578,trimethoprim
CID100005582,trimetrexate
CID100005591,troglitazone
CID100005595,tropisetron
CID100005596,trospium
CID100005636,unoprostone
CID100005645,UDCA
CID100005647,VACV
CID100005650,valsartan
CID100005651,Vancocine
CID100005672,vinorelbine
CID100005718,zalcitabine
CID100005721,zanamivir
CID100005726,zidovudine
CID100005727,ZnCl2
CID100005731,zolmitriptan
CID100005735,zopiclone
CID100005771,oxytocin
CID100005877,demethyl
CID100005939,biguanide
CID100006018,tetrabenazine
CID100006049,EDTA
CID100006116,calcium
CID100006436,triamcinolone
CID100006451,bromcresol
CID100006503,tris
CID100007012,phenylbutyric
CID100007187,benzoyl
CID100007638,monobenzone
CID100008197,tetraen
CID100008230,argenine
CID100009354,dimercaptosuccinic
CID100010340,sodium
CID100010547,echothiophate
CID100010631,medroxyprogesterone
CID100011125,lithium
CID100011973,Brolene
CID100012453,zuclopenthixol
CID100012460,phendimetrazine
CID100012536,desonide
CID100012559,erythromycin
CID100012620,Tadenan
CID100014789,ferumoxytol
CID100014917,fluoride
CID100015232,benzathine
CID100016124,methylene
CID100016230,amiloride
CID100016533,betamethasone
CID100016886,5-aza-2'-deoxycytidine
CID100017358,SonoVue
CID100018140,estramustine
CID100019090,megestrol
CID100020585,choline
CID100020969,clocortolone
CID100021800,betamethasone
CID100021945,methenamine
CID100022258,hydrocodone
CID100022502,procaine
CID100023703,ogen
CID100023926,lanthanum
CID100023951,samarium
CID100023954,silver
CID100023957,technetium-99m
CID100023982,gadolinium
CID100023993,yttrium
CID100024087,selenium
CID100024414,barium
CID100024424,zinc
CID100024450,potassium
CID100024642,TlCl
CID100024706,Triphasil
CID100024748,glucose
CID100025959,Prussian
CID100027991,desmopressin
CID100027993,conjugated
CID100028332,propoxyphene
CID100029089,chlorhexidine
CID100030623,dexrazoxane
CID100032169,articaine
CID100032281,Protirelin
CID100032603,clindamycin
CID100032797,clobetasol
CID100032800,Asp-Tyr(SO3H)-Met-Gly-Trp-Met-Asp-Phe-NH2
CID100036339,etomidate
CID100036523,gonadorelin
CID100037392,halofantrine
CID100037720,pentosan
CID100038904,carboplatin
CID100039507,rimexolone
CID100039524,stiripentol
CID100039764,vecuronium
CID100039860,nabilone
CID100040159,permethrin
CID100040632,pirfenidone
CID100040703,pinaverium
CID100040976,Implanon
CID100041317,acitretin
CID100041684,nitazoxanide
CID100041744,valrubicin
CID100041774,acarbose
CID100042395,Westcort
CID100042615,Supremon
CID100042955,misoprostol
CID100044563,lodoxamide
CID100044564,lodoxamide
CID100045469,sodium
CID100047319,atracurium
CID100047419,cefuroxime
CID100047471,butoconazole
CID100047640,naftifine
CID100047725,Goserelin
CID100050614,cefotetan
CID100051577,miglitol
CID100051634,miglustat
CID100052421,prednicarbate
CID100054313,iloprost
CID100054331,fosfomycin
CID100054373,Octreotide
CID100054547,cefpodoxime
CID100054688,clarithromycin
CID100054786,treprostinil
CID100054808,loteprednol
CID100054840,atomoxetine
CID100054949,NSC
CID100055466,Gd-DTPA
CID100055480,milnacipran
CID100056338,fosphenytoin
CID100057166,Photofrin
CID100057537,rotigotine
CID100057697,pemirolast
CID100060146,tamsulosin
CID100060164,adapalene
CID100060183,perindopril
CID100060184,perindopril
CID100060496,amlodipine
CID100060612,dexmedetomidine
CID100060668,etoposide
CID100060695,rocuronium
CID100060706,meropenem
CID100060751,mTHPC
CID100060752,ibutilide
CID100060754,gadodiamide
CID100060787,saquinavir
CID100060814,remifentanil
CID100060830,tiotropium
CID100060834,duloxetine
CID100060843,pemetrexed
CID100060853,ziprasidone
CID100060864,olopatadine
CID100060867,levosimendan
CID100060878,eprosartan
CID100060936,tiludronate
CID100061475,sodium
CID100061799,monomethylfumarate
CID100062305,doxycycline
CID100062816,colestipol
CID100062819,Metrodin
CID100062924,fluticasone
CID100062965,beclomethasone
CID100063001,benazeprilat
CID100064147,valganciclovir
CID100064778,Meropenem
CID100064987,tenofovir
CID100065014,AMD3100
CID100065281,CAS
CID100065370,Glat
CID100065840,colestimide
CID100065863,sertaconazole
CID100068613,atosiban
CID100068740,zoledronic
CID100069512,malvidin
CID100071273,ropivacaine
CID100071316,mivacurium
CID100071348,lanreotide
CID100071362,Hoe
CID100071406,TPGS
CID100071436,Lutalyse
CID100071469,erythromycin
CID100072054,darifenacin
CID100072081,Terlipressin
CID100072111,rifaximin
CID100072466,bleomycin
CID100072938,gemifloxacin
CID100073658,telithromycin
CID100077996,paricalcitol
CID100077997,MK-462
CID100077998,rosiglitazone
CID100078032,Vallergan
CID100083030,Ge-132
CID100083513,barium
CID100083606,strontium
CID100084003,ketorolac
CID100091488,fluocinolone
CID100093860,bortezomib
CID100096312,nelarabine
CID100102258,rasburicase
CID100102399,dextran
CID100104758,raltitrexed
CID100104778,levodopa/carbidopa
CID100104849,rimonabant
CID100105145,68Ga
CID100107694,Diane-35
CID100107969,FTY720
CID100110634,vardenafil
CID100114709,eslicarbazepine
CID100115355,NTBC
CID100119212,benzylpenicilloyl
CID100119830,tenofovir
CID100121396,N-carbamylglutamate
CID100121749,ustekinumab
CID100122197,FP-CIT
CID100122316,rasagiline
CID100123015,SU5416
CID100123597,travoprost
CID100123610,Eptifibatide
CID100123611,fondaparinux
CID100123620,mometasone
CID100123623,Cancidas
CID100123634,Trisequens
CID100123809,Madopar
CID100125889,pregabalin
CID100127909,bimatoprost
CID100128549,trandolaprilat
CID100129806,rosuvastatin
CID100130564,esomeprazole
CID100130881,olmesartan
CID100131535,fosamprenavir
CID100132804,pitavastatin
CID100135113,sacrosidase
CID100147740,drospirenone
CID100147912,posaconazole
CID100148127,ospemifene
CID100148191,temsirolimus
CID100148211,palonosetron
CID100150310,eplerenone
CID100151165,aprepitant
CID100152945,dutasteride
CID100153941,entecavir
CID100154058,solifenacin
CID100154256,bazedoxifene
CID100156326,asenapine
CID100156418,cinacalcet
CID100157429,gadopentetate
CID100157688,vinflunine
CID100157921,methyl
CID100158786,pegaptanib
CID100159247,sevelamer
CID100160036,MnDPDP
CID100160051,colesevelam
CID100160352,zidovudine/lamivudine
CID100163296,tipranavir
CID100166548,Anidulafungin
CID100168625,poly(styrene
CID100168924,lanthanum
CID100170361,varenicline
CID100171558,Kaluril
CID100185457,S-benzoylmercaptoacetyltriglycine
CID100192155,Prednefrin
CID100197281,gadobenate
CID100197712,ambrisentan
CID100206527,L-Dmp
CID100208920,NuvaRing
CID100213023,dabigatran
CID100214339,luliconazole
CID100216209,aliskiren
CID100216239,sorafenib
CID100216258,Colimycin
CID100216416,lasofoxifene
CID100219084,Gd-EOB-DTPA
CID100219090,fosaprepitant
CID100315411,18F-FDG
CID100358641,trimethoprim-sulfamethoxazole
CID100441332,carboprost
CID100441382,natamycin
CID100443379,CAS
CID100444006,cefditoren
CID100444013,gadoversetamide
CID100444033,ciclesonide
CID100455658,hemin
CID100483407,maraviroc
CID100489129,efinaconazole
CID100517045,sodium
CID100656628,silodosin
CID100656892,TMC207
CID103006171,rilpivirine
CID103038497,fospropofol
CID103055172,pimecrolimus
CID103080904,Estrofem
CID103081276,fluticasone/salmeterol
CID103081884,copolymer
CID103085017,sevelamer
CID103086257,Photofrin
CID103086685,axitinib
CID103086686,sunitinib
CID103325225,ALX
CID104474778,2-hydroxysuccinaldehyde
CID104479094,doxercalciferol
CID104479097,hydroxocobalamin
CID104517618,sodium
CID104630253,alclometasone
CID104659568,entacapone
CID105001396,warfarin
CID105251896,vildagliptin
CID105273759,abacavir-lamivudine
CID105281007,dacarbazine
CID105327147,polyoxyethylene
CID105353894,pralidoxime
CID105353980,sulfasalazine
CID105359596,arsenic
CID105360237,Paroven
CID105361912,rifabutin
CID105361917,methylnaltrexone
CID105362070,balsalazide
CID105362420,verteporfin
CID105381226,rifampicin
CID105462337,olsalazine
CID105479141,CGP
CID105487068,Mersyndol
CID105487301,tegaserod
CID105488383,ofatumumab
CID105488547,alvimopan
CID105493381,deferasirox
CID106102852,gadobutrol
CID106323497,rifapentine
CID106328144,radium
CID106328526,AC1O3HA7
CID106331630,eribulin
CID106333887,auranofin
CID106398970,cefdinir
CID106433082,hexaminolevulinate
CID106433091,tapentadol
CID106433101,tafluprost
CID106433117,indacaterol
CID106433119,rivaroxaban
CID106435110,ivermectin
CID106437075,Timentin
CID106440191,fidaxomicin
CID106452749,Locorten
CID106453361,Sativex
CID106477186,delamanid
CID106850789,iron
CID106850791,leuprorelin
CID106918313,vilazodone
CID106918366,fosaprepitant
CID106918430,ceftobiprole
CID106918584,sugammadex
CID106918670,PEP005
CID109794842,tasimelteon
CID109800339,olodaterol
CID109810131,ceftaroline
CID109811221,cabazitaxel
CID109812414,dalteparin
CID109815559,trans
CID109818231,tofacitinib
CID109825285,azilsartan
CID109831414,Lovaza
CID109831761,irbesartan-hydrochlorothiazide
CID109831783,Stalevo
CID109846180,eltrombopag
CID109898619,Depreotide
CID109912092,apremilast
CID109930048,vernakalant
CID109940864,Benicar-HCT
CID110028615,vorapaxar
CID110107393,18F-flutemetamol
CID110163178,afatinib
CID110465263,lorcaserin
CID111020241,ascorbate
CID111163584,alogliptin
CID111228026,aclidinium
CID111235728,Saxagliptin
CID111238823,azilsartan
CID111254352,sodium
CID111499245,AN2690
CID111505907,Zyprexa
CID111519069,umeclidinium
CID111531537,eliglustat
CID111593706,sevelamer
CID111597571,crizotinib
CID111597697,lisdexamfetamine
CID111672461,gadofosveset
CID111722286,spinosad
CID111947681,nitroprusside
CID111979316,vasopressin
CID113559279,ulipristal
CID116065945,TMC435
CID116126651,PCI-32765
CID116129616,salmon
CID116129629,LY146032
CID116129632,Nuvocid
CID116129665,Vitrum
CID116129672,Insulin
CID116129682,Forteo
CID116129690,ziconotide
CID116129701,T-A2-3
CID116129703,Revasc
CID116130199,Enfuvirtide
CID116130295,BPTI
CID116130957,Org
CID116131215,Abarelix
CID116131310,hepatitis
CID116132265,ACTH(1-39
CID116132283,glucagon
CID116132344,oCRH
CID116132418,NovoLog
CID116132438,Humalog
CID116132441,Refludan
CID116132446,Symlin
CID116134956,liraglutide
CID116137271,insulin
CID116139342,Lyxumia
CID116139605,teduglutide
CID116156130,exenatide
CID116158207,linaclotide
CID116158473,o291
CID116213095,pentastarch
CID116220172,ivacaftor
CID117754772,ruxolitinib
CID122834577,nesiritide
CID123668479,raltegravir
CID123689036,pertechnetate
CID123690938,piroxicam
CID124762228,Azarga
CID124838347,glucagon
CID124846132,hetastarch
CID124950485,cobicistat
CID125074886,cetrorelix
CID125094462,sofosbuvir
CID125880656,doxycycline
CID125880664,tetracycline
CID126275995,minocycline
CID140468184,acenocoumarol
CID144134877,oxytetracycline
CID144146714,Lantus
CID144201342,tesamorelin
CID144201343,ecallantide
CID144564107,mipomersen
CID144564722,Promacta
CID144567678,dalbavancin
CID146181941,Signifor
CID146216142,dolutegravir
CID151508717,tenoxicam
CID151601240,demeclocycline
CID153477714,heparin
CID153627505,hydroxypropyl
CID154677977,A77
CID154681041,tigecycline
CID154682541,doxycycline
CID154687131,lymecycline
CID156603655,pegaptanib
CID156842239,n-3
CID170683024,x
CID170695640,colestyramine
CID171306834,K779
