DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
Dofetilide,71329,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,441.6,1.8,122.0,2,8,11
Periciazine,4747,C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N,365.5,3.5,75.8,1,5,4
Mersalyl,9806195,COC(CNC(=O)C1=CC=CC=C1OCC(=O)[O-])C[Hg+].[OH-].[Na+],505.85,,88.7,2,6,7
Megestrol acetate,11683,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,384.5,3.1,60.4,0,4,3
Isoetharine,3762,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C,239.31,1.7,72.7,4,4,5
Flupirtine,53276,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,304.32,2.4,89.3,3,6,6
Dabrafenib,44462760,CC(C)(C)C1=NC(=C(S1)C2=NC(=NC=C2)N)C3=C(C(=CC=C3)NS(=O)(=O)C4=C(C=CC=C4F)F)F,519.6,4.8,147.0,2,11,6
Surinabant,9849616,CCC1=C(N(N=C1C(=O)NN2CCCCC2)C3=C(C=C(C=C3)Cl)Cl)C4=CC=C(C=C4)Br,522.3,7,50.2,1,3,5
Clorgiline,4380,CN(CCCOC1=C(C=C(C=C1)Cl)Cl)CC#C,272.17,4.2,12.5,0,2,6
Ethacizine,107841,CCN(CC)CCC(=O)N1C2=CC=CC=C2SC3=C1C=C(C=C3)NC(=O)OCC,413.5,4.1,87.2,1,5,8
Dexpramipexole,59868,CCCNC1CCC2=C(C1)SC(=N2)N,211.33,1.9,79.2,2,4,3
Vilanterol,10184665,C1=CC(=C(C(=C1)Cl)COCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O)Cl,486.4,3.8,91.2,4,6,16
Pralsetinib,129073603,CC1=CC(=NN1)NC2=NC(=NC(=C2)C)C3CCC(CC3)(C(=O)NC(C)C4=CN=C(C=C4)N5C=C(C=N5)F)OC,533.6,3.1,136.0,3,9,8
Naratriptan,4440,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,335.5,2,73.6,2,4,5
Pregabalin,5486971,CC(C)CC(CC(=O)O)CN,159.23,-1.6,63.3,2,3,5
Methimazole,1349907,CN1C=CNC1=S,114.17,-0.3,47.4,1,1,0
Azapropazone,26098,CCCC1C(=O)N2C3=C(C=CC(=C3)C)N=C(N2C1=O)N(C)C,300.36,4,56.2,0,3,3
Levonordefrin,164739,CC(C(C1=CC(=C(C=C1)O)O)O)N,183.20,-0.8,86.7,4,4,2
Serotonin,5202,C1=CC2=C(C=C1O)C(=CN2)CCN,176.21,0.2,62.0,3,2,2
Parecoxib,119828,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C,370.4,3.3,97.7,1,5,5
Levomilnacipran,6917779,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2,246.35,1.4,46.3,1,2,5
Ceftolozane,53234134,CC(C)(C(=O)O)ON=C(C1=NSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC(=C(N4C)N)NC(=O)NCCN)C(=O)[O-],666.7,-3.2,356.0,7,16,11
Prasugrel,6918456,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,373.4,3.6,74.9,0,6,6
Amantadine,2130,C1C2CC3CC1CC(C2)(C3)N,151.25,2.4,26.0,1,1,0
Fosinopril,9601226,CCC(=O)OC(C(C)C)OP(=O)(CCCCC1=CC=CC=C1)CC(=O)N2CC(CC2C(=O)O)C3CCCCC3,563.7,6.2,110.0,1,7,15
Trimethadione,5576,CC1(C(=O)N(C(=O)O1)C)C,143.14,0.3,46.6,0,3,0
Amisulpride,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,369.5,1.5,110.0,2,6,7
Tenofovir,464205,CC(CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O,287.21,-1.6,136.0,3,8,5
Troleandomycin,202225,CC1CC(C(C(O1)OC2C(CC3(CO3)C(=O)C(C(C(C(OC(=O)C(C(C2C)OC4CC(C(C(O4)C)OC(=O)C)OC)C)C)C)OC(=O)C)C)C)OC(=O)C)N(C)C,814.0,4.3,184.0,0,16,12
Ioxilan,3743,CC(=O)N(CC(CO)O)C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCCO)I,791.1,-2.4,180.0,7,8,11
Fluvoxamine,5324346,COCCCCC(=NOCCN)C1=CC=C(C=C1)C(F)(F)F,318.33,2.6,56.8,1,7,9
Mometasone,441335,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)Cl)C,427.4,2.7,74.6,2,4,2
Penbutolol,37464,CC(C)(C)NCC(COC1=CC=CC=C1C2CCCC2)O,291.4,4.2,41.5,2,3,7
Bismuth subgallate,73415769,C1=C(C=C(C(=C1O)[O-])[O-])C(=O)O.[OH-].[Bi+3],394.09,,105.0,3,6,1
Pyridostigmine,4991,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,181.21,0.7,33.4,0,2,2
Pentoxifylline,4740,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,278.31,0.3,75.5,0,4,5
Tazobactam,123630,CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3,300.29,-2,131.0,1,7,3
Hydrogen peroxide,784,OO,34.015,-0.9,40.5,2,2,0
Clevidipine,153994,CCCC(=O)OCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C,456.3,4.3,90.9,1,7,10
Tinoridine,5480,CCOC(=O)C1=C(SC2=C1CCN(C2)CC3=CC=CC=C3)N,316.4,3.4,83.8,1,5,5
Flupentixol,5281881,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,434.5,4.5,52.0,1,7,5
Zotepine,5736,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,331.9,4.8,37.8,0,3,4
Diclofenac,3033,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,296.1,4.4,49.3,2,3,4
Albuterol,2083,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,239.31,0.3,72.7,4,4,5
Estradiol acetate,9818306,CC(=O)OC1=CC2=C(C=C1)C3CCC4(C(C3CC2)CCC4O)C,314.4,2.8,46.5,1,3,2
Tasosartan,60919,CC1=C2CCC(=O)N(C2=NC(=N1)C)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,411.5,3,101.0,1,6,4
Carprofen,2581,CC(C1=CC2=C(C=C1)C3=C(N2)C=CC(=C3)Cl)C(=O)O,273.71,4,53.1,2,2,2
Gemfibrozil,3463,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,250.33,3.8,46.5,1,3,6
Melperone,15387,CC1CCN(CC1)CCCC(=O)C2=CC=C(C=C2)F,263.35,3.3,20.3,0,3,5
Zolazepam,35775,CC1=NN(C2=C1C(=NCC(=O)N2C)C3=CC=CC=C3F)C,286.30,1.7,50.5,0,4,1
Amlodipine,2162,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,408.9,3,99.9,2,7,10
Carbimazole,31072,CCOC(=O)N1C=CN(C1=S)C,186.23,0.7,64.9,0,3,2
Endralazine,47608,C1CN(CC2=CC(=NN=C21)NN)C(=O)C3=CC=CC=C3,269.30,0.4,84.1,2,5,2
Alaproclate,2081,CC(C(=O)OC(C)(C)CC1=CC=C(C=C1)Cl)N,255.74,2.8,52.3,1,3,5
Relugolix,10348973,CN(C)CC1=C(SC2=C1C(=O)N(C(=O)N2CC3=C(C=CC=C3F)F)C4=NN=C(C=C4)OC)C5=CC=C(C=C5)NC(=O)NOC,623.6,3.2,157.0,2,11,9
"(1R,2S)-2-Phenylcyclopropanaminium",11861988,C1C(C1[NH3+])C2=CC=CC=C2,134.20,1.5,27.6,1,0,1
Perindoprilat,72022,CCCC(C(=O)O)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O,340.4,0.2,107.0,3,6,7
Metixene,4167,CN1CCCC(C1)CC2C3=CC=CC=C3SC4=CC=CC=C24,309.5,4.9,28.5,0,2,2
Barnidipine,443869,CC1=C(C(C(=C(N1)C)C(=O)OC2CCN(C2)CC3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,491.5,4.2,114.0,1,8,8
Ritonavir,392622,CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,720.9,6,202.0,4,9,18
Melitracen,25382,CC1(C2=CC=CC=C2C(=CCCN(C)C)C3=CC=CC=C31)C,291.4,5.6,3.2,0,1,3
Phenibut,14113,C1=CC=C(C=C1)C(CC(=O)O)CN,179.22,-1.6,63.3,2,3,4
Bretylium,2431,CC[N+](C)(C)CC1=CC=CC=C1Br,243.16,2.8,0.0,0,0,3
Guanfacine,3519,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,246.09,2,81.5,2,1,2
Pentobarbital,4737,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,226.27,2.1,75.3,2,3,4
Miconazole,4189,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl,416.1,5.3,27.1,0,2,6
Taspoglutide,56842233,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(C)(C)C(=O)NC(CCCNC(=N)N)C(=O)N)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCN)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,3339.7,-13.4,1390.0,49,50,109
Hydrocodone,5284569,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(=O)CC4,299.4,2.2,38.8,0,4,1
Buclizine,6729,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl,433.0,7.1,6.5,0,2,6
Candesartan cilexetil,2540,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6,610.7,7,143.0,1,10,13
Dersalazine,135484128,CC1=NC2=C(N1CC3CCN(CC3)C(=O)C=C(C4=CC=CC=C4)C5=CC=C(C=C5)N=NC6=CC(=C(C=C6)O)C(=O)O)C=CN=C2,600.7,6.4,133.0,2,8,8
Quizartinib,24889392,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=CN4C5=C(C=C(C=C5)OCCN6CCOCC6)SC4=N3,560.7,5.6,134.0,2,8,8
Grepafloxacin,72474,CC1CN(CCN1)C2=C(C(=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)C)F,359.4,-0.2,72.9,2,7,3
Ipratropium,657309,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C,332.5,2.6,46.5,1,3,6
Quinupramine,93154,C1CN2CCC1C(C2)N3C4=CC=CC=C4CCC5=CC=CC=C53,304.4,4.5,6.5,0,2,1
"2,4-Diamino-5-(3,4,5-Trimethoxy-Benzyl)-Pyrimidin-1-Ium",446998,COC1=CC(=CC(=C1OC)OC)CC2=C[NH+]=C(N=C2N)N,291.33,1.1,107.0,3,6,5
Finerenone,60150535,CCOC1=NC=C(C2=C1C(C(=C(N2)C)C(=O)N)C3=C(C=C(C=C3)C#N)OC)C,378.4,2.4,110.0,2,6,5
Carbutamide,9564,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,271.34,1,110.0,3,4,5
Fondaparinux,5282448,COC1C(C(C(C(O1)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)COS(=O)(=O)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C(C(O5)COS(=O)(=O)O)O)O)NS(=O)(=O)O)O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O)NS(=O)(=O)O,1508.3,-14.7,873.0,19,52,30
Minaprine,4199,CC1=CC(=NN=C1NCCN2CCOCC2)C3=CC=CC=C3,298.4,2,50.3,1,5,5
Sitafloxacin,461399,C1CC12CN(CC2N)C3=C(C=C4C(=C3Cl)N(C=C(C4=O)C(=O)O)C5CC5F)F,409.8,0.7,86.9,2,8,3
Bupivacaine,2474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,288.4,3.4,32.3,1,2,5
Ticlopidine,5472,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,263.8,3.6,31.5,0,2,2
Oleandomycin,72493,CC1CC(C(C(O1)OC2C(CC3(CO3)C(=O)C(C(C(C(OC(=O)C(C(C2C)OC4CC(C(C(O4)C)O)OC)C)C)C)O)C)C)O)N(C)C,687.9,2.6,166.0,3,13,6
Propiomazine,4940,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)N(C)C,340.5,4.8,48.9,0,4,5
Nedocromil,50294,CCCC1=C2C(=CC3=C1OC(=CC3=O)C(=O)O)C(=O)C=C(N2CC)C(=O)O,371.3,2.2,121.0,2,8,5
Sirolimus,5284616,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,914.2,6,195.0,3,13,6
Umifenovir,131411,CCOC(=O)C1=C(N(C2=CC(=C(C(=C21)CN(C)C)O)Br)C)CSC3=CC=CC=C3,477.4,4.4,80.0,1,5,8
Salicylamide,5147,C1=CC=C(C(=C1)C(=O)N)O,137.14,1.3,63.3,2,2,1
Edoxaban,10280735,CN1CCC2=C(C1)SC(=N2)C(=O)NC3CC(CCC3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,548.1,1.4,165.0,3,8,5
Finasteride,57363,CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C,372.5,3,58.2,2,2,2
Desvenlafaxine,125017,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,263.37,2.6,43.7,2,3,4
Aprobarbital,6464,CC(C)C1(C(=O)NC(=O)NC1=O)CC=C,210.23,1.1,75.3,2,3,3
Norfenefrine,4538,C1=CC(=CC(=C1)O)C(CN)O,153.18,-0.8,66.5,3,3,2
Oxyfedrine,5489013,CC(C(C1=CC=CC=C1)O)NCCC(=O)C2=CC(=CC=C2)OC,313.4,2.4,58.6,2,4,8
Cloricromen,68876,CCN(CC)CCC1=C(C2=C(C(=C(C=C2)OCC(=O)OCC)Cl)OC1=O)C,395.9,3.8,65.1,0,6,10
Granisetron,5284566,CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C,312.4,2.8,50.2,1,3,2
Ebselen,3194,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,274.19,,20.3,0,1,1
Nomegestrol,68783,CC1=CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4C1=CC(=O)CC4,328.4,2,54.4,1,3,1
Aluminum chlorohydrate,71586946,O.[OH-].[OH-].[OH-].[OH-].[OH-].[Al+3].[Al+3].[Cl-],192.47,,6.0,6,7,0
Cabozantinib,25102847,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F,501.5,5.4,98.8,2,7,8
Menthyl salicylate,20055232,CC1CCC(C(C1)OC(=O)C2=CC=CC=C2O)C(C)C,276.4,5.4,46.5,1,3,4
Carbromal,6488,CCC(CC)(C(=O)NC(=O)N)Br,237.09,1.5,72.2,2,2,3
Acemetacin,1981,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,415.8,4.2,94.8,1,6,7
Pivhydrazine,9375,CC(C)(C)C(=O)NNCC1=CC=CC=C1,206.28,2.2,41.1,2,2,4
Pioglitazone,4829,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3,356.4,3.8,93.6,1,5,7
Bromocriptine,31101,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O,654.6,3.8,118.0,3,6,5
Tacrolimus,445643,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,804.0,2.7,178.0,3,12,7
Nilvadipine,4494,CC1=C(C(C(=C(N1)C#N)C(=O)OC)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC(C)C,385.4,2.9,134.0,1,8,6
Licofelone,133021,CC1(CC2=C(C(=C(N2C1)CC(=O)O)C3=CC=C(C=C3)Cl)C4=CC=CC=C4)C,379.9,5.2,42.2,1,2,4
Deanol,7902,CN(C)CCO,89.14,-0.4,23.5,1,2,2
Esmirtazapine,3085218,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4,265.35,3.3,19.4,0,3,0
Terguride,443951,CCN(CC)C(=O)NC1CC2C(CC3=CNC4=CC=CC2=C34)N(C1)C,340.5,2.5,51.4,2,2,3
Meropenem,441130,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)N(C)C)C(=O)O)C(C)O,383.5,-2.4,135.0,3,7,5
Enoxacin,3229,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,320.32,-0.2,85.8,2,8,3
Acetazolamide,1986,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,222.3,-0.3,152.0,2,7,2
Ciprofloxacin,2764,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,331.34,-1.1,72.9,2,7,3
