DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
Mebrofenin,54158,CC1=CC(=C(C(=C1NC(=O)CN(CC(=O)O)CC(=O)O)C)Br)C,387.23,-0.1,107.0,3,6,7
Potassium,5462222,[K],39.0983,,0.0,0,0,0
Mitemcinal,6918267,CCC1C(C(=O)C(C2=C(CC(O2)(C(C(C(C(C(=O)O1)C)OC3CC(C(C(O3)C)O)(C)OC)C)OC4C(C(CC(O4)C)N(C)C(C)C)O)C)C)C)(C)OC,756.0,4.1,152.0,2,13,9
Nitrendipine,4507,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C,360.4,2.9,110.0,1,7,6
Acetyldigoxin,11765960,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)OC(=O)C)O,823.0,1.8,209.0,5,15,9
Zileuton,60490,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,236.29,1.6,94.8,2,3,2
Inosine,135398641,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O,268.23,-1.3,129.0,4,7,2
Alpelisib,56649450,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,441.5,3.2,129.0,2,8,4
Simvastatin,54454,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C,418.6,4.7,72.8,1,5,7
Ritanserin,5074,CC1=C(C(=O)N2C=CSC2=N1)CCN3CCC(=C(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F)CC3,477.6,5.2,61.2,0,6,5
Oxyphenonium,5749,CC[N+](C)(CC)CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,348.5,4.1,46.5,1,3,9
Clomocycline,54680675,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)NCO)N(C)C)O,508.9,-1.5,188.0,7,10,3
Voglibose,444020,C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO,267.28,-4.1,154.0,8,8,5
Oxyphencyclimine,4642,CN1CCCN=C1COC(=O)C(C2CCCCC2)(C3=CC=CC=C3)O,344.4,2.9,62.1,1,4,6
Belzutifan,117947097,CS(=O)(=O)C1=C2C(C(C(C2=C(C=C1)OC3=CC(=CC(=C3)C#N)F)F)F)O,383.3,2,95.8,1,8,3
Tizanidine,5487,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl,253.71,1.1,90.4,2,4,2
Dexlansoprazole,9578005,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,369.4,2.8,87.1,1,8,5
Pralatrexate,148121,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,477.5,-0.9,207.0,5,11,10
Indigotindisulfonic acid,3705,C1=CC2=C(C=C1S(=O)(=O)O)C(=C(N2)C3=NC4=C(C3=O)C=C(C=C4)S(=O)(=O)O)O,422.4,0.2,191.0,4,9,3
Oxyphenisatin acetate,8269,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C,401.4,3.5,81.7,1,5,6
Semaglutide,56843331,CCC(C)C(C(=O)NC(C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(C(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(C(=O)O)NC(=O)CCCCCCCCCCCCCCCCC(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(CC4=CC=C(C=C4)O)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)O)NC(=O)C(CC5=CC=CC=C5)NC(=O)C(C(C)O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(CC6=CN=CN6)N,4114,-5.8,1650.0,57,63,151
Hydroxyprogesterone,6238,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O,330.5,3.2,54.4,1,3,1
Isoxsuprine,11779629,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O,301.4,2.8,61.7,3,4,7
Nicardipine,4474,CC1=C(C(C(=C(N1)C)C(=O)OCCN(C)CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OC,479.5,3.8,114.0,1,8,10
Diphemanil,6127,C[N+]1(CCC(=C(C2=CC=CC=C2)C3=CC=CC=C3)CC1)C,278.4,4.4,0.0,0,0,2
Drotebanol,5463863,CN1CCC23CC(CCC2(C1CC4=C3C(=C(C=C4)OC)OC)O)O,333.4,1.6,62.2,2,5,2
Osilodrostat,44139752,C1CC2=CN=CN2C1C3=C(C=C(C=C3)C#N)F,227.24,1.9,41.6,0,3,1
Buflomedil,2467,COC1=CC(=C(C(=C1)OC)C(=O)CCCN2CCCC2)OC,307.4,2.3,48.0,0,5,8
Droperidol,3168,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,379.4,3.5,52.7,1,4,6
Opicapone,135565903,CC1=C(C(=[N+](C(=C1Cl)C)[O-])Cl)C2=NOC(=N2)C3=CC(=C(C(=C3)O)O)[N+](=O)[O-],413.2,3.4,151.0,2,8,2
Thiotepa,5453,C1CN1P(=S)(N2CC2)N3CC3,189.22,0.5,41.1,0,4,3
Gadobenic acid,18177388,[H+].[H+].C1=CC=C(C=C1)COCC(C(=O)[O-])N(CCN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],667.7,,220.0,2,14,15
Quingestanol,9842127,CC12CCC3C4CCC(=CC4=CCC3C1CCC2(C#C)O)OC5CCCC5,366.5,4.7,29.5,1,2,3
Didanosine,135398739,C1CC(OC1CO)N2C=NC3=C2N=CNC3=O,236.23,-1.2,88.7,2,5,2
Risperidone,5073,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,410.5,2.7,61.9,0,6,4
Phenylbutyric acid,4775,C1=CC=C(C=C1)CCCC(=O)O,164.20,2.4,37.3,1,2,4
Bilastine,185460,CCOCCN1C2=CC=CC=C2N=C1C3CCN(CC3)CCC4=CC=C(C=C4)C(C)(C)C(=O)O,463.6,2.3,67.6,1,5,10
Strontium cation Sr-89,3083408,[Sr+2],88.9074508,,0.0,0,0,0
Thiethylperazine,5440,CCSC1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C,399.6,5.4,60.3,0,5,6
Tesmilifene,108092,CCN(CC)CCOC1=CC=C(C=C1)CC2=CC=CC=C2,283.4,4.6,12.5,0,2,8
Etoposide,36462,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,588.6,0.6,161.0,3,13,5
Phenylbutazone,4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,308.4,3.2,40.6,0,2,5
Carvedilol,2585,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,406.5,4.2,75.7,3,5,10
Antazoline,2200,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3,265.35,2.6,27.6,1,2,5
Hydroxocobalamin,44475014,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[OH-].[Co+3],1346.4,,453.0,10,20,26
Algestone acetophenide,5284538,CC(=O)C12C(CC3C1(CCC4C3CCC5=CC(=O)CCC45C)C)OC(O2)(C)C6=CC=CC=C6,448.6,4.6,52.6,0,4,2
Rivaroxaban,9875401,C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl,435.9,2.5,116.0,1,6,5
Fluindione,68942,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)F,240.23,3,34.1,0,3,1
Simeprevir,24873435,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,749.9,4.8,194.0,2,10,8
Doxapram,3156,CCN1CC(C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,378.5,3.3,32.8,0,3,6
Eribulin,11354606,CC1CC2CCC3C(=C)CC(O3)CCC45CC6C(O4)C7C(O6)C(O5)C8C(O7)CCC(O8)CC(=O)CC9C(CC(C1=C)O2)OC(C9OC)CC(CN)O,729.9,1.1,146.0,2,12,4
Gitoformate,20055283,CC1C(C(CC(O1)OC2C(OC(CC2OC=O)OC3C(OC(CC3OC=O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CC(C7C8=CC(=O)OC8)OC=O)O)C)C)C)C)OC=O)OC=O,921.0,4,233.0,1,19,17
Amphetamine,3007,CC(CC1=CC=CC=C1)N,135.21,1.8,26.0,1,1,2
Saquinavir,441243,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(C(CC3=CC=CC=C3)NC(=O)C(CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,670.8,4.2,167.0,5,7,13
Pivagabine,68888,CC(C)(C)C(=O)NCCCC(=O)O,187.24,0.8,66.4,2,3,5
Sulfaguanidine,5324,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,214.25,-0.7,133.0,3,4,2
Pacritinib,46216796,C1CCN(C1)CCOC2=C3COCC=CCOCC4=CC(=CC=C4)C5=NC(=NC=C5)NC(=C3)C=C2,472.6,3.8,68.7,1,7,4
Clopidogrel,60606,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3,321.8,3.8,57.8,0,4,4
Loratadine,3957,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,382.9,5.2,42.4,0,3,2
8-chlorotheophylline,10661,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl,214.61,0.9,69.3,1,3,0
Piritramide,9331,C1CCN(CC1)C2(CCN(CC2)CCC(C#N)(C3=CC=CC=C3)C4=CC=CC=C4)C(=O)N,430.6,3.7,73.4,1,4,7
Cyclacillin,19003,CC1(C(N2C(S1)C(C2=O)NC(=O)C3(CCCCC3)N)C(=O)O)C,341.4,1.3,138.0,3,6,3
Butaperazine,12598,CCCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCN(CC4)C,409.6,5,52.1,0,5,7
Flutamide,3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,276.21,3.3,74.9,1,6,2
Cilastatin,6435415,CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)O)C,358.5,-1,155.0,4,7,11
Hydrocortisone valerate,5282494,CCCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO,446.6,3.8,101.0,2,6,7
Cinitapride,68867,CCOC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CC3CCC=CC3)[N+](=O)[O-])N,402.5,3.6,113.0,2,6,6
Asunaprevir,16076883,CC(C)(C)C(C(=O)N1CC(CC1C(=O)NC2(CC2C=C)C(=O)NS(=O)(=O)C3CC3)OC4=NC=C(C5=C4C=C(C=C5)Cl)OC)NC(=O)OC(C)(C)C,748.3,4.9,191.0,3,10,14
Dutogliptin,11253490,B(C1CCCN1C(=O)CNC2CCNC2)(O)O,241.10,,84.8,4,5,4
Naloxegol,56959087,COCCOCCOCCOCCOCCOCCOCCOC1CCC2(C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3CC=C)O,651.8,-1,127.0,2,12,24
Flomoxef,65864,COC1(C2N(C1=O)C(=C(CO2)CSC3=NN=NN3CCO)C(=O)O)NC(=O)CSC(F)F,496.5,-1.3,220.0,3,14,11
Gadofosveset trisodium,73049652,C1CC(CCC1OP(=O)([O-])OCC(CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-])(C2=CC=CC=C2)C3=CC=CC=C3.[Na+].[Na+].[Na+].[Gd+3],957.9,,269.0,0,17,18
Macimorelin,9804938,CC(C)(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC3=CNC4=CC=CC=C43)NC=O)N,474.6,1.8,145.0,6,4,9
Ceritinib,57379345,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,558.1,6.4,114.0,3,8,9
Hexoprenaline,3609,C1=CC(=C(C=C1C(CNCCCCCCNCC(C2=CC(=C(C=C2)O)O)O)O)O)O,420.5,1.1,145.0,8,8,13
Benzgalantamine,44240142,CN1CCC23C=CC(CC2OC4=C(C=CC(=C34)C1)OC)OC(=O)C5=CC=CC=C5,391.5,4.1,48.0,0,5,4
Olmutinib,54758501,CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC4=C(C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)SC=C4,486.6,4.7,111.0,2,8,7
Malathion,4004,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,330.4,2.4,128.0,0,8,11
Candicidin,10079874,CC1C=CC=CC=CC=CC=CC=CC=CC(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O,1109.3,1.8,364.0,11,20,10
7-Nitroindazole,1893,C1=CC2=C(C(=C1)[N+](=O)[O-])NN=C2,163.13,1.8,74.5,1,3,0
Bufuralol,71733,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,261.36,3.5,45.4,2,3,5
Loperamide,3955,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,477.0,5,43.8,1,3,7
Glibornuride,12818200,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2C3CCC(C2O)(C3(C)C)C,366.5,3.2,104.0,3,4,3
Aramchol,18738120,CCCCCCCCCCCCCCCCCCCC(=O)NC1CCC2(C(C1)CC(C3C2CC(C4(C3CCC4C(C)CCC(=O)O)C)O)O)C,702.1,13.1,107.0,4,5,23
Aldosterone,5839,CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4C(=O)CO)C=O)O,360.4,1.1,91.7,2,5,3
Ramatroban,123879,C1CC2=C(CC1NS(=O)(=O)C3=CC=C(C=C3)F)C4=CC=CC=C4N2CCC(=O)O,416.5,2.9,96.8,2,6,6
Ramipril,5362129,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O,416.5,1.4,95.9,2,6,10
Sulbactam,130313,CC1(C(N2C(S1(=O)=O)CC2=O)C(=O)O)C,233.24,-1,100.0,1,5,1
Orlistat,3034010,CCCCCCCCCCCC(CC1C(C(=O)O1)CCCCCC)OC(=O)C(CC(C)C)NC=O,495.7,10,81.7,1,5,23
Agmatine,199,C(CCN=C(N)N)CN,130.19,-1.5,90.4,3,2,4
Grazoprevir,44603531,CC(C)(C)C1C(=O)N2CC(CC2C(=O)NC3(CC3C=C)C(=O)NS(=O)(=O)C4CC4)OC5=NC6=C(C=CC(=C6)OC)N=C5CCCCCC7CC7OC(=O)N1,766.9,4.7,204.0,3,11,8
Ticarcillin,36921,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CSC=C3)C(=O)O)C(=O)O)C,384.4,0.8,178.0,3,8,5
NGX267,10013505,CCC1C(=O)NC2(S1)CCN(CC2)C,214.33,1.4,57.6,1,3,1
Rifapentine,135403821,CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)C(O4)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)C=NN5CCN(CC5)C6CCCC6)C,877.0,6.7,220.0,6,15,6
Aminophylline,9433,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,420.43,,191.0,4,8,1
Acenocoumarol,54676537,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,353.3,2.5,109.0,1,6,4
Cariprazine,11154555,CN(C)C(=O)NC1CCC(CC1)CCN2CCN(CC2)C3=C(C(=CC=C3)Cl)Cl,427.4,4.3,38.8,1,3,5
Maxacalcitol,6398761,CC(C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)OCCC(C)(C)O,418.6,3.5,69.9,3,4,6
Zorubicin,57164040,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=NNC(=O)C6=CC=CC=C6)C)O)N)O,645.7,3.8,210.0,6,12,6
Hydromorphone,5284570,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(=O)CC4,285.34,1.8,49.8,1,4,0
Cefotetan,53025,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O,575.6,0.1,321.0,4,15,9
Cyclosporine,5284373,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,1202.6,7.5,279.0,5,12,15
Carfentanil,62156,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCC3=CC=CC=C3)C(=O)OC,394.5,3.8,49.9,0,4,8
Tiratricol,5803,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(=O)O)I)I)O,621.93,4.5,66.8,2,4,4
Methohexital,9034,CCC#CC(C)C1(C(=O)NC(=O)N(C1=O)C)CC=C,262.30,2.3,66.5,1,3,3
Paraldehyde,31264,CC1OC(OC(O1)C)C,132.16,0.7,27.7,0,3,0
Darolutamide,67171867,CC(CN1C=CC(=N1)C2=CC(=C(C=C2)C#N)Cl)NC(=O)C3=NNC(=C3)C(C)O,398.8,1.8,120.0,3,5,6
Naloxone,5284596,C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O,327.4,2.1,70.0,2,5,2
Clobetasol,5311051,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)O)C)O)F)C,410.9,2.5,74.6,2,5,2
Ambrisentan,6918493,CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C,378.4,3.8,81.5,1,6,7
Dalfampridine,1727,C1=CN=CC=C1N,94.11,0.3,38.9,1,2,0
Cyamemazine,62865,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)C#N)CN(C)C,323.5,4.4,55.6,0,4,4
Fencamfamin,14584,CCNC1C2CCC(C2)C1C3=CC=CC=C3,215.33,3.3,12.0,1,1,3
Almasilate,131704329,O.[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-].[Mg+2].[Al+3].[Al+3],280.45,,185.0,1,9,0
Mefenorex,21777,CC(CC1=CC=CC=C1)NCCCCl,211.73,3.1,12.0,1,1,6
PRX-08066,76972919,C1CN(CCC1NC2=C3C=C(SC3=NC=N2)Cl)CC4=CC(=C(C=C4)F)C#N.C(=CC(=O)O)C(=O)O,518.0,,168.0,3,11,6
Methyprylon,4162,CCC1(C(=O)C(CNC1=O)C)CC,183.25,0.8,46.2,1,2,2
Sulopenem etzadroxil,23642298,CCC(CC)C(=O)OCOC(=O)C1=C(SC2N1C(=O)C2C(C)O)SC3CCS(=O)C3,477.6,2.1,180.0,1,10,11
Lomustine,3950,C1CCC(CC1)NC(=O)N(CCCl)N=O,233.69,2.8,61.8,1,3,3
Selpercatinib,134436906,CC(C)(COC1=CN2C(=C(C=N2)C#N)C(=C1)C3=CN=C(C=C3)N4CC5CC(C4)N5CC6=CN=C(C=C6)OC)O,525.6,2.5,112.0,1,9,8
Revumenib,132212657,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC(CC5)NS(=O)(=O)CC,630.8,4.3,116.0,1,10,11
Diclofenamide,3038,C1=C(C=C(C(=C1S(=O)(=O)N)Cl)Cl)S(=O)(=O)N,305.2,0.3,137.0,2,6,2
Perphenazine enanthate,62871,CCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,516.1,7.2,61.3,0,6,13
Deacetoxycephalosporin C,160139,CC1=C(N2C(C(C2=O)NC(=O)CCCC(C(=O)O)N)SC1)C(=O)O,357.38,-0.8,175.0,4,8,7
Niperotidine,66753191,CN(C)CC1=CC=C(O1)CSCCNC(=C[N+](=O)[O-])NCC2=CC3=C(C=C2)OCO3,434.5,2.9,130.0,2,9,11
Rifabutin,135415564,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=NC6(CCN(CC6)CC(C)C)N=C25)O)C,847.0,5.6,209.0,5,14,5
Acteoside,5281800,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O,624.6,-0.5,245.0,9,15,11
Clopamide,12492,CC1CCCC(N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C,345.8,2.3,101.0,2,5,3
Cefotiam,43708,CN(C)CCN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)CC4=CSC(=N4)N)SC2)C(=O)O,525.6,-2.4,251.0,3,13,10
Epinastine,3241,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N,249.31,3.5,41.6,1,1,0
Benazeprilat,5463984,C1CC2=CC=CC=C2N(C(=O)C1NC(CCC3=CC=CC=C3)C(=O)O)CC(=O)O,396.4,0.6,107.0,3,6,8
Lisinopril,5362119,C1CC(N(C1)C(=O)C(CCCCN)NC(CCC2=CC=CC=C2)C(=O)O)C(=O)O,405.5,-2.9,133.0,4,7,12
Ecgonine,91460,CN1C2CCC1C(C(C2)O)C(=O)O,185.22,-1.8,60.8,2,4,1
Estradiol valerate,13791,CCCCC(=O)OC1CCC2C1(CCC3C2CCC4=C3C=CC(=C4)O)C,356.5,6,46.5,1,3,5
Benzylpenicillin,5904,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,334.4,1.8,112.0,2,5,4
Quinupristin,5388937,CCC1C(=O)N2CCCC2C(=O)N(C(C(=O)N3CC(C(=O)CC3C(=O)NC(C(=O)OC(C(C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CSC6CN7CCC6CC7)CC8=CC=C(C=C8)N(C)C)C,1022.2,4.2,257.0,4,14,10
Bepridil,2351,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,366.5,5.3,15.7,0,3,10
Fluocortin,22875828,CC1CC2C3CC(C4=CC(=O)C=CC4(C3C(CC2(C1C(=O)C(=O)O)C)O)C)F,390.4,2.8,91.7,2,6,2
Etamiphylline,28329,CCN(CC)CCN1C=NC2=C1C(=O)N(C(=O)N2C)C,279.34,0.3,61.7,0,4,5
Treprostinil,6918140,CCCCCC(CCC1C(CC2C1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,390.5,4.5,87.0,3,5,10
Ibandronate,60852,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,319.23,-4.1,139.0,5,8,9
Dexpanthenol,131204,CC(C)(CO)C(C(=O)NCCCO)O,205.25,-0.9,89.8,4,4,6
Lormetazepam,13314,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3Cl,335.2,2.4,52.9,1,3,1
Thalidomide,5426,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,258.23,0.3,83.6,1,4,1
Codeine,5284371,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O,299.4,1.1,41.9,1,4,1
Ataluren,11219835,C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,284.24,3.1,76.2,1,6,3
Midecamycin,5282169,CCC(=O)OC1CC(=O)OC(CC=CC=CC(C(CC(C(C1OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)CC)(C)O)N(C)C)O)CC=O)C)O)C,814.0,2.6,206.0,3,16,14
Ombitasvir,54767916,CC(C)C(C(=O)N1CCCC1C(=O)NC2=CC=C(C=C2)C3CCC(N3C4=CC=C(C=C4)C(C)(C)C)C5=CC=C(C=C5)NC(=O)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC,894.1,7.9,179.0,4,9,16
Nylidrin,4567,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O,299.4,3.5,52.5,3,3,7
Trilostane,656583,CC12CCC3C(C1CCC2O)CCC45C3(CC(=C(C4O5)O)C#N)C,329.4,2.9,76.8,2,4,0
Ribostamycin,33042,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)O)O)O)N,454.5,-6.3,262.0,10,14,6
Ceforanide,43507,C1C(=C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3CN)C(=O)O)CSC4=NN=NN4CC(=O)O,519.6,-3.2,244.0,4,12,10
Flecainide,3356,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,414.34,3.8,59.6,2,10,7
Prednisone,5865,CC12CC(=O)C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C,358.4,1.5,91.7,2,5,2
Guanoxan,16564,C1C(OC2=CC=CC=C2O1)CN=C(N)N,207.23,0.2,82.9,2,3,2
Oxymetholone,5281034,CC12CCC3C(C1CCC2(C)O)CCC4C3(CC(=CO)C(=O)C4)C,332.5,4.4,57.5,2,3,0
Trilaciclib,68029831,CN1CCN(CC1)C2=CN=C(C=C2)NC3=NC=C4C=C5C(=O)NCC6(N5C4=N3)CCCCC6,446.5,2.6,91.2,2,7,3
