DrugID,DrugName
241,Amsacrine
242,Amyl Nitrite
243,Anagliptin
244,Anagrelide
245,Anastrozole
246,Andrographolide
247,Androstenediol
248,Androstenedione
249,Anecortave
250,Angiotensin 1-7
251,Anileridine
252,Aniline
253,Aniracetam
254,Anisodamine
255,Anisotropine methylbromide
256,Annamycin
257,Antazoline
258,Antipyrine
259,Antrafenine
260,Apalutamide
261,Apaziquone
262,Apixaban
263,Apomorphine
264,Apraclonidine
265,Apramycin
266,Apremilast
267,Aprepitant
268,Aprindine
269,Aprobarbital
270,Aprocitentan
271,Apronalide
272,Arachidonic Acid
273,Aramchol
274,Aranidipine
275,Arbaclofen
276,Arbaclofen Placarbil
277,Arbekacin
278,Arbutamine
279,Arecoline
280,Arformoterol
281,Argatroban
282,Aripiprazole
283,Aripiprazole lauroxil
284,Arketamine
285,Armodafinil
286,Arotinolol
287,Arsenic trioxide
288,Artefenomel
289,Artemether
290,Artemisinin
291,Artemotil
292,Artenimol
293,Artesunate
294,Articaine
295,Asciminib
296,Ascorbic acid
297,Asenapine
298,Aspartame
299,Aspartic acid
300,Aspoxicillin
301,Astaxanthin
302,Astemizole
303,Asunaprevir
304,Ataluren
305,Atamestane
306,Atazanavir
307,Aticaprant
308,Atipamezole
309,Atogepant
310,Atomoxetine
311,Atorvastatin
312,Atosiban
313,Atovaquone
314,Atracurium besylate
315,Atrasentan
316,Atropine
317,Auranofin
318,Aurodox
319,Aurothioglucose
320,Avacopan
321,Avanafil
322,Avapritinib
323,Avasimibe
324,Avatrombopag
325,Avibactam
326,Avilamycin
327,Axelopran
328,Axitinib
329,Azacitidine
330,Azaperone
331,Azapropazone
332,Azatadine
333,Azathioprine
334,Azelaic acid
335,Azelastine
336,Azelnidipine
337,Azidamfenicol
338,Azidocillin
339,Azilsartan medoxomil
340,Azimilide
341,Azithromycin
342,Azlocillin
343,Azosemide
344,Aztreonam
345,BQ-123
346,Bacampicillin
347,Bacitracin
348,Bafilomycin A1
349,Balaglitazone
350,Balsalazide
351,Bambermycins
352,Bambuterol
353,Bamifylline
354,Banoxantrone
355,Barbexaclone
356,Barbital
357,Baricitinib
358,Barnidipine
359,Batefenterol
360,Batimastat
361,Bazedoxifene
362,Beclamide
363,Beclomethasone dipropionate
364,Becocalcidiol
365,Bedaquiline
366,Befunolol
367,Belinostat
368,Belotecan
369,Belumosudil
370,Belzutifan
371,Bempedoic acid
372,Benactyzine
373,Benazepril
374,Benazeprilat
375,Bencyclane
376,Bendamustine
377,Bendazac
378,Bendroflumethiazide
379,Benfluorex
380,Benidipine
381,Benmoxin
382,Benorilate
383,Benoxaprofen
384,Benperidol
385,Benserazide
386,Bentazepam
387,Benzatropine
388,Benzbromarone
389,Benzgalantamine
390,Benzhydrocodone
391,Benzilone
392,Benziodarone
393,Benznidazole
394,Benzocaine
395,Benzoctamine
396,Benzoic acid
397,Benzonatate
398,Benzphetamine
399,Benzquinamide
400,Benzthiazide
401,Benzydamine
402,Benzyl alcohol
403,Benzylpenicillin
404,Benzylpenicilloyl polylysine
405,Benzylthiouracil
406,Bepotastine
407,Bepridil
408,Beraprost
409,Berberine ursodeoxycholate
410,Bergapten
411,Berotralstat
412,Besifloxacin
413,Betahistine
414,Betaine
415,Betamethasone
416,Betamethasone phosphate
417,Betaxolol
418,Bethanechol
419,Bethanidine
420,Betrixaban
421,Betulinic Acid
422,Bevantolol
423,Bevonium
424,Bexagliflozin
425,Bexarotene
426,Bezafibrate
427,Bezitramide
428,Bicifadine
429,Bicisate
430,Bictegravir
431,Bietaserpine
432,Bifemelane
433,Bifeprunox
434,Bifonazole
435,Bilastine
436,Bimatoprost
437,Binimetinib
438,Bioallethrin
439,Biochanin A
440,Biperiden
441,Biricodar
442,Bisacodyl
443,Bisegliptin
444,Bismuth subcitrate potassium
445,Bismuth subgallate
446,Bismuth subnitrate
447,Bismuth subsalicylate
448,Bisoprolol
449,Bisoxatin
450,Bitolterol
451,Bivalirudin
452,Bleomycin
453,Blonanserin
454,Boceprevir
455,Bolandiol
456,Bolasterone
457,Boldenone
458,Bopindolol
459,Bornaprine
460,Bortezomib
461,Bortezomib D-mannitol
462,Bosentan
463,Bosutinib
464,Brefeldin A
465,Brequinar
466,Bretylium
467,Brexanolone
468,Brexpiprazole
469,Brigatinib
470,Brilaroxazine
471,Brimonidine
472,Brincidofovir
473,Brinzolamide
474,Brivaracetam
475,Brofaromine
476,Bromazepam
477,Bromfenac
478,Bromisoval
479,Bromocriptine
480,Bromodiphenhydramine
481,Bromotheophylline
482,Bromperidol
483,Brompheniramine
484,Brotizolam
485,Broxuridine
486,Bryostatin 1
487,Bucindolol
488,Buclizine
