drug1,drug2,pair_key
"(1r,2s)-2-phenylcyclopropanaminium",chloral hydrate,"(1r,2s)-2-phenylcyclopropanaminium||chloral hydrate"
deupirfenidone,tertatolol,deupirfenidone||tertatolol
epirizole,nimesulide,epirizole||nimesulide
duvelisib,valproate bismuth,duvelisib||valproate bismuth
abemaciclib,pibrentasvir,abemaciclib||pibrentasvir
astaxanthin,mifepristone,astaxanthin||mifepristone
ethenzamide,prasugrel,ethenzamide||prasugrel
dihydralazine,sevoflurane,dihydralazine||sevoflurane
cefamandole,permethrin,cefamandole||permethrin
indalpine,oxaflozane,indalpine||oxaflozane
astemizole,icotinib,astemizole||icotinib
bromocriptine,ciprofloxacin,bromocriptine||ciprofloxacin
clorindione,ziprasidone,clorindione||ziprasidone
allopurinol,folic acid,allopurinol||folic acid
chlorambucil,clofarabine,chlorambucil||clofarabine
resveratrol,risedronic acid,resveratrol||risedronic acid
difenoxin,tizanidine,difenoxin||tizanidine
prednylidene,temsirolimus,prednylidene||temsirolimus
mitotane,ospemifene,mitotane||ospemifene
allicin,ethoxzolamide,allicin||ethoxzolamide
2-chloro-5-[(1s)-1-hydroxy-3-oxo-2h-isoindol-1-yl]benzenesulfonamide,edrophonium,2-chloro-5-[(1s)-1-hydroxy-3-oxo-2h-isoindol-1-yl]benzenesulfonamide||edrophonium
acotiamide,clozapine,acotiamide||clozapine
phenprocoumon,pyrimethamine,phenprocoumon||pyrimethamine
iobenguane,tapentadol,iobenguane||tapentadol
angiotensin 1-7,silodosin,angiotensin 1-7||silodosin
clonixin,drospirenone,clonixin||drospirenone
"6-chloro-3-(dichloromethyl)-3,4-dihydro-2h-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide",desmopressin,"6-chloro-3-(dichloromethyl)-3,4-dihydro-2h-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide||desmopressin"
tetrazepam,thiocolchicoside,tetrazepam||thiocolchicoside
"(1r,2s)-2-phenylcyclopropanaminium",thiocolchicoside,"(1r,2s)-2-phenylcyclopropanaminium||thiocolchicoside"
mesoridazine,pregabalin,mesoridazine||pregabalin
deramciclane,methsuximide,deramciclane||methsuximide
arketamine,bucindolol,arketamine||bucindolol
eprosartan,hexobarbital,eprosartan||hexobarbital
puromycin,sucralfate,puromycin||sucralfate
riociguat,valsartan,riociguat||valsartan
n-acetyltyrosine,tolbutamide,n-acetyltyrosine||tolbutamide
asciminib,fosnetupitant,asciminib||fosnetupitant
berotralstat,indacaterol,berotralstat||indacaterol
fluocortolone caproate,triflupromazine,fluocortolone caproate||triflupromazine
brompheniramine,phenolphthalein,brompheniramine||phenolphthalein
calcifediol,ergocalciferol,calcifediol||ergocalciferol
benzocaine,cetirizine,benzocaine||cetirizine
celiprolol,siponimod,celiprolol||siponimod
ethosuximide,iproclozide,ethosuximide||iproclozide
alloin,xipamide,alloin||xipamide
albuterol,benzatropine,albuterol||benzatropine
anisodamine,nicergoline,anisodamine||nicergoline
cefalotin,phenacemide,cefalotin||phenacemide
aldosterone,protokylol,aldosterone||protokylol
cannabidiol,methimazole,cannabidiol||methimazole
hydrocortisone butyrate,roflumilast,hydrocortisone butyrate||roflumilast
ramiprilat,tinoridine,ramiprilat||tinoridine
quingestanol,venetoclax,quingestanol||venetoclax
fenoldopam,hydroxocobalamin,fenoldopam||hydroxocobalamin
alectinib,pitolisant,alectinib||pitolisant
nitrazepam,pheniprazine,nitrazepam||pheniprazine
cefapirin,dermatan sulfate,cefapirin||dermatan sulfate
netilmicin,sucralfate,netilmicin||sucralfate
clevidipine,penbutolol,clevidipine||penbutolol
levonordefrin,rupatadine,levonordefrin||rupatadine
aripiprazole lauroxil,tretoquinol,aripiprazole lauroxil||tretoquinol
etonogestrel,gadofosveset trisodium,etonogestrel||gadofosveset trisodium
chloroprocaine,meprobamate,chloroprocaine||meprobamate
ampicillin,canagliflozin,ampicillin||canagliflozin
hexafluronium,lofentanil,hexafluronium||lofentanil
chromium,mebutizide,chromium||mebutizide
lamotrigine,trihexyphenidyl,lamotrigine||trihexyphenidyl
levonordefrin,tripelennamine,levonordefrin||tripelennamine
efonidipine,promazine,efonidipine||promazine
benoxaprofen,prednisolone hemisuccinate,benoxaprofen||prednisolone hemisuccinate
alphaprodine,ketazolam,alphaprodine||ketazolam
decamethonium,hydroxychloroquine,decamethonium||hydroxychloroquine
bromotheophylline,sacubitril,bromotheophylline||sacubitril
cephaloglycin,naloxone,cephaloglycin||naloxone
aniline,trimethadione,aniline||trimethadione
"6-chloro-3-(dichloromethyl)-3,4-dihydro-2h-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide",metyrosine,"6-chloro-3-(dichloromethyl)-3,4-dihydro-2h-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide||metyrosine"
tegafur,trifluridine,tegafur||trifluridine
coumarin,imipramine oxide,coumarin||imipramine oxide
amprenavir,osimertinib,amprenavir||osimertinib
brivaracetam,viloxazine,brivaracetam||viloxazine
albuterol,tenidap,albuterol||tenidap
mephenoxalone,penfluridol,mephenoxalone||penfluridol
"7,9-dimethylguanine",erythromycin,"7,9-dimethylguanine||erythromycin"
melengestrol acetate,paclitaxel,melengestrol acetate||paclitaxel
sparsomycin,tetrodotoxin,sparsomycin||tetrodotoxin
duloxetine,tegaserod,duloxetine||tegaserod
desomorphine,lisdexamfetamine,desomorphine||lisdexamfetamine
prazosin,rimiterol,prazosin||rimiterol
butabarbital,oxybenzone,butabarbital||oxybenzone
deuruxolitinib,temazepam,deuruxolitinib||temazepam
haloperidol,ixabepilone,haloperidol||ixabepilone
febuxostat,probenecid,febuxostat||probenecid
remacemide,tolperisone,remacemide||tolperisone
levmetamfetamine,mercaptopurine,levmetamfetamine||mercaptopurine
bepridil,calcium cation,bepridil||calcium cation
levomilnacipran,trifluridine,levomilnacipran||trifluridine
dextrothyroxine,testosterone undecanoate,dextrothyroxine||testosterone undecanoate
bopindolol,reproterol,bopindolol||reproterol
fluanisone,vecuronium,fluanisone||vecuronium
barnidipine,ibuproxam,barnidipine||ibuproxam
propiverine,telmisartan,propiverine||telmisartan
(r)-warfarin,beraprost,(r)-warfarin||beraprost
danoprevir,diclofenac,danoprevir||diclofenac
astemizole,mmda,astemizole||mmda
cefmenoxime,paliperidone,cefmenoxime||paliperidone
bisoprolol,olanzapine,bisoprolol||olanzapine
gatifloxacin,zinc substituted heme c,gatifloxacin||zinc substituted heme c
dexniguldipine,lobeglitazone,dexniguldipine||lobeglitazone
nilvadipine,orphenadrine,nilvadipine||orphenadrine
gliquidone,perhexiline,gliquidone||perhexiline
doxofylline,teriflunomide,doxofylline||teriflunomide
evogliptin,furazolidone,evogliptin||furazolidone
gadopentetic acid,pirprofen,gadopentetic acid||pirprofen
bictegravir,estrone sulfate,bictegravir||estrone sulfate
capreomycin,peruvoside,capreomycin||peruvoside
epinastine,tandutinib,epinastine||tandutinib
(r)-atenolol,spironolactone,(r)-atenolol||spironolactone
dihydromorphine,lubiprostone,dihydromorphine||lubiprostone
decamethonium,gabapentin,decamethonium||gabapentin
idalopirdine,pargyline,idalopirdine||pargyline
hydrochlorothiazide,trospium,hydrochlorothiazide||trospium
betrixaban,darunavir,betrixaban||darunavir
mebutamate,palonosetron,mebutamate||palonosetron
fimasartan,regorafenib,fimasartan||regorafenib
buflomedil,eprosartan,buflomedil||eprosartan
mephentermine,oxprenolol,mephentermine||oxprenolol
eslicarbazepine acetate,vabicaserin,eslicarbazepine acetate||vabicaserin
dronedarone,spermine,dronedarone||spermine
metoprolol,triflupromazine,metoprolol||triflupromazine
minocycline,zolazepam,minocycline||zolazepam
dextrothyroxine,tibolone,dextrothyroxine||tibolone
beta-isosparteine,cicletanine,beta-isosparteine||cicletanine
hexobarbital,temazepam,hexobarbital||temazepam
bisoprolol,oxprenolol,bisoprolol||oxprenolol
evogliptin,methyl salicylate,evogliptin||methyl salicylate
fluconazole,methimazole,fluconazole||methimazole
felcisetrag,zotepine,felcisetrag||zotepine
bromotheophylline,primaquine,bromotheophylline||primaquine
ornidazole,succinylcholine,ornidazole||succinylcholine
benorilate,telavancin,benorilate||telavancin
benzyl alcohol,beta-naphthoflavone,benzyl alcohol||beta-naphthoflavone
felodipine,iloperidone,felodipine||iloperidone
9-aminocamptothecin,stiripentol,9-aminocamptothecin||stiripentol
harmaline,mivacurium,harmaline||mivacurium
methyclothiazide,saralasin,methyclothiazide||saralasin
terbutaline,vancomycin,terbutaline||vancomycin
cefalotin,magnesium trisilicate,cefalotin||magnesium trisilicate
palbociclib,zilucoplan,palbociclib||zilucoplan
paliperidone,pancuronium,paliperidone||pancuronium
bitolterol,n-propargyl-1(s)-aminoindan,bitolterol||n-propargyl-1(s)-aminoindan
bicisate,cimicoxib,bicisate||cimicoxib
aminophenazone,atipamezole,aminophenazone||atipamezole
fomepizole,metamizole,fomepizole||metamizole
flunisolide,methysergide,flunisolide||methysergide
bortezomib,tamoxifen,bortezomib||tamoxifen
benzyl alcohol,eplivanserin,benzyl alcohol||eplivanserin
dimenhydrinate,vinorelbine,dimenhydrinate||vinorelbine
pirtobrutinib,sulfamethoxazole,pirtobrutinib||sulfamethoxazole
azithromycin,fluocinolone acetonide,azithromycin||fluocinolone acetonide
aluminium nicotinate,trimipramine,aluminium nicotinate||trimipramine
iloperidone,phentermine,iloperidone||phentermine
cenobamate,paricalcitol,cenobamate||paricalcitol
eszopiclone,triamcinolone,eszopiclone||triamcinolone
dronedarone,robenacoxib,dronedarone||robenacoxib
"(1r,2s)-2-phenylcyclopropanaminium",brompheniramine,"(1r,2s)-2-phenylcyclopropanaminium||brompheniramine"
mavorixafor,phosmet,mavorixafor||phosmet
dicloxacillin,zolpidem,dicloxacillin||zolpidem
progesterone,tamoxifen,progesterone||tamoxifen
