drug1,drug2,pair_key
dibenzepin,rivoglitazone,dibenzepin||rivoglitazone
albuterol,dimercaprol,albuterol||dimercaprol
diethylstilbestrol,ro 12-7310,diethylstilbestrol||ro 12-7310
iprindole,thiopental,iprindole||thiopental
butorphanol,cerlapirdine,butorphanol||cerlapirdine
norgestrienone,paramethadione,norgestrienone||paramethadione
probucol,promethazine,probucol||promethazine
clozapine,desipramine,clozapine||desipramine
gadoteric acid,trametinib,gadoteric acid||trametinib
danoprevir,oxybutynin,danoprevir||oxybutynin
desmopressin,dutasteride,desmopressin||dutasteride
darunavir,prenylamine,darunavir||prenylamine
orphenadrine,ritonavir,orphenadrine||ritonavir
ipratropium,phenobarbital,ipratropium||phenobarbital
calcium,"zoledronate d,l-lysine monohydrate","calcium||zoledronate d,l-lysine monohydrate"
carisoprodol,moricizine,carisoprodol||moricizine
atovaquone,dyclonine,atovaquone||dyclonine
icotinib,paclitaxel,icotinib||paclitaxel
abrocitinib,manidipine,abrocitinib||manidipine
ezogabine,n-propargyl-1(s)-aminoindan,ezogabine||n-propargyl-1(s)-aminoindan
cefradine,cyclothiazide,cefradine||cyclothiazide
candesartan cilexetil,iloperidone,candesartan cilexetil||iloperidone
vincristine,vortioxetine,vincristine||vortioxetine
indoprofen,testosterone propionate,indoprofen||testosterone propionate
pitolisant,tepotinib,pitolisant||tepotinib
chlormadinone acetate,clozapine,chlormadinone acetate||clozapine
dyclonine,pemigatinib,dyclonine||pemigatinib
betamethasone,tripamide,betamethasone||tripamide
magnesium silicate,methoxyphenamine,magnesium silicate||methoxyphenamine
gemfibrozil,pitolisant,gemfibrozil||pitolisant
esreboxetine,flupentixol,esreboxetine||flupentixol
disopyramide,pivhydrazine,disopyramide||pivhydrazine
gadopentetic acid,guanfacine,gadopentetic acid||guanfacine
balsalazide,labetalol,balsalazide||labetalol
azacitidine,hydroxyurea,azacitidine||hydroxyurea
clomipramine,neosaxitoxin,clomipramine||neosaxitoxin
acemetacin,oxacillin,acemetacin||oxacillin
teriflunomide,trofosfamide,teriflunomide||trofosfamide
eletriptan,vilazodone,eletriptan||vilazodone
fenquizone,glimepiride,fenquizone||glimepiride
bezitramide,bornaprine,bezitramide||bornaprine
cannabinol,tetrodotoxin,cannabinol||tetrodotoxin
mosapride,triclofos,mosapride||triclofos
nifenazone,sulbactam,nifenazone||sulbactam
cyclothiazide,dexamethasone isonicotinate,cyclothiazide||dexamethasone isonicotinate
amantadine,quizartinib,amantadine||quizartinib
ecopipam,perospirone,ecopipam||perospirone
celecoxib,ziprasidone,celecoxib||ziprasidone
bitolterol,methylprednisolone aceponate,bitolterol||methylprednisolone aceponate
bismuth subnitrate,isosulfan blue,bismuth subnitrate||isosulfan blue
cinchocaine,febarbamate,cinchocaine||febarbamate
armodafinil,dofetilide,armodafinil||dofetilide
dexibuprofen,vemurafenib,dexibuprofen||vemurafenib
morniflumate,propacetamol,morniflumate||propacetamol
enflurane,oxiracetam,enflurane||oxiracetam
ximelagatran,zomepirac,ximelagatran||zomepirac
levomilnacipran,metocurine,levomilnacipran||metocurine
cimicoxib,orbifloxacin,cimicoxib||orbifloxacin
eplerenone,sucralfate,eplerenone||sucralfate
eslicarbazepine acetate,lamotrigine,eslicarbazepine acetate||lamotrigine
atropine,tramadol,atropine||tramadol
deutetrabenazine,ketorolac,deutetrabenazine||ketorolac
(r)-gossypol,nitrazepam,(r)-gossypol||nitrazepam
bacitracin,topiramate,bacitracin||topiramate
tolvaptan,zonisamide,tolvaptan||zonisamide
cinchocaine,tedizolid phosphate,cinchocaine||tedizolid phosphate
adefovir,etoperidone,adefovir||etoperidone
etamiphylline,methylenedioxyethamphetamine,etamiphylline||methylenedioxyethamphetamine
7-deazaguanine,triazolam,7-deazaguanine||triazolam
fosnetupitant,methaqualone,fosnetupitant||methaqualone
dutasteride,temocapril,dutasteride||temocapril
buspirone,lumiracoxib,buspirone||lumiracoxib
artesunate,mepivacaine,artesunate||mepivacaine
dihydroergotamine,tolvaptan,dihydroergotamine||tolvaptan
salicylamide,sulindac,salicylamide||sulindac
cocaine,scopolamine,cocaine||scopolamine
bifeprunox,drotebanol,bifeprunox||drotebanol
glisoxepide,quetiapine,glisoxepide||quetiapine
cefsulodin,selenium,cefsulodin||selenium
propyphenazone,trimazosin,propyphenazone||trimazosin
bepridil,cadralazine,bepridil||cadralazine
(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium,carprofen,(3-carboxy-2-(r)-hydroxy-propyl)-trimethyl-ammonium||carprofen
bromocriptine,practolol,bromocriptine||practolol
aztreonam,vilanterol,aztreonam||vilanterol
amlodipine,muzolimine,amlodipine||muzolimine
brivaracetam,coumarin,brivaracetam||coumarin
estradiol cypionate,tenoxicam,estradiol cypionate||tenoxicam
imipramine oxide,propacetamol,imipramine oxide||propacetamol
cyclophosphamide,sertindole,cyclophosphamide||sertindole
oxprenolol,valsartan,oxprenolol||valsartan
flibanserin,mebicar,flibanserin||mebicar
chlorphentermine,epinephrine,chlorphentermine||epinephrine
amrinone,proglumetacin,amrinone||proglumetacin
digoxin,gallamine,digoxin||gallamine
clopidogrel,stiripentol,clopidogrel||stiripentol
"7,8-dichloro-1,2,3,4-tetrahydroisoquinoline",alfentanil,"7,8-dichloro-1,2,3,4-tetrahydroisoquinoline||alfentanil"
benmoxin,thiopental,benmoxin||thiopental
"(5r)-5-(4-{[(2r)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2h-chromen-2-yl]methoxy}benzyl)-1,3-thiazolidine-2,4-dione",nandrolone,"(5r)-5-(4-{[(2r)-6-hydroxy-2,5,7,8-tetramethyl-3,4-dihydro-2h-chromen-2-yl]methoxy}benzyl)-1,3-thiazolidine-2,4-dione||nandrolone"
ciprofloxacin,tamsulosin,ciprofloxacin||tamsulosin
nafamostat,norgestrienone,nafamostat||norgestrienone
gadoteridol,sulindac,gadoteridol||sulindac
retapamulin,rifabutin,retapamulin||rifabutin
propicillin,trovafloxacin,propicillin||trovafloxacin
"(1,2,6,7-3h)testosterone",duloxetine,"(1,2,6,7-3h)testosterone||duloxetine"
enasidenib,theobromine,enasidenib||theobromine
barbital,lymecycline,barbital||lymecycline
nilvadipine,safinamide,nilvadipine||safinamide
debrisoquine,guanfacine,debrisoquine||guanfacine
cudc-101,efavirenz,cudc-101||efavirenz
dezocine,phenobarbital,dezocine||phenobarbital
clomipramine,tocainide,clomipramine||tocainide
butabarbital,fondaparinux,butabarbital||fondaparinux
fentanyl,melitracen,fentanyl||melitracen
doxycycline,metacycline,doxycycline||metacycline
ergotamine,udenafil,ergotamine||udenafil
desloratadine,propiverine,desloratadine||propiverine
seladelpar,tolbutamide,seladelpar||tolbutamide
cefcapene,moxisylyte,cefcapene||moxisylyte
gefitinib,idarubicin,gefitinib||idarubicin
azathioprine,ramiprilat,azathioprine||ramiprilat
cholecalciferol,yohimbine,cholecalciferol||yohimbine
adefovir,levovirin,adefovir||levovirin
desogestrel,iptacopan,desogestrel||iptacopan
metabutethamine,romidepsin,metabutethamine||romidepsin
dexamethasone acetate,firocoxib,dexamethasone acetate||firocoxib
dihydrocodeine,pregabalin,dihydrocodeine||pregabalin
azelastine,resmetirom,azelastine||resmetirom
meclizine,triflupromazine,meclizine||triflupromazine
octopamine,valsartan,octopamine||valsartan
apronalide,moricizine,apronalide||moricizine
tecovirimat,vincristine,tecovirimat||vincristine
diethylpropion,etafedrine,diethylpropion||etafedrine
tandospirone,zaleplon,tandospirone||zaleplon
cloxazolam,morphine,cloxazolam||morphine
armodafinil,cabazitaxel,armodafinil||cabazitaxel
butamben,radium ra-223 cation,butamben||radium ra-223 cation
thalidomide,torasemide,thalidomide||torasemide
phenindione,suxibuzone,phenindione||suxibuzone
pergolide,suxibuzone,pergolide||suxibuzone
antrafenine,pyrantel,antrafenine||pyrantel
flutamide,ponesimod,flutamide||ponesimod
alanosine,phenol,alanosine||phenol
chlorambucil,iptacopan,chlorambucil||iptacopan
acemetacin,spirapril,acemetacin||spirapril
acetylsalicylic acid,rescinnamine,acetylsalicylic acid||rescinnamine
ciprofloxacin,etynodiol,ciprofloxacin||etynodiol
cefditoren,etoricoxib,cefditoren||etoricoxib
alprazolam,clorgiline,alprazolam||clorgiline
butobarbital,clotiazepam,butobarbital||clotiazepam
cicletanine,dexketoprofen,cicletanine||dexketoprofen
methohexital,metyrosine,methohexital||metyrosine
indobufen,troxerutin,indobufen||troxerutin
aluminium nicotinate,epitizide,aluminium nicotinate||epitizide
benfluorex,difluocortolone,benfluorex||difluocortolone
cephaloglycin,dopamine,cephaloglycin||dopamine
clevidipine,semaglutide,clevidipine||semaglutide
melperone,suxibuzone,melperone||suxibuzone
esreboxetine,safrazine,esreboxetine||safrazine
abiraterone,anastrozole,abiraterone||anastrozole
iopromide,tadalafil,iopromide||tadalafil
amineptine,loxapine,amineptine||loxapine
fluticasone,vinblastine,fluticasone||vinblastine
candesartan,parecoxib,candesartan||parecoxib
erlotinib,fluphenazine,erlotinib||fluphenazine
acetate,cefetamet,acetate||cefetamet
betrixaban,cyclophosphamide,betrixaban||cyclophosphamide
flupirtine,hydroflumethiazide,flupirtine||hydroflumethiazide
bismuth subcitrate potassium,cabazitaxel,bismuth subcitrate potassium||cabazitaxel
eszopiclone,fluvoxamine,eszopiclone||fluvoxamine
alfaxalone,pergolide,alfaxalone||pergolide
carindacillin,rosoxacin,carindacillin||rosoxacin
tigecycline,vitamin a,tigecycline||vitamin a
cefroxadine,oxidronic acid,cefroxadine||oxidronic acid
coumaphos,prednisolone acetate,coumaphos||prednisolone acetate
isepamicin,strontium cation sr-89,isepamicin||strontium cation sr-89
decamethonium,quetiapine,decamethonium||quetiapine
abexinostat,haloperidol,abexinostat||haloperidol
guanabenz,sildenafil,guanabenz||sildenafil
nabumetone,tienilic acid,nabumetone||tienilic acid
armodafinil,octylphenoxy polyethoxyethanol,armodafinil||octylphenoxy polyethoxyethanol
acemetacin,sufentanil,acemetacin||sufentanil
dabigatran etexilate,tibolone,dabigatran etexilate||tibolone
levosimendan,quetiapine,levosimendan||quetiapine
(r)-propafenone,canrenone,(r)-propafenone||canrenone
amphetamine,moexipril,amphetamine||moexipril
amoxapine,dolasetron,amoxapine||dolasetron
iprindole,naproxen,iprindole||naproxen
prazepam,remoxipride,prazepam||remoxipride
carbutamide,fluconazole,carbutamide||fluconazole
dextromethadone,metoprolol,dextromethadone||metoprolol
balsalazide,doxazosin,balsalazide||doxazosin
ceftazidime,cetirizine,ceftazidime||cetirizine
dichlorobenzyl alcohol,finerenone,dichlorobenzyl alcohol||finerenone
imidazole salicylate,nedocromil,imidazole salicylate||nedocromil
bevantolol,loperamide,bevantolol||loperamide
apremilast,mequitazine,apremilast||mequitazine
bupivacaine,plevitrexed,bupivacaine||plevitrexed
enoxacin,floctafenine,enoxacin||floctafenine
apomorphine,mirabegron,apomorphine||mirabegron
glipizide,terfenadine,glipizide||terfenadine
gemfibrozil,venetoclax,gemfibrozil||venetoclax
dextrorphan,phencyclidine,dextrorphan||phencyclidine
imidafenacin,pantoprazole,imidafenacin||pantoprazole
hexoprenaline,olodaterol,hexoprenaline||olodaterol
cholesterol,teriflunomide,cholesterol||teriflunomide
pemetrexed,resveratrol,pemetrexed||resveratrol
clofazimine,tivozanib,clofazimine||tivozanib
busulfan,mobocertinib,busulfan||mobocertinib
mocetinostat,oxatomide,mocetinostat||oxatomide
methyclothiazide,nitroaspirin,methyclothiazide||nitroaspirin
ampicillin,ns-398,ampicillin||ns-398
mirabegron,romidepsin,mirabegron||romidepsin
nicergoline,xylometazoline,nicergoline||xylometazoline
ciprofloxacin,farnesyl thiopyrophosphate,ciprofloxacin||farnesyl thiopyrophosphate
brompheniramine,huperzine a,brompheniramine||huperzine a
estazolam,niflumic acid,estazolam||niflumic acid
darifenacin,rupatadine,darifenacin||rupatadine
bufotenine,nabilone,bufotenine||nabilone
dofetilide,miconazole,dofetilide||miconazole
isoflavone,potassium,isoflavone||potassium
alitretinoin,armodafinil,alitretinoin||armodafinil
cyclosporine,etizolam,cyclosporine||etizolam
cethromycin,gilteritinib,cethromycin||gilteritinib
bumetanide,rivoglitazone,bumetanide||rivoglitazone
tenofovir disoproxil,vadadustat,tenofovir disoproxil||vadadustat
fentiazac,polythiazide,fentiazac||polythiazide
clorindione,fusafungine,clorindione||fusafungine
bunaftine,nifedipine,bunaftine||nifedipine
benzoctamine,nefiracetam,benzoctamine||nefiracetam
doripenem,mefenamic acid,doripenem||mefenamic acid
alphacetylmethadol,avasimibe,alphacetylmethadol||avasimibe
ertapenem,theobromine,ertapenem||theobromine
5-androstenedione,cyclosporine,5-androstenedione||cyclosporine
dihydralazine,nebivolol,dihydralazine||nebivolol
imidafenacin,lenabasum,imidafenacin||lenabasum
agomelatine,meprobamate,agomelatine||meprobamate
ibrexafungerp,ziprasidone,ibrexafungerp||ziprasidone
hydroxyurea,mometasone furoate,hydroxyurea||mometasone furoate
levomilnacipran,propantheline,levomilnacipran||propantheline
alosetron,diosmin,alosetron||diosmin
amoxicillin,tinoridine,amoxicillin||tinoridine
amiodarone,deslanoside,amiodarone||deslanoside
dihexyverine,flupentixol,dihexyverine||flupentixol
apomorphine,zidovudine,apomorphine||zidovudine
glimepiride,taurocholic acid,glimepiride||taurocholic acid
hydromorphone,tiapride,hydromorphone||tiapride
ethanol,fenoprofen,ethanol||fenoprofen
istradefylline,triamcinolone,istradefylline||triamcinolone
meloxicam,triaziquone,meloxicam||triaziquone
midostaurin,sibutramine,midostaurin||sibutramine
empagliflozin,imidazole salicylate,empagliflozin||imidazole salicylate
darifenacin,oxymorphone,darifenacin||oxymorphone
pirlindole,tixocortol,pirlindole||tixocortol
metaraminol,terazosin,metaraminol||terazosin
guanfacine,ifosfamide,guanfacine||ifosfamide
aprobarbital,naloxegol,aprobarbital||naloxegol
enoxacin,repaglinide,enoxacin||repaglinide
noscapine,roflumilast,noscapine||roflumilast
nabumetone,nadolol,nabumetone||nadolol
apalutamide,doxycycline,apalutamide||doxycycline
ethotoin,gallamine triethiodide,ethotoin||gallamine triethiodide
chlormadinone,pheneticillin,chlormadinone||pheneticillin
almasilate,diflunisal,almasilate||diflunisal
iproclozide,tetrahydrocannabivarin,iproclozide||tetrahydrocannabivarin
decamethonium,thiazinam,decamethonium||thiazinam
capecitabine,desmopressin,capecitabine||desmopressin
alectinib,indisulam,alectinib||indisulam
acebutolol,vericiguat,acebutolol||vericiguat
metolazone,tolazamide,metolazone||tolazamide
midecamycin,posaconazole,midecamycin||posaconazole
amibegron,propiverine,amibegron||propiverine
butacaine,enrofloxacin,butacaine||enrofloxacin
alcuronium,harmaline,alcuronium||harmaline
guanoclor,naphazoline,guanoclor||naphazoline
benoxaprofen,ridogrel,benoxaprofen||ridogrel
midomafetamine,rolapitant,midomafetamine||rolapitant
aztreonam,pirlindole,aztreonam||pirlindole
fluorouracil,romidepsin,fluorouracil||romidepsin
cloxacillin,propoxycaine,cloxacillin||propoxycaine
methylphenobarbital,tetracaine,methylphenobarbital||tetracaine
avapritinib,indomethacin,avapritinib||indomethacin
jnj-26489112,piclozotan,jnj-26489112||piclozotan
fusidic acid,meclizine,fusidic acid||meclizine
eribulin,ketoconazole,eribulin||ketoconazole
busulfan,clopenthixol,busulfan||clopenthixol
7-deazaguanine,indacaterol,7-deazaguanine||indacaterol
ethinylestradiol,triflusal,ethinylestradiol||triflusal
metoclopramide,suvorexant,metoclopramide||suvorexant
bacitracin,methylnaltrexone,bacitracin||methylnaltrexone
guanfacine,valganciclovir,guanfacine||valganciclovir
aripiprazole,levosimendan,aripiprazole||levosimendan
daunorubicin,maribavir,daunorubicin||maribavir
7-(2-amino-2-phenyl-acetylamino)-3-chloro-8-oxo-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid,pentobarbital,7-(2-amino-2-phenyl-acetylamino)-3-chloro-8-oxo-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid||pentobarbital
mivacurium,xylometazoline,mivacurium||xylometazoline
azilsartan medoxomil,landiolol,azilsartan medoxomil||landiolol
"4-bromo-2,5-dimethoxyamphetamine",ibuproxam,"4-bromo-2,5-dimethoxyamphetamine||ibuproxam"
azatadine,deacetylbisacodyl,azatadine||deacetylbisacodyl
remifentanil,tenidap,remifentanil||tenidap
butylphthalide,clorgiline,butylphthalide||clorgiline
eltrombopag,quercetin,eltrombopag||quercetin
carvedilol,methazolamide,carvedilol||methazolamide
ropivacaine,suvorexant,ropivacaine||suvorexant
aluminium acetotartrate,bevantolol,aluminium acetotartrate||bevantolol
oxybutynin,tyramine,oxybutynin||tyramine
1-benzylimidazole,lonazolac,1-benzylimidazole||lonazolac
bumadizone,cefetamet,bumadizone||cefetamet
piperaquine,valdecoxib,piperaquine||valdecoxib
dalfampridine,sulfasalazine,dalfampridine||sulfasalazine
codeine,metharbital,codeine||metharbital
barbexaclone,bufuralol,barbexaclone||bufuralol
evogliptin,pirlindole,evogliptin||pirlindole
bleomycin,fluorometholone,bleomycin||fluorometholone
3-isobutyl-1-methyl-7h-xanthine,levonordefrin,3-isobutyl-1-methyl-7h-xanthine||levonordefrin
fluspirilene,gemifloxacin,fluspirilene||gemifloxacin
felodipine,tandutinib,felodipine||tandutinib
acetylsalicylic acid,indacaterol,acetylsalicylic acid||indacaterol
emopamil,thioproperazine,emopamil||thioproperazine
"(1,2,6,7-3h)testosterone",ioxilan,"(1,2,6,7-3h)testosterone||ioxilan"
ketoconazole,paramethadione,ketoconazole||paramethadione
capravirine,quercetin,capravirine||quercetin
brivaracetam,phenprocoumon,brivaracetam||phenprocoumon
hydrocortisone,vemurafenib,hydrocortisone||vemurafenib
biperiden,salmeterol,biperiden||salmeterol
diflorasone,fedratinib,diflorasone||fedratinib
octylphenoxy polyethoxyethanol,omadacycline,octylphenoxy polyethoxyethanol||omadacycline
chlormadinone acetate,doramectin,chlormadinone acetate||doramectin
levobunolol,spironolactone,levobunolol||spironolactone
balaglitazone,estrone sulfate,balaglitazone||estrone sulfate
maprotiline,tasimelteon,maprotiline||tasimelteon
benidipine,dexamethasone isonicotinate,benidipine||dexamethasone isonicotinate
timolol,xenon,timolol||xenon
cortisone,hydrocortisone butyrate,cortisone||hydrocortisone butyrate
iproniazid,nadolol,iproniazid||nadolol
butaperazine,levodopa,butaperazine||levodopa
benzocaine,eribulin,benzocaine||eribulin
clenbuterol,etomidate,clenbuterol||etomidate
ethyl biscoumacetate,renzapride,ethyl biscoumacetate||renzapride
nitroaspirin,sparfloxacin,nitroaspirin||sparfloxacin
doxofylline,viloxazine,doxofylline||viloxazine
flunixin,idraparinux,flunixin||idraparinux
mepyramine,proxibarbal,mepyramine||proxibarbal
delafloxacin,ritonavir,delafloxacin||ritonavir
amibegron,sevoflurane,amibegron||sevoflurane
cloxazolam,triflupromazine,cloxazolam||triflupromazine
methoxyphenamine,tiapride,methoxyphenamine||tiapride
ceftazidime,quetiapine,ceftazidime||quetiapine
mesalazine,ranolazine,mesalazine||ranolazine
ketoconazole,spironolactone,ketoconazole||spironolactone
cefradine,ciprofloxacin,cefradine||ciprofloxacin
ajmaline,asenapine,ajmaline||asenapine
phentermine,terguride,phentermine||terguride
benzphetamine,homatropine methylbromide,benzphetamine||homatropine methylbromide
amantadine,calcium gluconate,amantadine||calcium gluconate
amlodipine,cilnidipine,amlodipine||cilnidipine
mitotane,nevirapine,mitotane||nevirapine
dosulepin,triclabendazole,dosulepin||triclabendazole
aluminum chlorohydrate,dienogest,aluminum chlorohydrate||dienogest
metoprolol,ritanserin,metoprolol||ritanserin
frovatriptan,lisinopril,frovatriptan||lisinopril
carboxyamidotriazole,stiripentol,carboxyamidotriazole||stiripentol
nizatidine,xanomeline,nizatidine||xanomeline
(6r)-folinic acid,tetracycline,(6r)-folinic acid||tetracycline
bevonium,taranabant,bevonium||taranabant
alendronic acid,enalapril,alendronic acid||enalapril
acetoacetic acid,cysteamine,acetoacetic acid||cysteamine
hydrochlorothiazide,metildigoxin,hydrochlorothiazide||metildigoxin
dibenzepin,rotigotine,dibenzepin||rotigotine
clozapine,octylphenoxy polyethoxyethanol,clozapine||octylphenoxy polyethoxyethanol
gitoformate,theodrenaline,gitoformate||theodrenaline
glipizide,taurocholic acid,glipizide||taurocholic acid
loxoprofen,melengestrol,loxoprofen||melengestrol
bupivacaine,indobufen,bupivacaine||indobufen
dexpramipexole,vortioxetine,dexpramipexole||vortioxetine
secobarbital,talbutal,secobarbital||talbutal
azathioprine,nitric oxide,azathioprine||nitric oxide
atropine,sulfamethoxazole,atropine||sulfamethoxazole
krn-7000,propoxycaine,krn-7000||propoxycaine
jnj-26489112,xylazine,jnj-26489112||xylazine
oxidronic acid,prucalopride,oxidronic acid||prucalopride
asunaprevir,brigatinib,asunaprevir||brigatinib
clopenthixol,selpercatinib,clopenthixol||selpercatinib
pimecrolimus,wortmannin,pimecrolimus||wortmannin
englitazone,zimelidine,englitazone||zimelidine
betaxolol,difenpiramide,betaxolol||difenpiramide
doxefazepam,metharbital,doxefazepam||metharbital
mequitazine,vinflunine,mequitazine||vinflunine
phenformin,sulfasalazine,phenformin||sulfasalazine
7-nitroindazole,dantrolene,7-nitroindazole||dantrolene
delafloxacin,empagliflozin,delafloxacin||empagliflozin
doxycycline,quinapril,doxycycline||quinapril
clorgiline,piritramide,clorgiline||piritramide
balaglitazone,venlafaxine,balaglitazone||venlafaxine
butaperazine,tianeptine,butaperazine||tianeptine
etrasimod,nateglinide,etrasimod||nateglinide
diosmin,imatinib,diosmin||imatinib
caroxazone,letaxaban,caroxazone||letaxaban
ifenprodil,nicergoline,ifenprodil||nicergoline
mofebutazone,propacetamol,mofebutazone||propacetamol
azelastine,promazine,azelastine||promazine
orphenadrine,samidorphan,orphenadrine||samidorphan
pivampicillin,sarecycline,pivampicillin||sarecycline
muzolimine,phenylephrine,muzolimine||phenylephrine
"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile",elvitegravir,"(1s,3s,5s)-2-{(2s)-2-amino-2-[(1r,3s,5r,7s)-3-hydroxytricyclo[3.3.1.1~3,7~]dec-1-yl]acetyl}-2-azabicyclo[3.1.0]hexane-3-carbonitrile||elvitegravir"
mirabegron,selumetinib,mirabegron||selumetinib
alphacetylmethadol,surinabant,alphacetylmethadol||surinabant
cefmetazole,timolol,cefmetazole||timolol
amitriptyline,propofol,amitriptyline||propofol
(r)-fluoxetine,melagatran,(r)-fluoxetine||melagatran
cefroxadine,floctafenine,cefroxadine||floctafenine
carmustine,obeticholic acid,carmustine||obeticholic acid
orbifloxacin,tixocortol,orbifloxacin||tixocortol
estradiol acetate,tetracycline,estradiol acetate||tetracycline
lisinopril,tenidap,lisinopril||tenidap
cinnamaldehyde,meloxicam,cinnamaldehyde||meloxicam
itraconazole,tofacitinib,itraconazole||tofacitinib
(r)-bicalutamide,tovorafenib,(r)-bicalutamide||tovorafenib
nadolol,tulobuterol,nadolol||tulobuterol
mmda,phencyclidine,mmda||phencyclidine
acetylamino-acetic acid,ethchlorvynol,acetylamino-acetic acid||ethchlorvynol
fazadinium bromide,paroxetine,fazadinium bromide||paroxetine
estrone sulfate,netoglitazone,estrone sulfate||netoglitazone
buspirone,conivaptan,buspirone||conivaptan
dicoumarol,picotamide,dicoumarol||picotamide
lercanidipine,proglumetacin,lercanidipine||proglumetacin
hydrolyzed cephalothin,tropisetron,hydrolyzed cephalothin||tropisetron
droperidol,ritobegron,droperidol||ritobegron
dextromethadone,sucralfate,dextromethadone||sucralfate
aprobarbital,pomalidomide,aprobarbital||pomalidomide
dexibuprofen,solabegron,dexibuprofen||solabegron
mavacamten,rhein,mavacamten||rhein
dexmecamylamine,salsalate,dexmecamylamine||salsalate
inosine,tolterodine,inosine||tolterodine
benazeprilat,dihydroergocristine,benazeprilat||dihydroergocristine
surinabant,tramazoline,surinabant||tramazoline
bopindolol,englitazone,bopindolol||englitazone
etoricoxib,isavuconazole,etoricoxib||isavuconazole
antipyrine,lormetazepam,antipyrine||lormetazepam
esreboxetine,etomidate,esreboxetine||etomidate
"2,4-diamino-5-(3,4,5-trimethoxy-benzyl)-pyrimidin-1-ium",desmopressin,"2,4-diamino-5-(3,4,5-trimethoxy-benzyl)-pyrimidin-1-ium||desmopressin"
cortisone acetate,danoprevir,cortisone acetate||danoprevir
6-o-benzylguanine,iofetamine i-123,6-o-benzylguanine||iofetamine i-123
carbromal,phenazocine,carbromal||phenazocine
blonanserin,trichloroethylene,blonanserin||trichloroethylene
ethyl loflazepate,mepyramine,ethyl loflazepate||mepyramine
fluvoxamine,moxisylyte,fluvoxamine||moxisylyte
glyburide,maribavir,glyburide||maribavir
ephedrine,moxisylyte,ephedrine||moxisylyte
ilorasertib,meloxicam,ilorasertib||meloxicam
ibrutinib,lumacaftor,ibrutinib||lumacaftor
aldosterone,metocurine,aldosterone||metocurine
aztreonam,cefaclor,aztreonam||cefaclor
tolazamide,ularitide,tolazamide||ularitide
ertapenem,pidotimod,ertapenem||pidotimod
meperidine,nomifensine,meperidine||nomifensine
angiotensin 1-7,guanoxan,angiotensin 1-7||guanoxan
osimertinib,triclabendazole,osimertinib||triclabendazole
carbamazepine,tilmicosin,carbamazepine||tilmicosin
batefenterol,olodaterol,batefenterol||olodaterol
cephalexin,etoperidone,cephalexin||etoperidone
glasdegib,mepyramine,glasdegib||mepyramine
fluoxymesterone,melengestrol,fluoxymesterone||melengestrol
atropine,indinavir,atropine||indinavir
chlorproethazine,quetiapine,chlorproethazine||quetiapine
arbekacin,chloroprocaine,arbekacin||chloroprocaine
bismuth subnitrate,perhexiline,bismuth subnitrate||perhexiline
nilotinib,pentobarbital,nilotinib||pentobarbital
balsalazide,lofexidine,balsalazide||lofexidine
lacosamide,mavorixafor,lacosamide||mavorixafor
benzilone,bornaprine,benzilone||bornaprine
epimestrol,paramethasone,epimestrol||paramethasone
isepamicin,magnesium silicate,isepamicin||magnesium silicate
fentiazac,tepoxalin,fentiazac||tepoxalin
benzyl alcohol,mechlorethamine,benzyl alcohol||mechlorethamine
ethyl biscoumacetate,methyl-1-testosterone,ethyl biscoumacetate||methyl-1-testosterone
acetylleucine,vincristine,acetylleucine||vincristine
chloroprocaine,mebutamate,chloroprocaine||mebutamate
cyclopenthiazide,treprostinil,cyclopenthiazide||treprostinil
methimazole,pinaverium,methimazole||pinaverium
eslicarbazepine,pentoxifylline,eslicarbazepine||pentoxifylline
cefetamet,tiaprofenic acid,cefetamet||tiaprofenic acid
primaquine,tinidazole,primaquine||tinidazole
kebuzone,phendimetrazine,kebuzone||phendimetrazine
brigatinib,oxybutynin,brigatinib||oxybutynin
canagliflozin,pretomanid,canagliflozin||pretomanid
clofarabine,cytarabine,clofarabine||cytarabine
melengestrol acetate,neratinib,melengestrol acetate||neratinib
dutasteride,loxoprofen,dutasteride||loxoprofen
reserpine,tiagabine,reserpine||tiagabine
ritonavir,simeprevir,ritonavir||simeprevir
ormeloxifene,sulbenicillin,ormeloxifene||sulbenicillin
sumatriptan,thiabendazole,sumatriptan||thiabendazole
mitemcinal,tofacitinib,mitemcinal||tofacitinib
"(1,2,6,7-3h)testosterone",algestone acetophenide,"(1,2,6,7-3h)testosterone||algestone acetophenide"
avanafil,levodopa,avanafil||levodopa
fospropofol,pergolide,fospropofol||pergolide
acalabrutinib,neratinib,acalabrutinib||neratinib
dextromethadone,trifluridine,dextromethadone||trifluridine
naproxen,prasugrel,naproxen||prasugrel
betahistine,emedastine,betahistine||emedastine
quinidine,toloxatone,quinidine||toloxatone
mycophenolate mofetil,prednisone acetate,mycophenolate mofetil||prednisone acetate
