DrugID,DrugName,CID,ChEBI_ID,Pathway_ID,Pathway_Name,Evidence,Species
114,Acetylcholine,187,CHEBI:15355,R-HSA-1483191,Synthesis of PC,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-1483206,Glycerophospholipid biosynthesis,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-1483257,Phospholipid metabolism,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-162582,Signal Transduction,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-163685,Integration of energy metabolism,IEA,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-181431,Acetylcholine binding and downstream events,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-2980736,Peptide hormone metabolism,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-372790,Signaling by GPCR,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-373076,Class A/1 (Rhodopsin-like receptors),TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-375280,Amine ligand-binding receptors,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-381771,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-388396,GPCR downstream signalling,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-390648,Muscarinic acetylcholine receptors,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-392499,Metabolism of proteins,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-399997,Acetylcholine regulates insulin secretion,IEA,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-400508,"Incretin synthesis, secretion, and inactivation",TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-416476,G alpha (q) signalling events,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-418594,G alpha (i) signalling events,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-422356,Regulation of insulin secretion,IEA,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-500792,GPCR ligand binding,TAS,Homo sapiens
114,Acetylcholine,187,CHEBI:15355,R-HSA-556833,Metabolism of lipids,TAS,Homo sapiens
