DrugID,DrugName,gene_name,gene_concept_id,interaction_types,interaction_source_db_name,interaction_score,evidence_score
1527.0,Hydrogen peroxide,GPD2,hgnc:4456,,NCI,1.291024133982505,2.0
460.0,Bortezomib,PSMC6,hgnc:9553,other/unknown,MyCancerGenome,0.4103254999479281,4.0
580.0,Carfilzomib,PSMC6,hgnc:9553,other/unknown,MyCancerGenome,0.5881332165920303,4.0
2411.0,Pralatrexate,DHFR,hgnc:2861,inhibitor,ClearityFoundationClinicalTrial,2.594705367317781,5.0
2251.0,Pemetrexed,DHFR,hgnc:2861,inhibitor,ClearityFoundationClinicalTrial,0.5189410734635561,8.0
179.0,Alprazolam,BRD2,hgnc:1103,,DTC,0.1260285464125779,2.0
106.0,Acetaminophen,BRD2,hgnc:1103,,DTC,0.0756171278475467,2.0
1948.0,Midazolam,BRD2,hgnc:1103,,DTC,0.1080244683536382,2.0
2988.0,Triazolam,BRD2,hgnc:1103,,DTC,0.1260285464125779,2.0
316.0,Atropine,CHRM2,hgnc:1951,inhibitor,ChEMBL,0.1216827344673166,4.0
359.0,Batefenterol,CHRM2,hgnc:1951,inhibitor,ChEMBL,0.1216827344673166,1.0
150.0,Alcuronium,CHRM2,hgnc:1951,positive modulator,ChEMBL,0.3650482034019499,1.0
2198.0,Oxybutynin,CHRM2,hgnc:1951,inhibitor,ChEMBL,0.2085989733725428,4.0
564.0,Carbamazepine,POLR1HASP,hgnc:13924,,PharmGKB,2.205499562220113,2.0
2618.0,Rosuvastatin,SLCO1B1,hgnc:10959,,FDA,0.0251338981449585,1.0
1085.0,Elagolix,SLCO1B1,hgnc:10959,,FDA,0.6534813517689225,2.0
862.0,Dasatinib,LYN,hgnc:6735,,CIViC,0.0443936171316321,3.0
1572.0,Imatinib,CYP2F1,hgnc:2632,,PharmGKB,1.45019149296665,2.0
2164.0,Orlistat,DAGLA,hgnc:1165,,DTC,2.646599474664136,3.0
2815.0,Tazemetostat,SMARCA4,hgnc:11100,,CIViC,0.8270623358325426,3.0
2219.0,Palbociclib,SMARCA4,hgnc:11100,,CIViC,0.2004999602018285,5.0
2565.0,Ribociclib,SMARCA4,hgnc:11100,,CIViC,0.2205499562220113,2.0
92.0,Abemaciclib,SMARCA4,hgnc:11100,,CIViC,0.3482367729821232,3.0
3103.0,Vinorelbine,SMARCA4,hgnc:11100,,CIViC,0.1764399649776091,2.0
744.0,Clofarabine,POLD1,hgnc:9175,inhibitor,ChEMBL,0.3892058050976671,1.0
3028.0,Troxacitabine,POLD1,hgnc:9175,inhibitor,ChEMBL,0.5513748905550284,1.0
823.0,Cytarabine,POLD1,hgnc:9175,inhibitor,ChEMBL,0.0743426818725881,1.0
1328.0,Fluorouracil,VENTXP7,hgnc:13638,,PharmGKB,0.4167873188447459,2.0
555.0,Capecitabine,VENTXP7,hgnc:13638,,PharmGKB,0.9623998089687767,2.0
1176.0,Estradiol valerate,PROS1,hgnc:9456,,FDA,0.1306962703537845,1.0
324.0,Avatrombopag,PROS1,hgnc:9456,,FDA,1.470333041480075,2.0
1780.0,Lusutrombopag,PROS1,hgnc:9456,,FDA,1.960444055306767,2.0
2455.0,Progesterone,PROS1,hgnc:9456,,FDA,0.0964152814085295,1.0
304.0,Ataluren,RPS2,hgnc:10404,modulator,ChEMBL,0.0645512066991252,1.0
460.0,Bortezomib,PSMA6,hgnc:9535,,DTC,0.3517075713839384,4.0
580.0,Carfilzomib,PSMA6,hgnc:9535,,DTC,0.5041141856503117,4.0
1011.0,Dipyridamole,SLC29A1,hgnc:11003,inhibitor,GuideToPharmacology,0.0741344390662223,2.0
