STITCH_ID,SIDER_DrugName,MatchType,Confidence,CandidateDrugID,CandidateDrugName,Similarity
CID100060814,remifentanil,EXACT_NORMALIZED,HIGH,2545,Remifentanil,1.0
CID100060830,tiotropium,EXACT_NORMALIZED,HIGH,2928,Tiotropium,1.0
CID100060834,duloxetine,EXACT_NORMALIZED,HIGH,1058,Duloxetine,1.0
CID100060843,pemetrexed,EXACT_NORMALIZED,HIGH,2251,Pemetrexed,1.0
CID100060853,ziprasidone,EXACT_NORMALIZED,HIGH,3151,Ziprasidone,1.0
CID100060867,levosimendan,EXACT_NORMALIZED,HIGH,1714,Levosimendan,1.0
CID100060878,eprosartan,EXACT_NORMALIZED,HIGH,1146,Eprosartan,1.0
CID100062305,doxycycline,EXACT_NORMALIZED,HIGH,1047,Doxycycline,1.0
CID100062924,fluticasone,EXACT_NORMALIZED,HIGH,1344,Fluticasone,1.0
CID100063001,benazeprilat,EXACT_NORMALIZED,HIGH,374,Benazeprilat,1.0
CID100064147,valganciclovir,EXACT_NORMALIZED,HIGH,3064,Valganciclovir,1.0
CID100064778,Meropenem,EXACT_NORMALIZED,HIGH,1863,Meropenem,1.0
CID100064987,tenofovir,EXACT_NORMALIZED,HIGH,2845,Tenofovir,1.0
CID100068613,atosiban,EXACT_NORMALIZED,HIGH,312,Atosiban,1.0
CID100071273,ropivacaine,EXACT_NORMALIZED,HIGH,2614,Ropivacaine,1.0
CID100071316,mivacurium,EXACT_NORMALIZED,HIGH,1972,Mivacurium,1.0
CID100071348,lanreotide,EXACT_NORMALIZED,HIGH,1680,Lanreotide,1.0
CID100071469,erythromycin,EXACT_NORMALIZED,HIGH,1160,Erythromycin,1.0
CID100072054,darifenacin,EXACT_NORMALIZED,HIGH,857,Darifenacin,1.0
CID100072111,rifaximin,EXACT_NORMALIZED,HIGH,2575,Rifaximin,1.0
CID100072466,bleomycin,EXACT_NORMALIZED,HIGH,452,Bleomycin,1.0
CID100072938,gemifloxacin,EXACT_NORMALIZED,HIGH,1424,Gemifloxacin,1.0
CID100073658,telithromycin,EXACT_NORMALIZED,HIGH,2830,Telithromycin,1.0
CID100077996,paricalcitol,EXACT_NORMALIZED,HIGH,2237,Paricalcitol,1.0
CID100077998,rosiglitazone,EXACT_NORMALIZED,HIGH,2616,Rosiglitazone,1.0
CID100084003,ketorolac,EXACT_NORMALIZED,HIGH,1662,Ketorolac,1.0
CID100093860,bortezomib,EXACT_NORMALIZED,HIGH,460,Bortezomib,1.0
CID100096312,nelarabine,EXACT_NORMALIZED,HIGH,2054,Nelarabine,1.0
CID100104758,raltitrexed,EXACT_NORMALIZED,HIGH,2527,Raltitrexed,1.0
CID100104849,rimonabant,EXACT_NORMALIZED,HIGH,2583,Rimonabant,1.0
CID100110634,vardenafil,EXACT_NORMALIZED,HIGH,3077,Vardenafil,1.0
CID100114709,eslicarbazepine,EXACT_NORMALIZED,HIGH,1163,Eslicarbazepine,1.0
CID100119830,tenofovir,EXACT_NORMALIZED,HIGH,2845,Tenofovir,1.0
CID100123597,travoprost,EXACT_NORMALIZED,HIGH,2976,Travoprost,1.0
CID100123611,fondaparinux,EXACT_NORMALIZED,HIGH,1351,Fondaparinux,1.0
CID100123620,mometasone,EXACT_NORMALIZED,HIGH,1984,Mometasone,1.0
CID100125889,pregabalin,EXACT_NORMALIZED,HIGH,2434,Pregabalin,1.0
CID100127909,bimatoprost,EXACT_NORMALIZED,HIGH,436,Bimatoprost,1.0
CID100128549,trandolaprilat,EXACT_NORMALIZED,HIGH,2971,Trandolaprilat,1.0
CID100129806,rosuvastatin,EXACT_NORMALIZED,HIGH,2618,Rosuvastatin,1.0
CID100130564,esomeprazole,EXACT_NORMALIZED,HIGH,1167,Esomeprazole,1.0
CID100130881,olmesartan,EXACT_NORMALIZED,HIGH,2143,Olmesartan,1.0
CID100131535,fosamprenavir,EXACT_NORMALIZED,HIGH,1359,Fosamprenavir,1.0
CID100132804,pitavastatin,EXACT_NORMALIZED,HIGH,2377,Pitavastatin,1.0
CID100147740,drospirenone,EXACT_NORMALIZED,HIGH,1053,Drospirenone,1.0
CID100147912,posaconazole,EXACT_NORMALIZED,HIGH,2402,Posaconazole,1.0
CID100148127,ospemifene,EXACT_NORMALIZED,HIGH,2173,Ospemifene,1.0
CID100148191,temsirolimus,EXACT_NORMALIZED,HIGH,2839,Temsirolimus,1.0
CID100148211,palonosetron,EXACT_NORMALIZED,HIGH,2223,Palonosetron,1.0
CID100150310,eplerenone,EXACT_NORMALIZED,HIGH,1140,Eplerenone,1.0
CID100151165,aprepitant,EXACT_NORMALIZED,HIGH,267,Aprepitant,1.0
CID100152945,dutasteride,EXACT_NORMALIZED,HIGH,1060,Dutasteride,1.0
CID100153941,entecavir,EXACT_NORMALIZED,HIGH,1124,Entecavir,1.0
CID100154058,solifenacin,EXACT_NORMALIZED,HIGH,2704,Solifenacin,1.0
CID100154256,bazedoxifene,EXACT_NORMALIZED,HIGH,361,Bazedoxifene,1.0
CID100156326,asenapine,EXACT_NORMALIZED,HIGH,297,Asenapine,1.0
CID100156418,cinacalcet,EXACT_NORMALIZED,HIGH,713,Cinacalcet,1.0
CID100157688,vinflunine,EXACT_NORMALIZED,HIGH,3102,Vinflunine,1.0
CID100159247,sevelamer,EXACT_NORMALIZED,HIGH,2677,Sevelamer,1.0
CID100163296,tipranavir,EXACT_NORMALIZED,HIGH,2931,Tipranavir,1.0
CID100170361,varenicline,EXACT_NORMALIZED,HIGH,3078,Varenicline,1.0
CID100197712,ambrisentan,EXACT_NORMALIZED,HIGH,199,Ambrisentan,1.0
CID100213023,dabigatran,EXACT_NORMALIZED,HIGH,832,Dabigatran,1.0
