DrugName,DrugA_Count,DrugB_Count,Total_DDI_Records,In_Master_Dataset
darolutamide,25,2,27,True
darunavir,56,7,63,True
dasabuvir,19,11,30,True
dasatinib,2,63,65,True
dasotraline,1,4,5,True
daunorubicin,9,28,37,True
deacetoxycephalosporin c,3,0,3,True
deacetylbisacodyl,5,11,16,True
deanol,11,24,35,True
debrisoquine,26,16,42,True
decamethonium,19,22,41,True
decamethoxine,0,1,1,True
decitabine,4,11,15,True
deferasirox,35,3,38,True
deferiprone,7,28,35,True
deflazacort,40,3,43,True
degarelix,15,7,22,True
dehydroascorbic acid,2,2,4,True
dehydrocholic acid,6,8,14,True
delafloxacin,52,9,61,True
delamanid,1,10,11,True
delapril,5,38,43,True
delavirdine,6,34,40,True
delorazepam,43,2,45,True
delpazolid,1,0,1,True
demecarium,1,11,12,True
demeclocycline,8,3,11,True
demecolcine,3,3,6,True
demegestone,10,11,21,True
deoxycholic acid,5,4,9,True
deoxyepinephrine,12,19,31,True
deoxyspergualin,5,2,7,True
deptropine,0,1,1,True
dequalinium,3,1,4,True
deramciclane,14,30,44,True
dermatan sulfate,20,2,22,True
dersalazine,13,0,13,True
deserpidine,26,2,28,True
desflurane,45,10,55,True
desipramine,59,15,74,True
deslanoside,8,18,26,True
desloratadine,41,16,57,True
desmopressin,25,34,59,True
desogestrel,13,21,34,True
desomorphine,24,22,46,True
desonide,0,3,3,True
desoximetasone,3,23,26,True
desoxycorticosterone acetate,0,3,3,True
desoxycorticosterone pivalate,2,3,5,True
desvenlafaxine,60,41,101,True
detomidine,17,36,53,True
deucravacitinib,9,0,9,True
deudextromethorphan,32,33,65,True
deudomperidone,27,10,37,True
deupirfenidone,30,16,46,True
deuruxolitinib,47,9,56,True
deutetrabenazine,33,30,63,True
deutivacaftor,6,21,27,True
dexamethasone acetate,54,1,55,True
dexamethasone isonicotinate,40,4,44,True
dexetimide,10,8,18,True
dexfenfluramine,42,8,50,True
dexibuprofen,49,15,64,True
dexisometheptene mucate,2,32,34,True
dexketoprofen,67,12,79,True
dexlansoprazole,20,13,33,True
dexloxiglumide,8,17,25,True
dexmecamylamine,43,21,64,True
dexmedetomidine,72,7,79,True
dexmethylphenidate,39,6,45,True
dexniguldipine,16,47,63,True
dexpanthenol,16,24,40,True
dexpramipexole,62,9,71,True
dexpropranolol,72,4,76,True
dexrabeprazole,0,38,38,True
dexrazoxane,42,1,43,True
dextilidine,5,29,34,True
dextofisopam,8,19,27,True
dextromethadone,17,64,81,True
dextromoramide,28,16,44,True
dextropropoxyphene,10,50,60,True
dextrorphan,27,11,38,True
dextrothyroxine,3,33,36,True
dexverapamil,20,61,81,True
dezocine,8,28,36,True
diacerein,6,15,21,True
diamorphine,22,11,33,True
dianhydrogalactitol,1,0,1,True
diatrizoate,2,33,35,True
diazepam,63,0,63,True
diazoxide,27,11,38,True
dibekacin,0,1,1,True
dibenzepin,25,30,55,True
dibromotyrosine,21,0,21,True
dichlorobenzyl alcohol,29,3,32,True
dichlorvos,14,18,32,True
diclofenac,79,4,83,True
diclofenamide,31,8,39,True
dicloxacillin,2,16,18,True
dicoumarol,50,8,58,True
dicyclomine,35,6,41,True
didanosine,28,3,31,True
didox,1,0,1,True
dienestrol,2,2,4,True
dienogest,46,1,47,True
diethyl ether,13,30,43,True
diethylcarbamazine,6,14,20,True
diethylnorspermine,5,17,22,True
diethylpropion,4,43,47,True
diethylstilbestrol,15,21,36,True
difemerine,13,7,20,True
difenoxin,4,12,16,True
difenpiramide,27,37,64,True
diflorasone,5,16,21,True
difloxacin,22,18,40,True
diflunisal,47,11,58,True
difluocortolone,33,31,64,True
difluprednate,1,5,6,True
digitoxin,5,29,34,True
digoxin,44,36,80,True
dihematoporphyrin ether,0,1,1,True
dihexyverine,8,6,14,True
dihydralazine,7,29,36,True
"dihydro-2-thioxo-5-((5-(2-(trifluoromethyl)phenyl)-2-furanyl)methyl)-4,6(1h,5h)-pyrimidinedione",9,1,10,True
dihydro-alpha-ergocryptine,2,2,4,True
dihydrocodeine,16,33,49,True
dihydroergocornine,19,35,54,True
dihydroergocristine,34,9,43,True
dihydroergotamine,39,32,71,True
dihydroetorphine,38,0,38,True
dihydromorphine,29,9,38,True
dihydrostreptomycin,32,2,34,True
dihydrotachysterol,2,1,3,True
diltiazem,64,27,91,True
dimenhydrinate,0,96,96,True
dimercaprol,4,24,28,True
dimetacrine,13,45,58,True
dimethyl fumarate,4,2,6,True
dimethyl sulfoxide,36,5,41,True
dimethyltryptamine,23,4,27,True
dimetindene,13,7,20,True
dimetotiazine,1,0,1,True
dinoprost,3,5,8,True
dinoprostone,2,12,14,True
diosmin,25,4,29,True
diphemanil,9,11,20,True
diphenadione,38,20,58,True
diphenidol,7,20,27,True
diphenoxylate,32,11,43,True
diphenylpyraline,3,2,5,True
dipivefrin,1,3,4,True
diprenorphine,0,1,1,True
dipyridamole,27,15,42,True
dirithromycin,2,9,11,True
diroximel fumarate,0,12,12,True
disopyramide,18,69,87,True
distigmine,11,0,11,True
disulfiram,45,2,47,True
ditazole,4,23,27,True
ditiocarb,24,17,41,True
dixyrazine,20,19,39,True
dl-alpha-tocopherol,10,8,18,True
dl-methylephedrine,49,5,54,True
dobutamine,43,19,62,True
docetaxel,1,34,35,True
doconexent,11,11,22,True
docusate,11,3,14,True
dofetilide,28,14,42,True
dolasetron,12,53,65,True
dolastatin 10,1,1,2,True
dolutegravir,6,14,20,True
domoic acid,3,15,18,True
dopamine,5,53,58,True
dopexamine,13,22,35,True
doramectin,19,21,40,True
doravirine,0,17,17,True
dordaviprone,2,0,2,True
doripenem,35,2,37,True
dorzolamide,7,4,11,True
dosulepin,37,51,88,True
dotarizine,32,27,59,True
dovitinib,8,16,24,True
doxacurium,51,12,63,True
doxapram,5,22,27,True
doxazosin,16,28,44,True
doxefazepam,6,27,33,True
doxercalciferol,6,0,6,True
doxifluridine,0,10,10,True
doxofylline,43,19,62,True
doxorubicin,43,0,43,True
doxycycline,34,23,57,True
doxylamine,50,8,58,True
dpdpe,21,17,38,True
droloxifene,0,1,1,True
dronabinol,46,8,54,True
dronedarone,3,78,81,True
droperidol,23,50,73,True
drospirenone,33,28,61,True
drostanolone propionate,0,4,4,True
drotebanol,19,10,29,True
droxicam,36,31,67,True
droxidopa,25,33,58,True
duloxetine,4,86,90,True
durlobactam,2,0,2,True
dutasteride,23,14,37,True
dutogliptin,26,6,32,True
duvelisib,2,23,25,True
dyclonine,58,4,62,True
dydrogesterone,3,1,4,True
dyphylline,25,17,42,True
ebastine,20,5,25,True
ebselen,34,7,41,True
ecabet,0,1,1,True
ecgonine,2,0,2,True
echothiophate,1,0,1,True
ecopipam,25,3,28,True
edetate calcium disodium anhydrous,12,10,22,True
edivoxetine,25,2,27,True
edoxaban,40,12,52,True
edrophonium,9,31,40,True
efaproxiral,1,0,1,True
efatutazone,1,1,2,True
efavirenz,4,71,75,True
eflornithine,0,1,1,True
efonidipine,23,28,51,True
efrotomycin,1,2,3,True
elacestrant,8,12,20,True
elacridar,4,6,10,True
elafibranor,13,0,13,True
elagolix,19,3,22,True
elbasvir,20,2,22,True
elcatonin,3,1,4,True
eldecalcitol,4,1,5,True
eletriptan,28,42,70,True
elexacaftor,14,18,32,True
eliglustat,21,11,32,True
ellagic acid,8,0,8,True
elocalcitol,1,2,3,True
elsamitrucin,2,1,3,True
eltoprazine,7,34,41,True
eltrombopag,5,30,35,True
eluxadoline,12,17,29,True
elvitegravir,17,6,23,True
emedastine,16,3,19,True
emepronium,26,9,35,True
emetine,3,0,3,True
emetonium iodide,17,12,29,True
emodin,9,18,27,True
emopamil,22,3,25,True
empagliflozin,15,15,30,True
emtricitabine,0,1,1,True
emylcamate,5,14,19,True
enalapril,34,7,41,True
enalaprilat,26,23,49,True
enasidenib,51,10,61,True
encainide,8,12,20,True
encorafenib,57,6,63,True
endralazine,33,0,33,True
enflurane,25,8,33,True
englitazone,16,7,23,True
enibomal,0,2,2,True
enmetazobactam,1,0,1,True
enoxacin,30,10,40,True
enoximone,0,1,1,True
enprostil,2,0,2,True
enrofloxacin,9,21,30,True
ensartinib,1,0,1,True
entacapone,29,10,39,True
entecavir,3,9,12,True
entinostat,11,9,20,True
entrectinib,36,8,44,True
enviomycin,1,0,1,True
enzalutamide,6,67,73,True
epanolol,3,54,57,True
eperisone,11,49,60,True
ephedrine,33,20,53,True
epibatidine,0,2,2,True
epicillin,4,5,9,True
epicriptine,1,1,2,True
epimestrol,2,6,8,True
epinastine,6,38,44,True
epinephrine,14,40,54,True
epirizole,22,43,65,True
epitizide,13,29,42,True
eplerenone,41,21,62,True
eplivanserin,5,21,26,True
epofolate,5,17,22,True
epoprostenol,36,21,57,True
epothilone d,4,13,17,True
eprinomectin,5,14,19,True
eprosartan,21,24,45,True
equilenin,3,1,4,True
equilin,2,3,5,True
equol,7,0,7,True
eravacycline,17,2,19,True
erdafitinib,15,16,31,True
ergocalciferol,2,2,4,True
ergometrine,8,59,67,True
ergotamine,12,61,73,True
eribulin,8,23,31,True
erlotinib,63,0,63,True
ertapenem,23,7,30,True
ertugliflozin,7,17,24,True
erythrityl tetranitrate,1,4,5,True
erythromycin,16,49,65,True
esculin,0,1,1,True
esflurbiprofen,18,59,77,True
eslicarbazepine,43,3,46,True
eslicarbazepine acetate,19,32,51,True
esmirtazapine,27,45,72,True
esmolol,53,0,53,True
esomeprazole,8,11,19,True
esreboxetine,34,2,36,True
estazolam,46,4,50,True
estetrol,56,0,56,True
estradiol,9,41,50,True
estradiol acetate,55,12,67,True
estradiol benzoate,9,44,53,True
estradiol cypionate,15,70,85,True
estradiol dienanthate,22,22,44,True
estradiol valerate,26,53,79,True
estramustine,12,1,13,True
estramustine phosphate,4,0,4,True
estrone,5,0,5,True
estrone sulfate,42,31,73,True
eszopiclone,71,13,84,True
etacrynic acid,46,1,47,True
etafedrine,32,14,46,True
etamiphylline,18,2,20,True
etanidazole,1,2,3,True
ethacizine,5,3,8,True
ethadione,13,30,43,True
ethambutol,69,1,70,True
ethanol,36,29,65,True
ethchlorvynol,0,31,31,True
ethenzamide,16,44,60,True
ethinylestradiol,58,1,59,True
ethionamide,4,0,4,True
ethosuximide,52,16,68,True
ethotoin,9,23,32,True
ethoxzolamide,18,18,36,True
ethyl biscoumacetate,37,23,60,True
ethyl chloride,21,11,32,True
ethyl loflazepate,24,2,26,True
ethylmorphine,25,23,48,True
ethynodiol diacetate,9,14,23,True
eticlopride,2,0,2,True
etidocaine,14,32,46,True
etidronic acid,11,3,14,True
etifoxine,20,4,24,True
etilefrine,8,23,31,True
etilevodopa,0,3,3,True
etiracetam,21,15,36,True
etizolam,7,38,45,True
etofenamate,3,49,52,True
etofibrate,1,6,7,True
etoglucid,1,2,3,True
etomidate,38,34,72,True
etonogestrel,34,12,46,True
etoperidone,36,17,53,True
etoposide,9,34,43,True
etoricoxib,40,44,84,True
etorphine,37,2,39,True
etrasimod,29,26,55,True
etravirine,6,22,28,True
etretinate,1,0,1,True
etybenzatropine,15,7,22,True
etynodiol,9,4,13,True
everolimus,36,9,45,True
evogliptin,20,9,29,True
exatecan,0,1,1,True
exemestane,4,1,5,True
exisulind,0,1,1,True
ezetimibe,1,7,8,True
ezogabine,29,42,71,True
fabomotizole,6,30,36,True
fallypride,1,1,2,True
famotidine,3,32,35,True
famphur,6,1,7,True
farnesyl diphosphate,3,15,18,True
farnesyl thiopyrophosphate,9,10,19,True
fasitibant,9,3,12,True
fasudil,11,12,23,True
favipiravir,1,17,18,True
fazadinium bromide,16,12,28,True
febarbamate,11,22,33,True
febuxostat,10,2,12,True
fedratinib,33,15,48,True
felbamate,5,53,58,True
felbinac,1,10,11,True
felcisetrag,14,15,29,True
felodipine,20,38,58,True
fenbufen,1,55,56,True
fencamfamin,20,3,23,True
fendiline,23,20,43,True
fenethylline,12,13,25,True
fenofibrate,3,48,51,True
fenofibric acid,10,15,25,True
fenoldopam,14,45,59,True
fenoprofen,19,39,58,True
fenoterol,29,18,47,True
fenozolone,12,24,36,True
fenpiverinium,8,16,24,True
fenproporex,21,14,35,True
fenprostalene,1,0,1,True
fenquizone,24,5,29,True
fenretinide,4,0,4,True
fentanyl,30,46,76,True
fenthion,8,10,18,True
fentiazac,46,13,59,True
fenyramidol,3,20,23,True
feprazone,1,6,7,True
ferric cation,1,2,3,True
ferric maltol,2,5,7,True
ferric oxide,3,2,5,True
ferric pyrophosphate,1,36,37,True
ferrous cation,2,0,2,True
ferrous fumarate,3,4,7,True
ferrous succinate,6,0,6,True
ferulic acid,5,4,9,True
fesoterodine,48,6,54,True
fexinidazole,34,22,56,True
fexofenadine,5,14,19,True
fezolinetant,3,10,13,True
fiacitabine,3,1,4,True
fidaxomicin,0,3,3,True
filanesib,1,0,1,True
filgotinib,5,7,12,True
fimasartan,40,2,42,True
fimepinostat,8,2,10,True
finafloxacin,1,0,1,True
finasteride,27,5,32,True
finerenone,49,4,53,True
fingolimod,11,10,21,True
firocoxib,55,7,62,True
flavoxate,8,30,38,True
flecainide,34,2,36,True
fleroxacin,5,28,33,True
flibanserin,31,31,62,True
floctafenine,69,5,74,True
flomoxef,4,27,31,True
florbetaben f-18,16,12,28,True
florbetapir f-18,0,36,36,True
florfenicol,3,0,3,True
floxuridine,19,22,41,True
fluanisone,21,11,32,True
fluasterone,1,1,2,True
fluclorolone,4,23,27,True
flucloxacillin,3,16,19,True
fluconazole,34,44,78,True
flucytosine,5,35,40,True
fludeoxyglucose,26,0,26,True
fludiazepam,9,13,22,True
fludrocortisone,36,0,36,True
fluindione,27,35,62,True
flumatinib,2,0,2,True
flumazenil,13,12,25,True
flumequine,32,5,37,True
flunarizine,24,52,76,True
flunisolide,5,29,34,True
flunitrazepam,14,26,40,True
flunixin,34,29,63,True
flunoxaprofen,1,1,2,True
fluocinolone acetonide,42,16,58,True
fluocinonide,6,27,33,True
fluocortin,12,20,32,True
fluocortolone,45,8,53,True
fluocortolone caproate,3,19,22,True
fluocortolone pivalate,0,16,16,True
fluorescein,10,2,12,True
fluoroestradiol f-18,2,0,2,True
fluorometholone,19,6,25,True
fluorouracil,55,13,68,True
fluoxymesterone,1,5,6,True
flupentixol,33,25,58,True
fluperolone,3,24,27,True
fluphenazine,21,24,45,True
flupirtine,23,8,31,True
fluprednidene,1,47,48,True
fluprednidene acetate,5,3,8,True
fluprednisolone,19,14,33,True
fluprostenol,0,2,2,True
flurandrenolide,4,3,7,True
flurazepam,24,37,61,True
flurbiprofen axetil,27,0,27,True
flurithromycin,1,16,17,True
fluspirilene,27,34,61,True
flutamide,22,29,51,True
fluticasone,14,21,35,True
fluticasone furoate,5,40,45,True
fluticasone propionate,12,46,58,True
fluvastatin,29,6,35,True
fluvoxamine,77,9,86,True
folic acid,11,17,28,True
fomepizole,12,24,36,True
fondaparinux,31,8,39,True
forasartan,3,13,16,True
foretinib,0,1,1,True
formebolone,3,0,3,True
formestane,15,23,38,True
formic acid,1,0,1,True
formocortal,3,1,4,True
formononetin,4,0,4,True
fosamprenavir,11,14,25,True
fosaprepitant,30,0,30,True
fosbretabulin,1,0,1,True
foscarnet,1,36,37,True
fosfomycin,6,31,37,True
fosgemcitabine palabenamide,0,1,1,True
fosinopril,57,6,63,True
fosinoprilat,3,35,38,True
foslevodopa,0,1,1,True
fosmidomycin,3,1,4,True
fosnetupitant,20,4,24,True
fosphenytoin,7,71,78,True
fospropofol,13,16,29,True
fostamatinib,29,14,43,True
fostemsavir,8,18,26,True
fotemustine,0,3,3,True
framycetin,18,19,37,True
frovatriptan,6,42,48,True
fruquintinib,20,1,21,True
fulvestrant,1,2,3,True
fumagillin,2,2,4,True
furafylline,15,4,19,True
furazolidone,21,34,55,True
furosemide,0,72,72,True
fusafungine,5,0,5,True
fusidic acid,33,13,46,True
futibatinib,9,3,12,True
gabapentin,8,30,38,True
gabapentin enacarbil,15,41,56,True
gabexate,0,24,24,True
gaboxadol,0,40,40,True
gadobenic acid,19,26,45,True
gadodiamide,7,25,32,True
gadofosveset trisodium,11,19,30,True
gadopentetic acid,9,19,28,True
gadoteric acid,2,27,29,True
gadoteridol,16,10,26,True
gadoxetic acid,4,0,4,True
galantamine,38,4,42,True
gallamine,40,10,50,True
gallamine triethiodide,22,26,48,True
gallopamil,6,27,33,True
gamithromycin,1,1,2,True
gamma-hydroxybutyric acid,10,19,29,True
gamolenic acid,0,3,3,True
ganaxolone,18,18,36,True
ganciclovir,28,18,46,True
gantacurium,1,46,47,True
garenoxacin,20,16,36,True
gatifloxacin,3,45,48,True
gavestinel,1,1,2,True
ge-2270a,3,0,3,True
gedocarnil,9,17,26,True
gefapixant,2,0,2,True
gefitinib,5,25,30,True
geldanamycin,0,3,3,True
gemcitabine,16,31,47,True
gemfibrozil,43,18,61,True
gemifloxacin,0,43,43,True
gemigliptin,0,33,33,True
geneticin,25,3,28,True
genistein,10,17,27,True
gentamicin,26,4,30,True
gentamicin c1a,10,30,40,True
gepefrine,3,41,44,True
gepirone,13,33,46,True
geranyl diphosphate,1,0,1,True
geranylgeranyl diphosphate,11,8,19,True
gestodene,6,16,22,True
gestonorone,4,1,5,True
gestrinone,16,2,18,True
gilteritinib,37,10,47,True
gimatecan,1,4,5,True
gimeracil,2,23,25,True
ginsenoside rb1,1,0,1,True
gitoformate,23,3,26,True
givinostat,1,16,17,True
glasdegib,8,20,28,True
glecaprevir,13,11,24,True
gleptoferron,3,0,3,True
glibornuride,15,30,45,True
gliclazide,42,6,48,True
glimepiride,10,36,46,True
glipizide,2,61,63,True
gliquidone,19,17,36,True
glisoxepide,2,45,47,True
glpg-0492,1,6,7,True
glutaric acid,6,2,8,True
glutethimide,15,9,24,True
glyburide,2,63,65,True
glycerin,7,11,18,True
glycerol phenylbutyrate,0,64,64,True
glycochenodeoxycholic acid,9,3,12,True
glycol salicylate,14,14,28,True
glycopyrronium,18,0,18,True
glycyrrhizic acid,3,0,3,True
glymidine,10,11,21,True
goserelin,53,2,55,True
gosogliptin,5,11,16,True
gpi-1485,4,3,7,True
gramicidin d,1,1,2,True
granisetron,27,16,43,True
grapiprant,6,4,10,True
grazoprevir,4,13,17,True
grepafloxacin,38,0,38,True
griseofulvin,7,0,7,True
gsk-1004723,1,1,2,True
gsk-239512,0,1,1,True
gsk-256066,1,0,1,True
gsk-2636771,0,1,1,True
gts-21,9,7,16,True
guacetisal,48,19,67,True
guadecitabine,1,1,2,True
guanabenz,5,29,34,True
guanadrel,18,10,28,True
guanazodine,1,24,25,True
guanethidine,44,0,44,True
guanfacine,63,21,84,True
guanidine,0,12,12,True
guanine,1,13,14,True
guanoclor,4,26,30,True
guanoxabenz,9,17,26,True
guanoxan,18,6,24,True
gw842166,6,27,33,True
hadacidin,0,2,2,True
halazepam,1,27,28,True
halcinonide,3,4,7,True
halofantrine,31,6,37,True
halofuginone,1,1,2,True
halometasone,6,1,7,True
haloperidol,40,32,72,True
halothane,52,6,58,True
haloxon,0,2,2,True
harmaline,20,37,57,True
he3286,1,1,2,True
heptabarbital,19,17,36,True
hesperetin,19,0,19,True
hetacillin,13,1,14,True
hexafluronium,26,13,39,True
hexamethonium,10,61,71,True
hexaminolevulinate,0,1,1,True
hexapropymate,22,13,35,True
hexestrol,2,3,5,True
hexobarbital,15,53,68,True
hexocyclium,0,23,23,True
hexoprenaline,12,16,28,True
higenamine,2,30,32,True
histamine,7,1,8,True
histapyrrodine,1,0,1,True
histrelin,16,4,20,True
homatropine,0,5,5,True
homatropine methylbromide,3,24,27,True
huperzine a,0,14,14,True
hydracarbazine,8,51,59,True
hydralazine,25,34,59,True
hydrochlorothiazide,65,28,93,True
hydrocodone,37,19,56,True
hydrocortamate,7,1,8,True
hydrocortisone,33,19,52,True
hydrocortisone aceponate,3,2,5,True
hydrocortisone acetate,40,1,41,True
hydrocortisone butyrate,44,3,47,True
hydrocortisone cypionate,27,7,34,True
hydrocortisone phosphate,11,2,13,True
hydrocortisone probutate,4,0,4,True
hydrocortisone succinate,7,31,38,True
hydrocortisone valerate,5,0,5,True
hydroflumethiazide,59,6,65,True
hydrogen iodide,6,28,34,True
hydrogen peroxide,19,14,33,True
hydrolyzed cephalothin,18,12,30,True
hydromorphone,9,65,74,True
hydroquinidine,3,2,5,True
hydroxocobalamin,1,39,40,True
hydroxyamphetamine,3,1,4,True
hydroxychloroquine,5,45,50,True
hydroxyfasudil,1,4,5,True
hydroxyprogesterone,8,0,8,True
hydroxyprogesterone caproate,23,6,29,True
hydroxytyrosol,9,4,13,True
hydroxyurea,6,15,21,True
hydroxyzine,0,53,53,True
hygromycin b,30,9,39,True
hymecromone,0,1,1,True
hyodeoxycholic acid,7,1,8,True
hyperforin,1,0,1,True
hypericin,29,5,34,True
hypoxanthine,17,5,22,True
ibandronate,15,12,27,True
ibipinabant,31,0,31,True
ibopamine,0,1,1,True
ibrexafungerp,6,0,6,True
ibrutinib,4,39,43,True
ibudilast,2,23,25,True
ibuproxam,53,7,60,True
ibutilide,57,1,58,True
icosapent,24,13,37,True
icosapent ethyl,4,12,16,True
icotinib,10,10,20,True
idalopirdine,2,25,27,True
idarubicin,2,34,36,True
idazoxan,15,10,25,True
idebenone,18,16,34,True
idelalisib,18,14,32,True
idraparinux,16,0,16,True
ifenprodil,16,40,56,True
iferanserin,6,14,20,True
ifetroban,14,0,14,True
ifosfamide,43,9,52,True
ilaprazole,3,1,4,True
iloperidone,5,67,72,True
iloprost,16,5,21,True
ilorasertib,1,1,2,True
imagabalin,16,19,35,True
imatinib,42,20,62,True
imetelstat,3,3,6,True
imidafenacin,11,39,50,True
imidapril,15,19,34,True
imidazole salicylate,2,65,67,True
imipenem,0,20,20,True
imipramine,101,0,101,True
imipramine oxide,27,33,60,True
imiquimod,1,0,1,True
incadronic acid,12,6,18,True
indacaterol,18,30,48,True
indalpine,18,63,81,True
indenolol,21,23,44,True
indigotindisulfonic acid,24,4,28,True
indinavir,34,4,38,True
indiplon,24,2,26,True
indirubin,2,0,2,True
indisulam,18,29,47,True
indium in-111 oxyquinoline,14,10,24,True
indobufen,59,5,64,True
indocyanine green,4,0,4,True
indole-3-carbinol,1,1,2,True
indomethacin,74,4,78,True
indoprofen,11,32,43,True
indoramin,17,9,26,True
inecalcitol,9,1,10,True
infigratinib,10,10,20,True
inosine,6,25,31,True
iobenguane,18,23,41,True
iodixanol,17,16,33,True
iofetamine i-123,29,16,45,True
ioflupane f-18,30,9,39,True
iohexol,1,5,6,True
iopromide,27,11,38,True
iothalamic acid,9,23,32,True
ioversol,35,0,35,True
ioxilan,7,25,32,True
ipidacrine,0,8,8,True
ipragliflozin,24,0,24,True
ipratropium,11,10,21,True
iprazochrome,5,31,36,True
iprindole,21,30,51,True
iproclozide,26,6,32,True
iproniazid,29,29,58,True
iptacopan,13,26,39,True
irbesartan,1,46,47,True
irinotecan,10,38,48,True
irofulven,0,1,1,True
iron,0,2,2,True
iron polymaltose,3,0,3,True
iron sucrose,12,2,14,True
isavuconazole,45,4,49,True
isavuconazonium,15,45,60,True
isepamicin,8,31,39,True
isobromindione,0,1,1,True
isocarboxazid,5,64,69,True
isoetharine,22,9,31,True
isoflavone,31,5,36,True
isoflurane,28,38,66,True
isoflurophate,8,5,13,True
isoniazid,33,45,78,True
isoprenaline,21,12,33,True
isopropamide,16,9,25,True
isosorbide,23,18,41,True
isosorbide dinitrate,13,11,24,True
isosorbide mononitrate,2,55,57,True
isosulfan blue,2,24,26,True
isothipendyl,0,2,2,True
isoxicam,3,60,63,True
isoxsuprine,38,3,41,True
isradipine,53,21,74,True
istradefylline,33,14,47,True
itraconazole,11,38,49,True
ivabradine,27,0,27,True
ivermectin,14,0,14,True
ivosidenib,2,47,49,True
ixabepilone,21,6,27,True
ixazomib,22,23,45,True
jnj-26489112,15,17,32,True
josamycin,1,4,5,True
kanamycin,13,17,30,True
kaolin,1,1,2,True
kebuzone,33,25,58,True
ketanserin,1,2,3,True
ketazolam,35,46,81,True
ketobemidone,50,1,51,True
ketoconazole,9,58,67,True
ketorolac,24,34,58,True
ketotifen,0,7,7,True
kitasamycin,11,7,18,True
kos-1584,2,12,14,True
krn-5500,1,0,1,True
krn-7000,1,1,2,True
l-deprenyl-d2 c-11,38,28,66,True
labetalol,16,49,65,True
lacidipine,44,14,58,True
lacosamide,9,28,37,True
lactitol,4,22,26,True
lactulose,18,12,30,True
lafutidine,3,0,3,True
lamivudine,26,14,40,True
lamotrigine,37,64,101,True
lanatoside c,10,9,19,True
landiolol,10,33,43,True
lanicemine,26,4,30,True
laniquidar,0,7,7,True
lanopepden,2,4,6,True
lanreotide,8,15,23,True
lanthanum iii cation,3,0,3,True
lapatinib,36,1,37,True
laquinimod,4,0,4,True
larotrectinib,1,3,4,True
lasmiditan,7,43,50,True
latanoprost,2,1,3,True
latanoprostene bunod,3,2,5,True
lavoltidine,1,11,12,True
lazertinib,6,9,15,True
lcl-161,2,1,3,True
ledipasvir,6,32,38,True
lefamulin,33,20,53,True
leflunomide,4,26,30,True
lemborexant,36,22,58,True
lenabasum,2,39,41,True
lenacapavir,22,1,23,True
lenalidomide,45,7,52,True
leniolisib,9,5,14,True
lenvatinib,12,40,52,True
lercanidipine,2,60,62,True
lesinurad,40,5,45,True
lestaurtinib,0,7,7,True
letaxaban,23,7,30,True
letermovir,13,4,17,True
letrozole,9,3,12,True
levallorphan,0,1,1,True
levmetamfetamine,29,37,66,True
levobunolol,2,0,2,True
levocabastine,0,20,20,True
levodopa,7,33,40,True
levomenol,0,1,1,True
levomilnacipran,66,18,84,True
levonordefrin,33,10,43,True
levonorgestrel,6,22,28,True
levosimendan,6,25,31,True
levosulpiride,38,3,41,True
levovirin,23,14,37,True
lexacalcitol,5,3,8,True
liarozole,0,4,4,True
licofelone,10,24,34,True
lidocaine,46,35,81,True
lidoflazine,3,39,42,True
limaprost,8,8,16,True
linaclotide,8,4,12,True
linagliptin,29,27,56,True
lincomycin,2,7,9,True
linezolid,11,44,55,True
linsidomine,26,5,31,True
linzagolix,7,1,8,True
liothyronine,37,4,41,True
lipoic acid,3,0,3,True
lisdexamfetamine,7,29,36,True
lisinopril,23,32,55,True
lisofylline,12,9,21,True
lisuride,54,4,58,True
lithium cation,52,15,67,True
lobeglitazone,44,5,49,True
lobeline,4,5,9,True
lobucavir,27,6,33,True
lofentanil,30,15,45,True
lofepramine,23,42,65,True
lofexidine,56,37,93,True
lomefloxacin,1,49,50,True
lomerizine,19,11,30,True
lometrexol,0,4,4,True
lomifylline,0,13,13,True
lomitapide,11,15,26,True
lomustine,10,8,18,True
lonafarnib,37,4,41,True
lonazolac,8,61,69,True
lonidamine,0,2,2,True
loperamide,16,28,44,True
lopinavir,51,34,85,True
loprazolam,8,30,38,True
lorajmine,7,12,19,True
loratadine,21,7,28,True
lorazepam,55,9,64,True
lorcainide,1,21,22,True
lorcaserin,4,60,64,True
lorlatinib,19,6,25,True
lormetazepam,26,8,34,True
lornoxicam,5,56,61,True
lorpiprazole,46,5,51,True
lortalamine,10,11,21,True
losartan,19,24,43,True
loteprednol,0,5,5,True
lovastatin,11,6,17,True
loxapine,4,26,30,True
loxoprofen,5,48,53,True
lubiprostone,5,33,38,True
luliconazole,0,6,6,True
lumacaftor,16,29,45,True
lumateperone,26,9,35,True
lumefantrine,18,3,21,True
lumiracoxib,48,22,70,True
luprostiol,0,3,3,True
lurasidone,29,30,59,True
lurbinectedin,0,3,3,True
lurtotecan,0,1,1,True
luseogliflozin,2,12,14,True
lusutrombopag,8,9,17,True
lymecycline,11,0,11,True
lynestrenol,0,32,32,True
lypressin,1,0,1,True
lysergic acid diethylamide,12,35,47,True
m-chlorophenylpiperazine,5,19,24,True
macimorelin,7,26,33,True
macitentan,47,14,61,True
maduramicin,0,4,4,True
mafosfamide,1,3,4,True
magnesium,7,33,40,True
