DrugName,DrugA_Count,DrugB_Count,Total_DDI_Records,In_Master_Dataset
7-((carboxy(4-hydroxyphenyl)acetyl)amino)-7-methoxy-(3-((1-methyl-1h-tetrazol-5-yl)thio)methyl)-8-oxo-5-oxa-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,18,16,34,True
7-(2-amino-2-phenyl-acetylamino)-3-chloro-8-oxo-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid,24,17,41,True
7-deazaguanine,11,9,20,True
7-hydroxystaurosporine,0,2,2,True
7-nitroindazole,16,22,38,True
8-azaguanine,14,12,26,True
8-chlorotheophylline,6,13,19,True
9-(n-methyl-l-isoleucine)-cyclosporin a,4,5,9,True
9-aminocamptothecin,19,0,19,True
9-beta-d-xylofuranosyl-adenine,13,14,27,True
9-deazaguanine,21,7,28,True
9-methylguanine,4,20,24,True
abacavir,20,19,39,True
abafungin,4,4,8,True
abametapir,14,22,36,True
abediterol,6,28,34,True
abemaciclib,7,13,20,True
abexinostat,9,6,15,True
abiraterone,20,13,33,True
abrocitinib,15,14,29,True
acalabrutinib,3,26,29,True
acamprosate,7,0,7,True
acarbose,19,5,24,True
acebutolol,55,15,70,True
aceclofenac,34,27,61,True
acefylline,20,5,25,True
acemetacin,56,16,72,True
acenocoumarol,7,47,54,True
acepromazine,25,25,50,True
aceprometazine,1,42,43,True
acetaminophen,17,47,64,True
acetate,19,32,51,True
acetazolamide,64,3,67,True
acetoacetic acid,5,13,18,True
acetohexamide,8,27,35,True
acetophenazine,3,35,38,True
acetyl sulfisoxazole,6,2,8,True
acetylamino-acetic acid,8,10,18,True
acetylcholine,2,3,5,True
acetylcysteine,2,1,3,True
acetyldigitoxin,16,6,22,True
acetyldigoxin,28,7,35,True
acetylleucine,0,6,6,True
acetylsalicylic acid,72,7,79,True
acipimox,4,2,6,True
acitretin,2,1,3,True
aclarubicin,0,3,3,True
aclidinium,47,1,48,True
acotiamide,3,9,12,True
acrivastine,11,23,34,True
acteoside,12,3,15,True
acyclovir,21,26,47,True
adagrasib,18,10,28,True
adefovir,7,23,30,True
adefovir dipivoxil,9,28,37,True
ademetionine,1,1,2,True
adenine,3,0,3,True
adinazolam,34,8,42,True
adipiplon,7,14,21,True
adrafinil,34,0,34,True
afatinib,4,14,18,True
afimoxifene,1,2,3,True
agmatine,11,31,42,True
agomelatine,2,24,26,True
aica ribonucleotide,5,7,12,True
ajmaline,9,2,11,True
alanosine,1,1,2,True
alaproclate,43,10,53,True
albaconazole,2,4,6,True
albendazole,26,7,33,True
albuterol,34,38,72,True
alcaftadine,2,1,3,True
alclofenac,51,3,54,True
alclometasone,5,2,7,True
alcloxa,1,1,2,True
alcuronium,33,19,52,True
aldosterone,19,25,44,True
aldoxorubicin,0,3,3,True
alectinib,22,11,33,True
alendronic acid,6,9,15,True
alexitol sodium,37,8,45,True
alfacalcidol,3,5,8,True
alfaxalone,30,10,40,True
alfentanil,53,23,76,True
alfuzosin,9,30,39,True
algestone,23,3,26,True
algestone acetophenide,17,0,17,True
alimemazine,0,34,34,True
aliskiren,6,24,30,True
alitretinoin,25,39,64,True
allicin,14,13,27,True
allobarbital,20,3,23,True
alloin,19,0,19,True
allopurinol,20,24,44,True
allylestrenol,60,0,60,True
almasilate,11,25,36,True
alminoprofen,49,14,63,True
