DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
409,Berberine ursodeoxycholate,137552085.0,CC(CCC(=O)[O-])C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C.COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,727.9,,121.0,2.0,8.0,5.0,PubChem,Available
444,Bismuth subcitrate potassium,91667825.0,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])[O-].C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])[O-].[K+].[K+].[K+].[K+].[K+].[Bi+3],780.65,,287.0,0.0,14.0,4.0,PubChem,Available
445,Bismuth subgallate,73415769.0,C1=C(C=C(C(=C1O)[O-])[O-])C(=O)O.[OH-].[Bi+3],394.09,,105.0,3.0,6.0,1.0,PubChem,Available
446,Bismuth subnitrate,73415757.0,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[O-2].[Bi+3].[Bi+3].[Bi+3].[Bi+3].[Bi+3],1461.99,,262.0,9.0,22.0,0.0,PubChem,Available
447,Bismuth subsalicylate,53629521.0,C1=CC=C(C(=C1)C(=O)[O-])[O-].[OH-].[Bi+3],362.09,,64.2,1.0,4.0,0.0,PubChem,Available
460,Bortezomib,387447.0,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,384.2,,124.0,4.0,6.0,9.0,PubChem,Available
461,Bortezomib D-mannitol,12990536.0,B1(OC(C(O1)C(CO)O)C(CO)O)C(CC(C)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C3=NC=CN=C3,530.4,,183.0,6.0,10.0,13.0,PubChem,Available
532,Calcium,5460341.0,[Ca],40.08,,0.0,0.0,0.0,0.0,PubChem,Available
533,Calcium cation,271.0,[Ca+2],40.08,,0.0,0.0,0.0,0.0,PubChem,Available
534,Calcium glubionate anhydrous,6093407.0,C(C1C(C(C(C(O1)OC(C(CO)O)C(C(C(=O)[O-])O)O)O)O)O)O.C(C(C(C(C(C(=O)[O-])O)O)O)O)O.[Ca+2],592.5,,362.0,13.0,19.0,11.0,PubChem,Available
