DrugID,DrugName,CID
1837,Melengestrol,9906614.0
1850,Mephenesin,4059.0
1851,Mephenoxalone,6257.0
1867,Mesterolone,15020.0
1870,Metacycline,54675785.0
1872,Metahexamide,11259.0
1874,Metampicillin,6713928.0
1877,Metenolone,3037705.0
1881,Methallenestril,10599.0
1889,Methenamine,4101.0
1893,Methoserpidine,71798.0
1904,Methyl-1-testosterone,7092657.0
1908,Methylenedioxyethamphetamine,105039.0
1910,Methylestrenolone,5284597.0
1912,Methylpentynol,6494.0
1916,Methylprednisolone aceponate,63019.0
1917,Methylprednisolone hemisuccinate,16923.0
1918,Methylprednisone,124653.0
1919,Methylpropylpropanediol dinitrate,25430.0
1927,Meticrane,4165.0
1936,Metrifonate,5853.0
1949,Midecamycin,5282169.0
1990,Montmorillonite,71586775.0
1991,Moperone,4249.0
1999,Motretinide,6314185.0
2000,Moxestrol,11954041.0
2013,N-acetyltyrosine,68310.0
2014,N-methylnicotinamide,64950.0
2035,Nanatinostat,49857317.0
2048,Neamine,72392.0
2053,Nefiracetam,71157.0
2057,Neocitrullamon,3084726.0
2058,Neosaxitoxin,21117946.0
2067,Niaprazine,71919.0
2071,Nicomorphine,5362460.0
2074,Nicotinyl alcohol,7510.0
2076,Nifenazone,4487.0
2078,Nifuratel,6433427.0
2079,Nigericin,34230.0
2081,Niludipine,89767.0
2097,Nitrite,946.0
2114,Norethindrone enanthate,229295.0
2117,Norfenefrine,4538.0
2120,Norgestrienone,13313.0
2121,Normethadone,10090.0
2130,OXI-4503,6918546.0
2133,Octamoxin,20811.0
2134,Octinoxate,5355130.0
2140,Oleandomycin,72493.0
2180,Oxaflozane,432824.0
2183,Oxaprotiline,38207.0
2190,Oxidronic acid,27304.0
2191,Oxiracetam,4626.0
2200,Oxyfedrine,5489013.0
2204,Oxypertine,4640.0
2217,Padeliporfin,171041442.0
2231,Paraldehyde,31264.0
2260,Penimepicycline,54686187.0
2261,Pentaerithrityl,8285.0
2265,Penthienate,6067.0
2266,Pentifylline,70569.0
