STITCH_ID,SIDER_DrugName,PubChemCID,DrugID,MasterDrugName
CID100005329,sulfamethoxazole,5329,2755.0,Sulfamethoxazole
CID100005333,sulfonamide,5333,2761.0,Sulfanilamide
CID100005358,sumatriptan,5358,2778.0,Sumatriptan
CID100005359,suprofen,5359,2780.0,Suprofen
CID100005379,gatifloxacin,5379,1416.0,Gatifloxacin
CID100005381,tazarotene,5381,2814.0,Tazarotene
CID100005391,temazepam,5391,2834.0,Temazepam
CID100005394,temozolomide,5394,2838.0,Temozolomide
CID100005401,terazosin,5401,2851.0,Terazosin
CID100005403,terbutaline,5403,2853.0,Terbutaline
CID100005411,tetracaine,5411,2871.0,Tetracaine
CID100005419,tetrahydrozoline,5419,2879.0,Tetryzoline
CID100005426,thalidomide,5426,2883.0,Thalidomide
CID100005430,thiabendazole,5430,2886.0,Thiabendazole
CID100005452,thioridazine,5452,2897.0,Thioridazine
CID100005453,thiotepa,5453,2900.0,Thiotepa
CID100005468,tiaprofenic,5468,2908.0,Tiaprofenic acid
CID100005472,ticlopidine,5472,2912.0,Ticlopidine
CID100005479,tinidazole,5479,2922.0,Tinidazole
CID100005483,tiopronin,5483,2927.0,Tiopronin
CID100005487,tizanidine,5487,2939.0,Tizanidine
CID100005503,tolazamide,5503,2947.0,Tolazamide
CID100005505,tolbutamide,5505,2949.0,Tolbutamide
CID100005524,tramazoline,5524,2967.0,Tramazoline
CID100005526,tranexamic,5526,2972.0,Tranexamic acid
CID100005533,trazodone,5533,2977.0,Trazodone
CID100005546,triamterene,5546,2986.0,Triamterene
CID100005556,triazolam,5556,2988.0,Triazolam
CID100005565,trien,5565,2995.0,Triethylenetetramine
CID100005566,trifluoperazine,5566,2996.0,Trifluoperazine
CID100005572,trihexyphenidyl,5572,3002.0,Trihexyphenidyl
CID100005576,trimethadione,5576,3007.0,Trimethadione
CID100005577,trimethobenzamide,5577,3009.0,Trimethobenzamide
CID100005584,trimipramine,5584,3011.0,Trimipramine
CID100005593,tropicamide,5593,3024.0,Tropicamide
CID100005625,delavirdine,5625,881.0,Delavirdine
CID100005656,venlafaxine,5656,3084.0,Venlafaxine
CID100005665,vigabatrin,5665,3092.0,Vigabatrin
CID100005717,zafirlukast,5717,3134.0,Zafirlukast
CID100005719,zaleplon,5719,3136.0,Zaleplon
CID100005732,zolpidem,5732,3156.0,Zolpidem
CID100005734,zonisamide,5734,3158.0,Zonisamide
CID100005746,mitomycin,5746,1969.0,Mitomycin
CID100005775,phentolamine,5775,2321.0,Phentolamine
CID100005878,oxandrolone,5878,2182.0,Oxandrolone
CID100005978,vincristine,5978,3100.0,Vincristine
CID100006058,cysteamine,6058,822.0,Cysteamine
CID100006238,17-hydroxyprogesterone,6238,1535.0,Hydroxyprogesterone
CID100006256,trifluorothymidine,6256,2999.0,Trifluridine
CID100006432,Optison,6432,2276.0,Perflutren
CID100006468,phencyclidine,6468,2293.0,Phencyclidine
CID100006476,methsuximide,6476,1901.0,Methsuximide
CID100006726,cyclizine,6726,805.0,Cyclizine
CID100007029,diethylpropion,7029,967.0,Diethylpropion
CID100007699,benzonatate,7699,397.0,Benzonatate
CID100008612,chloroprocaine,8612,674.0,Chloroprocaine
CID100008982,nafcillin,8982,2022.0,Nafcillin
CID100009034,methohexital,9034,1892.0,Methohexital
CID100009433,aminophylline,9433,215.0,Aminophylline
CID100009904,nandrolone,9904,2036.0,Nandrolone
CID100010100,propoxyphene,10100,939.0,Dextropropoxyphene
CID100010413,hydroxybutyrate,10413,3167.0,gamma-Hydroxybutyric acid
CID100010660,dimenhydrinate,10660,993.0,Dimenhydrinate
CID100012555,benzydamine,12555,401.0,Benzydamine
CID100012597,isomannide,12597,1635.0,Isosorbide
CID100013314,lormetazepam,13314,1760.0,Lormetazepam
CID100013342,vinblastine,13342,3098.0,Vinblastine
CID100014888,arsenic,14888,287.0,Arsenic trioxide
CID100015459,metaxalone,15459,1876.0,Metaxalone
CID100016362,pimozide,16362,2345.0,Pimozide
CID100016850,fluorescein,16850,1325.0,Fluorescein
CID100022318,gold,22318,2695.0,Sodium aurothiomalate
CID100023897,molindone,23897,1981.0,Molindone
CID100023925,Fe(III,23925,1620.0,Iron
CID100023976,chromium,23976,695.0,Chromium
CID100023978,copper,23978,787.0,Copper
CID100023994,zinc,23994,3147.0,Zinc
CID100024841,iodide,24841,1526.0,Hydrogen iodide
CID100025419,clodronate,25419,743.0,Clodronic acid
CID100027304,HMDP,27304,2190.0,Oxidronic acid
