STITCH_ID,SIDER_DrugName,CandidateDrugID,CandidateDrugName,Similarity,ChEBI_ID,CID,ConnectivitySMILES
CID100003269,estriol,1171,Estradiol,0.875,CHEBI:16469,5757.0,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
CID100004812,vitamin,3110,Vitamin A,0.875,CHEBI:17336,445354.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
CID100002349,penicillin,2258,Penicillamine,0.8696,CHEBI:7959,5852.0,CC(C)(C(C(=O)O)N)S
CID100002349,penicillin,2298,Pheneticillin,0.8696,CHEBI:52427,272833.0,CC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)O)OC3=CC=CC=C3
CID100003825,ketoprofen,923,Dexketoprofen,0.8696,CHEBI:76128,667550.0,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O
CID100004623,oxiconazole,3117,Voriconazole,0.8696,CHEBI:10023,71616.0,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
CID100004730,penicillin,2258,Penicillamine,0.8696,CHEBI:7959,5852.0,CC(C)(C(C(=O)O)N)S
CID100004730,penicillin,2298,Pheneticillin,0.8696,CHEBI:52427,272833.0,CC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)O)OC3=CC=CC=C3
CID100005404,terconazole,1644,Itraconazole,0.8696,CHEBI:6076,55283.0,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl
CID100047471,butoconazole,2925,Tioconazole,0.8696,CHEBI:77898,5482.0,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl
CID100003392,flurandrenolone,1338,Flurandrenolide,0.8667,CHEBI:5127,15209.0,CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
CID100000612,lactate,107,Acetate,0.8571,CHEBI:30089,175.0,CC(=O)[O-]
CID100001206,methamphetamine,55,4-Methoxyamphetamine,0.8571,,31721.0,CC(CC1=CC=C(C=C1)OC)N
CID100002520,verapamil,942,Dexverapamil,0.8571,CHEBI:77734,65808.0,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
CID100003100,diphenhydramine,480,Bromodiphenhydramine,0.8571,CHEBI:59177,2444.0,CN(C)CCOC(C1=CC=CC=C1)C2=CC=C(C=C2)Br
CID100003198,econazole,1661,Ketoconazole,0.8571,CHEBI:47518,47576.0,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
CID100003672,ibuprofen,921,Dexibuprofen,0.8571,CHEBI:43415,39912.0,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
CID100004048,megestrol,1837,Melengestrol,0.8571,,9906614.0,CC1=CC2C(CCC3(C2CC(=C)C3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C
CID100004095,methadone,2121,Normethadone,0.8571,CHEBI:135242,10090.0,CCC(=O)C(CCN(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
CID100004583,ofloxacin,1121,Enrofloxacin,0.8571,CHEBI:35720,71188.0,CCN1CCN(CC1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4CC4)F
CID100004583,ofloxacin,1742,Lomefloxacin,0.8571,CHEBI:116278,3948.0,CCN1C=C(C(=O)C2=CC(=C(C(=C21)F)N3CCNC(C3)C)F)C(=O)O
CID100004623,oxiconazole,1946,Miconazole,0.8571,CHEBI:82892,4189.0,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
CID100005071,rimantadine,197,Amantadine,0.8571,CHEBI:2618,2130.0,C1C2CC3CC1CC(C2)(C3)N
CID100019090,megestrol,1837,Melengestrol,0.8571,,9906614.0,CC1=CC2C(CCC3(C2CC(=C)C3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C
CID100047319,atracurium,1414,Gantacurium,0.8571,,10102486.0,C[N+]1(CCC2=CC(=C(C=C2C1CC3=CC(=C(C(=C3)OC)OC)OC)OC)OC)CCCOC(=O)C(=CC(=O)OCCC[N+]4(CCC5=CC(=C(C=C5C4C6=CC(=C(C(=C6)OC)OC)OC)OC)OC)C)Cl
CID100060864,olopatadine,1755,Loratadine,0.8571,CHEBI:6538,3957.0,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
CID111235728,Saxagliptin,243,Anagliptin,0.8571,CHEBI:136043,44513473.0,CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N3CCCC3C#N
CID100119212,benzylpenicilloyl,403,Benzylpenicillin,0.8485,CHEBI:18208,5904.0,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C
CID100000146,5-methyltetrahydrofolate,62,5-methyltetrahydrofolic acid,0.8462,,135415868.0,CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O
CID100001206,methamphetamine,235,Amphetamine,0.8462,CHEBI:132233,3007.0,CC(CC1=CC=CC=C1)N
CID100002344,benztropine,1222,Etybenzatropine,0.8462,CHEBI:135972,20055089.0,CCN1C2CCC1CC(C2)OC(C3=CC=CC=C3)C4=CC=CC=C4
CID100002367,dexamethasone,415,Betamethasone,0.8462,CHEBI:3077,9782.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
CID100003003,dexamethasone,415,Betamethasone,0.8462,CHEBI:3077,9782.0,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
CID100055480,milnacipran,1711,Levomilnacipran,0.8462,CHEBI:136040,6917779.0,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2
CID100002349,penicillin,1133,Epicillin,0.8421,CHEBI:58974,71392.0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CCC=CC3)N)C(=O)O)C
CID100002484,butenafine,498,Bunaftine,0.8421,CHEBI:135392,36131.0,CCCCN(CCN(CC)CC)C(=O)C1=CC=CC2=CC=CC=C21
CID100002800,clomiphene,752,Clomifene,0.8421,CHEBI:177766,1548955.0,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3
CID100003198,econazole,1946,Miconazole,0.8421,CHEBI:82892,4189.0,C1=CC(=C(C=C1Cl)Cl)COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl
CID100004095,methadone,1871,Metadoxine,0.8421,,115198.0,CC1=NC=C(C(=C1O)CO)CO.C1CC(=O)NC1C(=O)O
CID100004730,penicillin,1133,Epicillin,0.8421,CHEBI:58974,71392.0,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CCC=CC3)N)C(=O)O)C
CID100005564,triclosan,3004,Trilostane,0.8421,CHEBI:32260,656583.0,CC12CCC3C(C1CCC2O)CCC45C3(CC(=C(C4O5)O)C#N)C
CID100005651,Vancocine,3074,Vancomycin,0.8421,CHEBI:28001,14969.0,CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O
