Ligand ID,Ligand,Target,Target ID,Target Gene Symbol,Target UniProt ID,Target Ensembl Gene ID,Target Species,Approved,Type,Action,Primary Target,Affinity Median,Affinity Units,PubMed ID
7285,protriptyline,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,True,8.170000076293945,pKi,18983139
50,quetiapine,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,False,6.03000020980835,pKi,18059438
4808,reboxetine,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,True,8.0,pKi,10812041
2586,sibutramine,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,True,5.25,pKi,
10342,solriamfetol,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,False,5.360000133514404,pIC50,29891587
10342,solriamfetol,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,False,5.429999828338623,pKi,29891587
4591,[<sup>3</sup>H]mazindol,NET,926,Slc6a2,,ENSRNOG00000016311,Rat,False,Inhibitor,Inhibition,False,9.300000190734863,pKd,15300361
4636,[<sup>3</sup>H]nisoxetine,NET,926,SLC6A2,P23975,ENSG00000103546,Human,False,Inhibitor,Inhibition,False,8.399999618530273,pKd,
7477,tapentadol,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,True,5.059999942779541,pKi,17656655
12766,toludesvenlafaxine,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,False,6.119999885559082,pIC50,31617718
7317,trimipramine,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,True,5.610000133514404,pKi,9537821
7321,venlafaxine,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,True,6.269999980926514,pIC50,20378347
59,ziprasidone,NET,926,Slc6a2,,ENSRNOG00000016311,Rat,True,Inhibitor,Inhibition,False,7.320000171661377,pKi,18595716
103,zotepine,NET,926,SLC6A2,P23975,ENSG00000103546,Human,True,Inhibitor,Inhibition,False,7.150000095367432,pIC50,20223878
6816,ezetimibe,NPC1 like intracellular cholesterol transporter 1,2629,NPC1L1,Q9UHC9,ENSG00000015520,Human,True,Antagonist,Inhibition,True,6.659999847412109,pKd,15928087
4738,naringin,OATP1A2,1219,SLCO1A2,P46721,ENSG00000084453,Human,False,Inhibitor,Inhibition,False,,-,17301733
2765,rifampicin,OATP1A2,1219,SLCO1A2,P46721,ENSG00000084453,Human,True,Inhibitor,Inhibition,False,4.289999961853027,pKi,12085361
4570,rifamycin SV,OATP1A2,1219,SLCO1A2,P46721,ENSG00000084453,Human,True,Inhibitor,Inhibition,False,4.960000038146973,pKi,12085361
4505,[<sup>3</sup>H]BSP,OATP1A2,1219,SLCO1A2,P46721,ENSG00000084453,Human,False,,,False,,-,
3819,[<sup>3</sup>H]DPDPE,OATP1A2,1219,SLCO1A2,P46721,ENSG00000084453,Human,False,,,False,,-,
4748,[<sup>3</sup>H]estrone-3-sulphate,OATP1A2,1219,SLCO1A2,P46721,ENSG00000084453,Human,False,,,False,,-,
1024,cyclosporin A,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,True,Inhibitor,Inhibition,False,7.289999961853027,pKi,14530907|22541068
4749,estrone-3-sulphate,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,True,Inhibitor,Inhibition,False,7.21999979019165,pIC50,20448812
3439,gemfibrozil,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,True,Inhibitor,Inhibition,False,,-,17470528
4688,glycyrrhizin,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,False,Inhibitor,Inhibition,False,,-,
4844,indocyanine green,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,False,Inhibitor,Inhibition,False,,-,
2765,rifampicin,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,True,Inhibitor,Inhibition,False,5.960000038146973,pKi,22541068
4570,rifamycin SV,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,True,Inhibitor,Inhibition,False,5.699999809265137,pKi,12085361
13593,sarsagenin,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,False,Inhibitor,Inhibition,False,6.889999866485596,pKi,23571415
2953,pravastatin,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,True,,Binding,False,,-,
4687,[<sup>3</sup>H]estradiol-17&beta;-glucuronide,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,False,,,False,,-,
4748,[<sup>3</sup>H]estrone-3-sulphate,OATP1B1,1220,SLCO1B1,Q9Y6L6,ENSG00000134538,Human,False,,,False,,-,
1024,cyclosporin A,OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,True,Inhibitor,Inhibition,False,6.099999904632568,pIC50,17496208|22541068
3439,gemfibrozil,OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,True,Inhibitor,Inhibition,False,,-,
4688,glycyrrhizin,OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,False,Inhibitor,Inhibition,False,,-,
2765,rifampicin,OATP1B3,1221,SLCO1B3,Q9NPD5,ENSG00000111700,Human,True,Inhibitor,Inhibition,False,5.800000190734863,pIC50,17496208|22541068
