InChIKey14,DrugName,DrugID,Source,DrugName_Normalized
VPJXQGSRWJZDOB,Carbamoylcholine,565,Drug_A,carbamoylcholine
FPPNZSSZRUTDAP,Carbenicillin,566,Drug_A,carbenicillin
NSTRIRCPWQHTIA,Carbetocin,567,Drug_A,carbetocin
TZFNLOMSOLWIDK,Carbidopa,568,Drug_A,carbidopa
CFOYWRHIYXMDOT,Carbimazole,569,Drug_A,carbimazole
OJFSXZCBGQGRNV,Carbinoxamine,570,Drug_A,carbinoxamine
GBFLZEXEOZUWRN,Carbocisteine,571,Drug_A,carbocisteine
FQVHOULQCKDUCY,Carbomycin,572,Drug_A,carbomycin
DLJKPYFALUEJCK,Carboprost,573,Drug_A,carboprost
SHHKQEUPHAENFK,Carboquone,574,Drug_B,carboquone
WNRZHQBJSXRYJK,Carboxyamidotriazole,575,Drug_A,carboxyamidotriazole
OPNPQXLQERQBBV,Carbromal,576,Drug_A,carbromal
VDTNNGKXZGSZIP,Carbutamide,577,Drug_A,carbutamide
NZDASSHFKWDBBU,Carfecillin,578,Drug_A,carfecillin
YDSDEBIZUNNPOB,Carfentanil,579,Drug_A,carfentanil
BLMPQMFVWMYDKT,Carfilzomib,580,Drug_A,carfilzomib
JIRBAUWICKGBFE,Carindacillin,581,Drug_A,carindacillin
IWXNYAIICFKCTM,Cariporide,582,Drug_A,cariporide
KPWSJANDNDDRMB,Cariprazine,583,Drug_A,cariprazine
OLBWFRRUHYQABZ,Carisbamate,584,Drug_A,carisbamate
OFZCIYFFPZCNJE,Carisoprodol,585,Drug_A,carisoprodol
GUYMHFIHHOEFOA,Carmegliptin,586,Drug_A,carmegliptin
AOCCBINRVIKJHY,Carmofur,587,Drug_A,carmofur
DLGOEMSEDOSKAD,Carmustine,588,Drug_A,carmustine
MSPRUJDUTKRMLM,Caroverine,589,Drug_A,caroverine
KYCBWEZLKCTALM,Caroxazone,590,Drug_A,caroxazone
PUXBGTOOZJQSKH,Carprofen,591,Drug_A,carprofen
LWAFSWPYPHEXKX,Carteolol,592,Drug_A,carteolol
OGHNVEJMJSYVRP,Carvedilol,593,Drug_A,carvedilol
JYIKNQVWKBUSNH,Caspofungin,594,Drug_A,caspofungin
JDVVGAQPNNXQDW,Castanospermine,595,Drug_A,castanospermine
DLNKOYKMWOXYQA,Cathine,596,Drug_A,cathine
PUAQLLVFLMYYJJ,Cathinone,597,Drug_A,cathinone
XXJWYDDUDKYVKI,Cediranib,598,Drug_A,cediranib
RRYMAQUWDLIUPV,Cefacetrile,599,Drug_A,cefacetrile
QYIYFLOTGYLRGG,Cefaclor,600,Drug_A,cefaclor
BOEGTKLJZSQCCD,Cefadroxil,601,Drug_A,cefadroxil
CZTQZXZIADLWOZ,Cefaloridine,602,Drug_A,cefaloridine
XIURVHNZVLADCM,Cefalotin,603,Drug_A,cefalotin
OLVCFLKTBJRLHI,Cefamandole,604,Drug_A,cefamandole
RRJHESVQVSRQEX,Cefamandole nafate,605,Drug_A,cefamandole nafate
UQLLWWBDSUHNEB,Cefapirin,606,Drug_A,cefapirin
UOCJDOLVGGIYIQ,Cefatrizine,607,Drug_A,cefatrizine
VTLCNEGVSVJLDN,Cefazedone,608,Drug_A,cefazedone
MLYYVTUWGNIJIB,Cefazolin,609,Drug_A,cefazolin
SMSRCGPDNDCXFR,Cefbuperazone,610,Drug_A,cefbuperazone
HJJRIJDTIPFROI,Cefcapene,611,Drug_A,cefcapene
