DrugID,DrugName,CID,ConnectivitySMILES,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Source,PubChemStatus
2312,Phenothiazine,7108.0,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,199.27,4.2,37.3,1.0,2.0,0.0,PubChem,Available
2313,Phenoxybenzamine,4768.0,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,303.8,4.4,12.5,0.0,2.0,8.0,PubChem,Available
2314,Phenoxymethylpenicillin,6869.0,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C,350.4,2.1,121.0,2.0,6.0,5.0,PubChem,Available
2315,Phenoxypropazine,71467.0,CC(COC1=CC=CC=C1)NN,166.22,1.1,47.3,2.0,3.0,4.0,PubChem,Available
2316,Phenprobamate,4770.0,C1=CC=C(C=C1)CCCOC(=O)N,179.22,2.0,52.3,1.0,2.0,5.0,PubChem,Available
2317,Phenprocoumon,54680692.0,CCC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,280.3,3.6,46.5,1.0,3.0,3.0,PubChem,Available
2318,Phenserine,192706.0,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC4=CC=CC=C4)C)C,337.4,2.3,44.8,1.0,4.0,3.0,PubChem,Available
2319,Phensuximide,6839.0,CN1C(=O)CC(C1=O)C2=CC=CC=C2,189.21,0.8,37.4,0.0,2.0,1.0,PubChem,Available
2320,Phentermine,4771.0,CC(C)(CC1=CC=CC=C1)N,149.23,1.9,26.0,1.0,1.0,2.0,PubChem,Available
2321,Phentolamine,5775.0,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O,281.35,2.6,47.9,2.0,3.0,4.0,PubChem,Available
2322,Phenyl aminosalicylate,8609.0,C1=CC=C(C=C1)OC(=O)C2=C(C=C(C=C2)N)O,229.23,3.2,72.6,2.0,4.0,3.0,PubChem,Available
2323,Phenylacetic acid,999.0,C1=CC=C(C=C1)CC(=O)O,136.15,1.4,37.3,1.0,2.0,2.0,PubChem,Available
2324,Phenylbutazone,4781.0,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,308.4,3.2,40.6,0.0,2.0,5.0,PubChem,Available
2325,Phenylbutyric acid,4775.0,C1=CC=C(C=C1)CCCC(=O)O,164.2,2.4,37.3,1.0,2.0,4.0,PubChem,Available
2326,Phenylephrine,6041.0,CNCC(C1=CC(=CC=C1)O)O,167.2,-0.3,52.5,3.0,3.0,3.0,PubChem,Available
2327,Phenytoin,1775.0,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,252.27,2.5,58.2,2.0,2.0,2.0,PubChem,Available
2328,Pholcodine,5311356.0,CN1CCC23C4C1CC5=C2C(=C(C=C5)OCCN6CCOCC6)OC3C(C=C4)O,398.5,0.8,54.4,1.0,6.0,4.0,PubChem,Available
2329,Phosmet,12901.0,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2C1=O,317.3,2.8,113.0,0.0,6.0,5.0,PubChem,Available
2330,Phosphocreatine,9548602.0,CN(CC(=O)O)C(=NP(=O)(O)O)N,211.11,-2.6,136.0,4.0,6.0,4.0,PubChem,Available
2331,Phthalylsulfathiazole,4806.0,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)C(=O)O,403.4,1.1,162.0,3.0,8.0,6.0,PubChem,Available
2332,Phylloquinone,5284607.0,CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,450.7,10.9,34.1,0.0,2.0,14.0,PubChem,Available
2333,Physostigmine,5983.0,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,275.35,0.7,44.8,1.0,4.0,2.0,PubChem,Available
2334,Pibrentasvir,58031952.0,CC(C(C(=O)N1CCCC1C2=NC3=C(N2)C=C(C(=C3)F)C4CCC(N4C5=CC(=C(C(=C5)F)N6CCC(CC6)C7=CC=C(C=C7)F)F)C8=CC9=C(C=C8F)N=C(N9)C1CCCN1C(=O)C(C(C)OC)NC(=O)OC)NC(=O)OC)OC,1113.2,7.4,200.0,4.0,17.0,17.0,PubChem,Available
2335,Piceatannol,667639.0,C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O,244.24,2.9,80.9,4.0,4.0,2.0,PubChem,Available
