"# GtoPdb Version: 2026.2 - published: 2026-06-15"
"Target","Target ID","Target Subunit IDs","Target Gene Symbol","Target UniProt ID","Target Ensembl Gene ID","Target Ligand","Target Ligand ID","Target Ligand Subunit IDs","Target Ligand Gene Symbol","Target Ligand UniProt ID","Target Ligand Ensembl Gene ID","Target Ligand PubChem SID","Target Species","Ligand ID","Ligand","Ligand Type","Ligand Subunit IDs","Ligand Gene Symbol","Ligand Species","Ligand PubChem SID","Approved","Type","Action","Action comment","Selectivity","Endogenous","Primary Target","concentration Range","Affinity Units","Affinity High","Affinity Median","Affinity Low","Original Affinity Units","Original Affinity Low nm","Original Affinity Median nm","Original Affinity High nm","Original Affinity Relation","Assay Description","Receptor Site","Ligand Context","PubMed ID","Webpage URLs","Patent Numbers"
"BGT1","932",,"SLC6A12","P48065","ENSG00000111181",,"",,,,,"","Human","6513","(S)-EF-1520",,,,,"178103127","false","Inhibitor","Inhibition","","Selective","false","false","","pIC50","4.46999979019165","","3.5999999046325684","IC50","250000.0","","34000.0","=","","","",,,
"B<sup>0</sup>AT1","939",,"SLC6A19","Q695T7","ENSG00000174358",,"",,,,,"","Human","7601","benzatropine",,,,,"223365936","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","4.360000133514404","","IC50","","44000.0","","=","","","","28176326",,
"B<sup>0</sup>AT1","939",,"SLC6A19","Q695T7","ENSG00000174358",,"",,,,,"","Human","10256","cinromide",,,,,"381744938","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","6.400000095367432","","-","","","","=","","","","30589598",,
"B<sup>0</sup>AT1","939",,"SLC6A19","Q695T7","ENSG00000174358",,"",,,,,"","Human","11229","inhibitor CB3",,,,,"434122289","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.309999942779541","","IC50","","4900.0","","=","Measured using a radioactive flux assay.","","","32180718",,
"B<sup>0</sup>AT1","939",,"SLC6A19","Q695T7","ENSG00000174358",,"",,,,,"","Human","11228","inhibitor E18",,,,,"434122288","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.46999979019165","","IC50","","3400.0","","=","Measured using a radioactive flux assay.","","","32180718",,
"B<sup>0</sup>AT1","939",,"SLC6A19","Q695T7","ENSG00000174358",,"",,,,,"","Human","11227","inhibitor E4",,,,,"434122287","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.110000133514404","","IC50","","7700.0","","=","Measured using a radioactive flux assay.","","","32180718",,
"B<sup>0</sup>AT1","939",,"Slc6a19","Q2A865","ENSRNOG00000026501",,"",,,,,"","Rat","7401","nimesulide",,,,,"178103973","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","4.639999866485596","","IC50","","23000.0","","=","","","","24704252",,
"B<sup>0</sup>AT2","940",,"SLC6A15","Q9H2J7","ENSG00000072041",,"",,,,,"","Human","7216","loratadine",,,,,"178103791","true","Inhibitor","Inhibition","","Selective","false","false","","pIC50","","5.400000095367432","","IC50","","4000.0","","=","","","","25318072",,
"Choline transporter-like 1","1204",,"SLC44A1","Q8WWI5","ENSG00000070214",,"",,,,,"","Human","4494","hemicholinium-3",,,,,"178101222","false","Inhibitor","Inhibition",,"Non-selective","false","false",,"pKi","4.5","","3.5","Ki","310000.0","","31000.0",,,,,,,
"CHT","914",,"SLC5A7","Q9GZV3","ENSG00000115665",,"",,,,,"","Human","4494","hemicholinium-3",,,,,"178101222","false","Inhibitor","Inhibition","","Selective","false","false","","pKi","8.0","","7.0","Ki","100.0","","10.0","=","","","","12675135",,
"CHT","914",,"SLC5A7","Q9GZV3","ENSG00000115665",,"",,,,,"","Human","4493","[<sup>3</sup>H]hemicholinium-3",,,,,"178101221","false","None","None",,"Non-selective","false","false",,"pKd","8.4","","8.2","Kd","6.0","","4.0",,,,,,,
"CT1","934",,"SLC6A8","P48029","ENSG00000130821",,"",,,,,"","Human","4707","ompenaclid",,,,,"178101418","false","Inhibitor","Inhibition","","Not Determined","false","false","","pKd","","5.46999979019165","","Kd","","3390.0","","=","Determined by SPR","","","40892912",,
"Cystine/glutamate transporter","902",,"SLC7A11","Q9UPY5","ENSG00000151012",,"",,,,,"","Human","13931","HG106",,,,,"513757616","false","Inhibitor","Inhibition","","Not Determined","false","false","","-","","","","-","","","","=","","","","31874110",,
"Cystine/glutamate transporter","902",,"SLC7A11","Q9UPY5","ENSG00000151012",,"",,,,,"","Human","13930","imidazole ketone erastin",,,,,"513757615","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","7.519999980926514","","IC50","","30.0","","=","Measuring inhibition of glutamate release from astrocytoma cells, which is indicative of inhibition of the system x<sub>c</sub><sup>-</sup> cystine/glutamate transporter","","","30799221",,
"Cystine/glutamate transporter","902",,"SLC7A11","Q9UPY5","ENSG00000151012",,"",,,,,"","Human","1372","quisqualate",,,,,"135650876","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.300000190734863","","IC50","","5000.0","","=","","","","20303751",,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","7118","atomoxetine",,,,,"178103695","true","Inhibitor","Inhibition","","Non-selective","false","false","","pKd","","5.96999979019165","","Kd","","1080.0","","=","","","","9871604",,
"DAT","927",,"Slc6a3","P23977","ENSRNOG00000017302",,"",,,,,"","Rat","7601","benzatropine",,,,,"223365936","true","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","6.929999828338623","","Ki","","118.0","","=","Displacement of  [<sup>3</sup>H]WIN35,428 binding to homogenised rat caudate putamen.","","","7562926",,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","7135","bupropion",,,,,"178103711","true","Inhibitor","Inhibition","","Non-selective","false","true","","pIC50","","6.349999904632568","","IC50","","443.0","","=","","","","19821577",,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","2398","clomipramine",,,,,"135650111","true","Inhibitor","Inhibition","","Not Determined","false","false","","pKd","","5.659999847412109","","Kd","","2190.0","","=","","","","9537821",,
"DAT","927",,"Slc6a3","P23977","ENSRNOG00000017302",,"",,,,,"","Rat","2286","cocaine",,,,,"135652677","true","Inhibitor","Inhibition","","Non-selective","false","true","","pIC50","","7.099999904632568","","IC50","","89.0999984741211","","=","","","","15566309",,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","8520","compound 58 [PMID: 25037917]",,,,,"252166722","false","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.210000038146973","","IC50","","6100.0","","=","","","","25037917",,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","7158","desvenlafaxine",,,,,"178103733","true","Inhibitor","Inhibition","","Not Determined","false","false","","pKi","","6.070000171661377","","Ki","","854.0","",">","","","","24900709",,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","2147","dexamfetamine",,,,,"135650979","true","Inhibitor","Inhibition","","Non-selective","false","true","","pKi","","6.960000038146973","","Ki","","109.0","","=","","","","23602445",,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","7554","dexmethylphenidate",,,,,"223365890","true","Inhibitor","Inhibition","","Selective","false","true","","pKi","","7.599999904632568","","Ki","","25.0","","=","Displacement of [<sup>3</sup>H]WIN-35428 from human DAT stably expressed in mouse N2A cells","","","21129986",,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","4639","GBR12935",,,,,"178101357","false","Inhibitor","Inhibition","","Selective","false","false","","pKi","","7.599999904632568","","Ki","","25.100000381469727","","=","","","",,,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","7435","levomilnacipran",,,,,"178104007","true","Inhibitor","Inhibition","","Not Determined","false","false","","pIC50","","5.489999771118164","","IC50","","3200.0","","=","","","","18468895",,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","4797","mazindol",,,,,"178101499","true","Inhibitor","Inhibition","","Selective","false","true","","pKi","","8.0","","Ki","","10.0","","=","","","",,,
"DAT","927",,"SLC6A3","Q01959","ENSG00000142319",,"",,,,,"","Human","7236","methylphenidate",,,,,"178103810","true","Inhibitor","Inhibition","","Selective","false","true","","pIC50","","7.099999904632568","","IC50","","79.0","","=","","","","17228864",,
